row_index,selected_spot_index,cluster,x,y
227,227,3,38.0,56.0
228,228,11,44.0,12.0
229,229,1,42.0,42.0
230,230,8,30.0,86.0
231,231,4,37.0,37.0
232,232,10,61.0,29.0
233,233,6,69.0,35.0
234,234,0,57.0,65.0
235,235,1,38.0,100.0
236,236,1,42.0,48.0
237,237,10,73.0,9.0
238,238,6,58.0,54.0
239,239,6,56.0,40.0
240,240,5,48.0,84.0
241,241,4,21.0,115.0
242,242,9,13.0,65.0
243,243,4,6.0,80.0
244,244,10,57.0,11.0
245,245,1,28.0,66.0
246,246,1,36.0,92.0
247,247,9,51.0,79.0
248,248,4,44.0,106.0
249,249,11,46.0,98.0
250,250,2,59.0,15.0
251,251,4,4.0,100.0
252,252,9,63.0,5.0
253,253,6,61.0,39.0
254,254,2,50.0,30.0
255,255,11,32.0,30.0
256,256,11,34.0,112.0
257,257,1,65.0,15.0
258,258,0,46.0,18.0
259,259,11,32.0,24.0
260,260,10,64.0,34.0
261,261,6,9.0,81.0
262,262,8,50.0,18.0
263,263,10,57.0,13.0
264,264,6,28.0,104.0
265,265,11,22.0,80.0
266,266,5,25.0,63.0
267,267,6,36.0,102.0
268,268,9,37.0,43.0
269,269,4,10.0,70.0
270,270,3,63.0,47.0
271,271,2,25.0,109.0
272,272,11,33.0,61.0
273,273,1,17.0,73.0
274,274,7,43.0,71.0
275,275,6,49.0,59.0
276,276,0,41.0,31.0
277,277,3,34.0,62.0
278,278,2,28.0,100.0
279,279,2,39.0,13.0
280,280,8,74.0,16.0
281,281,7,18.0,108.0
282,282,9,52.0,60.0
283,283,5,53.0,55.0
284,284,6,49.0,77.0
285,285,2,61.0,11.0
286,286,6,47.0,25.0
287,287,4,24.0,118.0
288,288,5,73.0,5.0
289,289,8,71.0,13.0
290,290,11,10.0,66.0
291,291,1,70.0,32.0
292,292,10,33.0,67.0
293,293,8,41.0,97.0
294,294,1,68.0,2.0
295,295,4,44.0,6.0
296,296,4,52.0,4.0
297,297,1,17.0,63.0
298,298,2,41.0,69.0
299,299,5,39.0,39.0
300,300,9,33.0,113.0
301,301,5,60.0,44.0
302,302,6,14.0,68.0
303,303,2,8.0,98.0
304,304,8,63.0,17.0
305,305,9,25.0,41.0
306,306,4,74.0,28.0
307,307,1,60.0,56.0
308,308,10,13.0,105.0
309,309,2,38.0,108.0
310,310,10,64.0,22.0
311,311,6,14.0,74.0
312,312,5,59.0,41.0
313,313,6,25.0,69.0
314,314,8,67.0,17.0
315,315,10,63.0,29.0
316,316,1,47.0,17.0
317,317,10,32.0,104.0
318,318,1,57.0,69.0
319,319,7,48.0,70.0
320,320,5,49.0,23.0
321,321,7,36.0,78.0
322,322,1,42.0,78.0
323,323,10,8.0,84.0
324,324,0,36.0,70.0
325,325,5,47.0,83.0
326,326,10,68.0,30.0
327,327,5,16.0,70.0
328,328,0,53.0,9.0
329,329,10,30.0,78.0
330,330,11,27.0,39.0
331,331,10,33.0,55.0
332,332,1,30.0,64.0
333,333,11,11.0,95.0
334,334,1,36.0,90.0
335,335,3,38.0,52.0
336,336,0,46.0,90.0
337,337,10,51.0,81.0
338,338,0,57.0,3.0
339,339,1,27.0,75.0
340,340,7,42.0,72.0
341,341,9,69.0,3.0
342,342,2,29.0,49.0
343,343,4,44.0,10.0
344,344,10,32.0,106.0
345,345,10,74.0,10.0
346,346,6,28.0,62.0
347,347,9,39.0,11.0
348,348,4,61.0,13.0
349,349,10,75.0,13.0
350,350,10,61.0,9.0
351,351,7,27.0,73.0
352,352,7,38.0,88.0
353,353,7,52.0,14.0
354,354,2,42.0,44.0
355,355,2,48.0,28.0
356,356,4,12.0,108.0
357,357,3,32.0,98.0
358,358,3,51.0,9.0
359,359,5,49.0,65.0
360,360,0,26.0,56.0
361,361,7,41.0,17.0
362,362,3,49.0,97.0
363,363,0,53.0,33.0
364,364,9,8.0,102.0
365,365,1,28.0,46.0
366,366,8,63.0,45.0
367,367,6,68.0,34.0
368,368,3,26.0,88.0
369,369,10,58.0,34.0
370,370,2,40.0,18.0
371,371,8,16.0,64.0
372,372,4,76.0,122.0
373,373,1,6.0,98.0
374,374,10,32.0,44.0
375,375,8,77.0,13.0
376,376,3,16.0,118.0
377,377,8,40.0,38.0
378,378,7,46.0,82.0
379,379,6,21.0,97.0
380,380,7,29.0,75.0
381,381,10,75.0,11.0
382,382,6,21.0,55.0
383,383,8,14.0,98.0
384,384,10,34.0,106.0
385,385,5,58.0,24.0
386,386,9,48.0,6.0
387,387,6,36.0,54.0
388,388,0,53.0,13.0
389,389,10,41.0,93.0
390,390,8,56.0,20.0
391,391,10,68.0,26.0
392,392,1,27.0,65.0
393,393,3,34.0,20.0
394,394,11,53.0,81.0
395,395,4,31.0,35.0
396,396,10,56.0,58.0
397,397,4,51.0,95.0
398,398,1,53.0,19.0
399,399,10,22.0,52.0
400,400,11,23.0,81.0
401,401,6,42.0,26.0
402,402,10,64.0,26.0
403,403,9,61.0,49.0
404,404,8,15.0,65.0
405,405,10,67.0,29.0
406,406,9,17.0,103.0
407,407,10,50.0,22.0
408,408,6,50.0,14.0
409,409,10,72.0,2.0
410,410,7,51.0,37.0
411,411,8,17.0,59.0
412,412,8,25.0,55.0
413,413,5,68.0,22.0
414,414,5,57.0,55.0
415,415,9,24.0,92.0
416,416,2,8.0,96.0
417,417,8,50.0,12.0
418,418,11,18.0,116.0
419,419,7,45.0,71.0
420,420,11,2.0,92.0
421,421,8,61.0,33.0
422,422,6,21.0,99.0
423,423,6,16.0,74.0
424,424,0,52.0,86.0
425,425,0,38.0,76.0
426,426,6,18.0,88.0
427,427,3,39.0,107.0
428,428,0,41.0,45.0
429,429,5,20.0,84.0
430,430,7,54.0,28.0
431,431,8,72.0,10.0
432,432,3,41.0,23.0
433,433,0,43.0,85.0
434,434,6,43.0,45.0
435,435,2,18.0,98.0
436,436,10,53.0,65.0
437,437,1,46.0,96.0
438,438,9,48.0,16.0
439,439,4,30.0,120.0
440,440,7,26.0,86.0
441,441,10,59.0,49.0
442,442,3,49.0,99.0
443,443,11,28.0,38.0
444,444,3,15.0,55.0
445,445,11,45.0,25.0
446,446,7,59.0,17.0
447,447,4,16.0,112.0
448,448,8,50.0,42.0
449,449,5,13.0,89.0
450,450,11,36.0,110.0
451,451,5,55.0,53.0
452,452,4,29.0,113.0
453,453,3,8.0,74.0
454,454,2,44.0,20.0
455,455,9,35.0,65.0
456,456,3,68.0,40.0
457,457,4,15.0,113.0
458,458,2,37.0,97.0
459,459,5,65.0,33.0
460,460,1,34.0,92.0
461,461,5,30.0,88.0
462,462,9,33.0,63.0
463,463,2,12.0,76.0
464,464,6,63.0,35.0
465,465,6,35.0,31.0
466,466,1,35.0,109.0
467,467,0,46.0,20.0
468,468,10,26.0,104.0
469,469,1,37.0,17.0
470,470,9,66.0,8.0
471,471,5,22.0,74.0
472,472,2,41.0,67.0
473,473,11,5.0,91.0
474,474,8,16.0,60.0
475,475,8,69.0,9.0
476,476,8,29.0,109.0
477,477,4,10.0,108.0
478,478,8,25.0,79.0
479,479,6,6.0,88.0
480,480,9,4.0,102.0
481,481,8,16.0,98.0
482,482,9,25.0,33.0
483,483,11,64.0,48.0
484,484,5,58.0,26.0
485,485,6,58.0,52.0
486,486,10,67.0,35.0
487,487,7,41.0,47.0
488,488,0,48.0,90.0
489,489,10,42.0,100.0
490,490,8,17.0,93.0
491,491,0,69.0,1.0
492,492,4,76.0,126.0
493,493,2,38.0,90.0
494,494,9,25.0,39.0
495,495,0,47.0,23.0
496,496,4,40.0,112.0
497,497,0,51.0,29.0
498,498,7,29.0,111.0
499,499,7,54.0,30.0
500,500,6,24.0,66.0
501,501,7,44.0,102.0
502,502,4,21.0,121.0
503,503,6,44.0,52.0
504,504,6,66.0,28.0
505,505,10,35.0,87.0
506,506,1,29.0,103.0
507,507,10,8.0,88.0
508,508,5,45.0,49.0
509,509,1,33.0,87.0
510,510,6,46.0,42.0
511,511,10,41.0,89.0
512,512,9,24.0,94.0
513,513,2,40.0,12.0
514,514,9,47.0,9.0
515,515,8,17.0,95.0
516,516,2,40.0,44.0
517,517,5,16.0,80.0
518,518,2,51.0,25.0
519,519,5,15.0,89.0
520,520,7,30.0,50.0
521,521,5,43.0,65.0
522,522,10,70.0,10.0
523,523,4,25.0,121.0
