mode,scope,k,n_obs,embedding_dim,cluster_asw_raw,cluster_asw_scaled_raw,calinski_harabasz_raw,davies_bouldin_raw,section_ari_raw,section_nmi_raw,section_asw_raw,metric_space_raw,labels_path_raw,cluster_asw_standardized,cluster_asw_scaled_standardized,calinski_harabasz_standardized,davies_bouldin_standardized,section_ari_standardized,section_nmi_standardized,section_asw_standardized,metric_space_standardized,labels_path_standardized,cluster_asw_delta_standardized_minus_raw,cluster_asw_scaled_delta_standardized_minus_raw,calinski_harabasz_delta_standardized_minus_raw,davies_bouldin_delta_standardized_minus_raw,section_ari_delta_standardized_minus_raw,section_nmi_delta_standardized_minus_raw,section_asw_delta_standardized_minus_raw
joint,combined,2,5336,128,0.1015844270586967,0.5507922135293484,619.8434095100596,2.915882482453972,0.0001922291930284,0.0002965226697002,9.22451145015657e-05,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_all.csv,0.0944862961769104,0.5472431480884552,571.9147204818744,3.0288253016289914,3.553392929729503e-05,0.0001981403092917,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_all.csv,-0.007098130881786305,-0.0035490654408931732,-47.928689028185204,0.11294281917501925,-0.00015669526373110498,-9.83823604085e-05,-1.3672382920049131e-05
joint,combined,3,5336,128,0.0687836930155754,0.5343918465077877,435.9980876632528,2.790433933402237,-0.0001203208387327,0.0004255774481136,9.22451145015657e-05,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_all.csv,0.0641805678606033,0.5320902839303017,410.0365397787779,2.8640668616421183,-5.858828497333202e-05,0.0003644485569038,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_all.csv,-0.00460312515497209,-0.002301562577486038,-25.961547884474896,0.07363292823988132,6.173255375936798e-05,-6.11288912098e-05,-1.3672382920049131e-05
joint,combined,4,5336,128,0.0641705617308616,0.5320852808654308,365.415686376485,3.314082537027773,-0.0001254226679261,0.0003002056643482,9.22451145015657e-05,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_all.csv,0.0624722279608249,0.5312361139804125,349.20802257186523,3.324557200987871,-7.384770770732975e-05,0.0002949028784031,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_all.csv,-0.0016983337700366974,-0.0008491668850183487,-16.207663804619756,0.01047466396009833,5.157496021877024e-05,-5.302785945100015e-06,-1.3672382920049131e-05
joint,combined,5,5336,128,0.056018590927124,0.528009295463562,314.65107353181264,3.447001436810177,-0.0001953489957452,0.0002812421857086,9.22451145015657e-05,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_all.csv,0.0548578277230262,0.5274289138615131,300.01783388446285,3.4821367683426643,-0.0002342119585467,0.0002766354929004,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_all.csv,-0.0011607632040978033,-0.0005803816020488739,-14.633239647349797,0.03513533153248716,-3.8862962801500007e-05,-4.606692808200013e-06,-1.3672382920049131e-05
joint,combined,6,5336,128,0.057554941624403,0.5287774708122015,275.5462823025659,3.5862990205348915,-5.796018249049144e-05,0.0004284526442229,9.22451145015657e-05,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_all.csv,0.0564180687069892,0.5282090343534946,263.34992209388,3.5786618135301667,-6.685667489214893e-05,0.0004750671927933,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k6/labels_all.csv,-0.0011368729174138018,-0.0005684364587068558,-12.19636020868586,-0.007637207004724811,-8.89649240165749e-06,4.6614548570399986e-05,-1.3672382920049131e-05
joint,combined,7,5336,128,0.0559552945196628,0.5279776472598314,245.5969253815951,3.545073664577313,-3.3845861281987935e-05,0.0003864501540879,9.22451145015657e-05,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_all.csv,0.0546639300882816,0.5273319650441408,235.5729898229029,3.5347944799643507,-5.0924572114987854e-05,0.0004343269135075,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k7/labels_all.csv,-0.0012913644313812048,-0.0006456822156906128,-10.023935558692187,-0.0102791846129624,-1.707871083299992e-05,4.787675941960004e-05,-1.3672382920049131e-05
joint,combined,8,5336,128,0.0542446933686733,0.5271223466843367,222.42360218020664,3.671991129926377,-0.0001721335402783,0.0002592495544638,9.22451145015657e-05,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_all.csv,0.0529423356056213,0.5264711678028107,213.32118098017207,3.6439214087410416,-0.0001504830288932,0.0003019642068532,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_all.csv,-0.0013023577630519936,-0.0006511788815259933,-9.10242120003457,-0.02806972118533535,2.1650511385099995e-05,4.27146523894e-05,-1.3672382920049131e-05
joint,combined,9,5336,128,0.0540281571447849,0.5270140785723925,202.6727277878209,3.68222296926516,-0.0001076634580506,0.0003384360353597,9.22451145015657e-05,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_all.csv,0.0529750995337963,0.5264875497668982,195.1860385236148,3.6084637727313376,-9.966843602537204e-05,0.0003810926682511,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k9/labels_all.csv,-0.001053057610988603,-0.0005265288054943085,-7.486689264206092,-0.07375919653382246,7.995022025227962e-06,4.2656632891400006e-05,-1.3672382920049131e-05
joint,combined,10,5336,128,0.0547311939299106,0.5273655969649553,186.8533576390875,3.6446457750467216,-7.254137319371066e-05,0.0004053425113332,9.22451145015657e-05,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_all.csv,0.0506401918828487,0.5253200959414244,180.04974797873754,3.6595598130097136,-0.0001308422490309,0.0003100651966578,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_all.csv,-0.004091002047061899,-0.00204550102353096,-6.803609660349963,0.014914037962991955,-5.830087583718935e-05,-9.52773146754e-05,-1.3672382920049131e-05
joint,combined,11,5336,128,0.0549521334469318,0.5274760667234659,173.06796893882233,3.571369767847243,-7.266697660019584e-06,0.0004776793216071,9.22451145015657e-05,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_all.csv,0.0515795461833477,0.5257897730916739,167.44157909521664,3.5967524587207325,-0.0001114959562938,0.0003431798731292,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k11/labels_all.csv,-0.0033725872635840953,-0.0016862936317920685,-5.626389843605693,0.025382690873489544,-0.00010422925863378042,-0.0001344994484779,-1.3672382920049131e-05
