mode,section,cluster,count,section_fraction
joint,CRC_003,0,11594,0.069726183101895
joint,CRC_003,1,7519,0.04521917981224328
joint,CRC_003,2,15909,0.09567654364050782
joint,CRC_003,3,9592,0.057686178050144636
joint,CRC_003,4,3524,0.021193295605578574
joint,CRC_003,5,5710,0.03433987454819911
joint,CRC_003,6,20738,0.12471809428731229
joint,CRC_003,7,2302,0.013844201612951726
joint,CRC_003,8,8962,0.05389736527162179
joint,CRC_003,9,22759,0.13687236512127207
joint,CRC_003,10,994,0.005977904606113821
joint,CRC_003,11,8712,0.05239386813728733
joint,CRC_003,12,1025,0.006164338250771294
joint,CRC_003,13,8002,0.048123936275777456
joint,CRC_003,14,2727,0.01640014674132031
joint,CRC_003,15,8445,0.05078813319781812
joint,CRC_003,16,2004,0.012052033028825047
joint,CRC_003,17,1028,0.0061823802163833074
joint,CRC_003,18,16644,0.10009682521545114
joint,CRC_003,19,8089,0.048647153278525854
joint,CRC_006,0,12532,0.02809267084365438
joint,CRC_006,1,19567,0.043862854324751455
joint,CRC_006,2,24450,0.0548089532498683
joint,CRC_006,3,18329,0.04108766070007509
joint,CRC_006,4,24419,0.05473946132550241
joint,CRC_006,5,24169,0.05417904258061624
joint,CRC_006,6,16323,0.036590860691108396
joint,CRC_006,7,22519,0.050480278864367456
joint,CRC_006,8,29862,0.0669408982391643
joint,CRC_006,9,16275,0.03648326029209025
joint,CRC_006,10,27726,0.06215268048285679
joint,CRC_006,11,29326,0.06573936045012833
joint,CRC_006,12,26677,0.05980116342931439
joint,CRC_006,13,22073,0.04948049182349051
joint,CRC_006,14,28000,0.06276689942725204
joint,CRC_006,15,21151,0.047413667492350285
joint,CRC_006,16,24844,0.05569217319180892
joint,CRC_006,17,16591,0.03719162958562638
joint,CRC_006,18,22732,0.05095775563501048
joint,CRC_006,19,18530,0.041538237370963585
