row_index,selected_spot_index,cluster,x,y
198,198,0,52.0,48.0
199,199,1,52.0,24.0
200,200,3,10.0,80.0
201,201,3,53.0,87.0
202,202,3,51.0,39.0
203,203,1,46.0,14.0
204,204,4,19.0,119.0
205,205,1,59.0,9.0
206,206,3,21.0,63.0
207,207,3,55.0,57.0
208,208,3,42.0,102.0
209,209,0,42.0,62.0
210,210,1,41.0,37.0
211,211,2,45.0,81.0
212,212,4,9.0,75.0
213,213,0,75.0,17.0
214,214,2,40.0,104.0
215,215,3,51.0,61.0
216,216,4,73.0,27.0
217,217,4,17.0,115.0
218,218,2,20.0,110.0
219,219,0,53.0,49.0
220,220,4,7.0,81.0
221,221,2,30.0,54.0
222,222,2,41.0,107.0
223,223,4,23.0,121.0
224,224,3,48.0,76.0
225,225,4,9.0,103.0
226,226,2,48.0,94.0
227,227,2,38.0,56.0
228,228,4,44.0,12.0
229,229,1,42.0,42.0
230,230,0,30.0,86.0
231,231,4,37.0,37.0
232,232,3,61.0,29.0
233,233,1,69.0,35.0
234,234,3,57.0,65.0
235,235,2,38.0,100.0
236,236,1,42.0,48.0
237,237,3,73.0,9.0
238,238,3,58.0,54.0
239,239,3,56.0,40.0
240,240,0,48.0,84.0
241,241,4,21.0,115.0
242,242,1,13.0,65.0
243,243,4,6.0,80.0
244,244,3,57.0,11.0
245,245,1,28.0,66.0
246,246,1,36.0,92.0
247,247,1,51.0,79.0
248,248,1,44.0,106.0
249,249,1,46.0,98.0
250,250,2,59.0,15.0
251,251,4,4.0,100.0
252,252,1,63.0,5.0
253,253,3,61.0,39.0
254,254,2,50.0,30.0
255,255,2,32.0,30.0
256,256,4,34.0,112.0
257,257,1,65.0,15.0
258,258,2,46.0,18.0
259,259,2,32.0,24.0
260,260,3,64.0,34.0
261,261,3,9.0,81.0
262,262,0,50.0,18.0
263,263,3,57.0,13.0
264,264,3,28.0,104.0
265,265,1,22.0,80.0
266,266,0,25.0,63.0
267,267,1,36.0,102.0
268,268,1,37.0,43.0
269,269,4,10.0,70.0
270,270,2,63.0,47.0
271,271,2,25.0,109.0
272,272,1,33.0,61.0
273,273,1,17.0,73.0
274,274,2,43.0,71.0
275,275,3,49.0,59.0
276,276,3,41.0,31.0
277,277,4,34.0,62.0
278,278,2,28.0,100.0
279,279,2,39.0,13.0
280,280,0,74.0,16.0
281,281,2,18.0,108.0
282,282,1,52.0,60.0
283,283,0,53.0,55.0
284,284,3,49.0,77.0
285,285,2,61.0,11.0
286,286,3,47.0,25.0
287,287,4,24.0,118.0
288,288,0,73.0,5.0
289,289,3,71.0,13.0
290,290,4,10.0,66.0
291,291,2,70.0,32.0
292,292,3,33.0,67.0
293,293,3,41.0,97.0
294,294,1,68.0,2.0
295,295,4,44.0,6.0
296,296,4,52.0,4.0
297,297,1,17.0,63.0
298,298,2,41.0,69.0
299,299,0,39.0,39.0
300,300,1,33.0,113.0
301,301,0,60.0,44.0
302,302,3,14.0,68.0
303,303,2,8.0,98.0
304,304,2,63.0,17.0
305,305,4,25.0,41.0
306,306,4,74.0,28.0
307,307,2,60.0,56.0
308,308,3,13.0,105.0
309,309,2,38.0,108.0
310,310,3,64.0,22.0
311,311,3,14.0,74.0
312,312,0,59.0,41.0
313,313,3,25.0,69.0
314,314,0,67.0,17.0
315,315,3,63.0,29.0
316,316,1,47.0,17.0
317,317,3,32.0,104.0
318,318,1,57.0,69.0
319,319,0,48.0,70.0
320,320,0,49.0,23.0
321,321,2,36.0,78.0
322,322,1,42.0,78.0
323,323,3,8.0,84.0
324,324,1,36.0,70.0
325,325,0,47.0,83.0
326,326,3,68.0,30.0
327,327,0,16.0,70.0
328,328,3,53.0,9.0
329,329,3,30.0,78.0
330,330,1,27.0,39.0
331,331,3,33.0,55.0
332,332,2,30.0,64.0
333,333,4,11.0,95.0
334,334,1,36.0,90.0
335,335,2,38.0,52.0
336,336,2,46.0,90.0
337,337,3,51.0,81.0
338,338,1,57.0,3.0
339,339,1,27.0,75.0
340,340,2,42.0,72.0
341,341,4,69.0,3.0
342,342,2,29.0,49.0
343,343,4,44.0,10.0
344,344,3,32.0,106.0
345,345,3,74.0,10.0
346,346,3,28.0,62.0
347,347,1,39.0,11.0
348,348,4,61.0,13.0
349,349,3,75.0,13.0
350,350,3,61.0,9.0
351,351,1,27.0,73.0
352,352,2,38.0,88.0
353,353,2,52.0,14.0
354,354,2,42.0,44.0
355,355,2,48.0,28.0
356,356,4,12.0,108.0
357,357,2,32.0,98.0
358,358,1,51.0,9.0
359,359,0,49.0,65.0
360,360,3,26.0,56.0
361,361,2,41.0,17.0
362,362,2,49.0,97.0
363,363,3,53.0,33.0
364,364,4,8.0,102.0
365,365,1,28.0,46.0
366,366,0,63.0,45.0
367,367,3,68.0,34.0
368,368,1,26.0,88.0
369,369,3,58.0,34.0
370,370,2,40.0,18.0
371,371,0,16.0,64.0
372,372,4,76.0,122.0
373,373,1,6.0,98.0
374,374,3,32.0,44.0
375,375,3,77.0,13.0
376,376,4,16.0,118.0
377,377,0,40.0,38.0
378,378,2,46.0,82.0
379,379,2,21.0,97.0
380,380,2,29.0,75.0
381,381,3,75.0,11.0
382,382,3,21.0,55.0
383,383,3,14.0,98.0
384,384,3,34.0,106.0
385,385,0,58.0,24.0
386,386,4,48.0,6.0
387,387,3,36.0,54.0
388,388,2,53.0,13.0
389,389,3,41.0,93.0
390,390,2,56.0,20.0
391,391,3,68.0,26.0
392,392,1,27.0,65.0
393,393,4,34.0,20.0
394,394,1,53.0,81.0
395,395,4,31.0,35.0
396,396,3,56.0,58.0
397,397,4,51.0,95.0
398,398,1,53.0,19.0
399,399,3,22.0,52.0
400,400,1,23.0,81.0
401,401,1,42.0,26.0
402,402,3,64.0,26.0
403,403,4,61.0,49.0
404,404,1,15.0,65.0
405,405,3,67.0,29.0
406,406,2,17.0,103.0
407,407,3,50.0,22.0
408,408,3,50.0,14.0
409,409,3,72.0,2.0
410,410,2,51.0,37.0
411,411,0,17.0,59.0
412,412,0,25.0,55.0
413,413,0,68.0,22.0
414,414,0,57.0,55.0
415,415,1,24.0,92.0
416,416,2,8.0,96.0
417,417,2,50.0,12.0
418,418,4,18.0,116.0
419,419,1,45.0,71.0
420,420,4,2.0,92.0
421,421,3,61.0,33.0
422,422,3,21.0,99.0
423,423,3,16.0,74.0
424,424,0,52.0,86.0
425,425,2,38.0,76.0
426,426,3,18.0,88.0
427,427,4,39.0,107.0
428,428,2,41.0,45.0
429,429,0,20.0,84.0
430,430,2,54.0,28.0
431,431,3,72.0,10.0
432,432,2,41.0,23.0
433,433,2,43.0,85.0
434,434,3,43.0,45.0
435,435,2,18.0,98.0
436,436,3,53.0,65.0
