section,obs_name,cluster,x,y
Mouse_Thymus1,11_49,3,10019.0,15970.0
Mouse_Thymus1,11_5,2,10019.0,11570.0
Mouse_Thymus1,11_50,3,10019.0,16070.0
Mouse_Thymus1,11_51,3,10019.0,16170.0
Mouse_Thymus1,11_52,3,10019.0,16270.0
Mouse_Thymus1,11_53,3,10019.0,16370.0
Mouse_Thymus1,11_54,2,10019.0,16470.0
Mouse_Thymus1,11_55,3,10019.0,16570.0
Mouse_Thymus1,11_56,7,10019.0,16670.0
Mouse_Thymus1,11_57,3,10019.0,16770.0
Mouse_Thymus1,11_58,3,10019.0,16870.0
Mouse_Thymus1,11_59,7,10019.0,16970.0
Mouse_Thymus1,11_6,6,10019.0,11670.0
Mouse_Thymus1,11_60,3,10019.0,17070.0
Mouse_Thymus1,11_61,3,10019.0,17170.0
Mouse_Thymus1,11_62,3,10019.0,17270.0
Mouse_Thymus1,11_63,6,10019.0,17370.0
Mouse_Thymus1,11_64,3,10019.0,17470.0
Mouse_Thymus1,11_65,3,10019.0,17570.0
Mouse_Thymus1,11_66,3,10019.0,17670.0
Mouse_Thymus1,11_67,3,10019.0,17770.0
Mouse_Thymus1,11_68,2,10019.0,17870.0
Mouse_Thymus1,11_69,3,10019.0,17970.0
Mouse_Thymus1,11_7,3,10019.0,11770.0
Mouse_Thymus1,11_70,3,10019.0,18070.0
Mouse_Thymus1,11_71,3,10019.0,18170.0
Mouse_Thymus1,11_72,3,10019.0,18270.0
Mouse_Thymus1,11_73,2,10019.0,18370.0
Mouse_Thymus1,11_74,3,10019.0,18470.0
Mouse_Thymus1,11_75,3,10019.0,18570.0
Mouse_Thymus1,11_76,3,10019.0,18670.0
Mouse_Thymus1,11_8,3,10019.0,11870.0
Mouse_Thymus1,11_9,3,10019.0,11970.0
Mouse_Thymus1,12_10,3,10119.0,12070.0
Mouse_Thymus1,12_11,3,10119.0,12170.0
Mouse_Thymus1,12_12,7,10119.0,12270.0
Mouse_Thymus1,12_13,2,10119.0,12370.0
Mouse_Thymus1,12_14,2,10119.0,12470.0
Mouse_Thymus1,12_15,7,10119.0,12570.0
Mouse_Thymus1,12_16,6,10119.0,12670.0
Mouse_Thymus1,12_17,2,10119.0,12770.0
Mouse_Thymus1,12_18,3,10119.0,12870.0
Mouse_Thymus1,12_19,7,10119.0,12970.0
Mouse_Thymus1,12_20,7,10119.0,13070.0
Mouse_Thymus1,12_21,3,10119.0,13170.0
Mouse_Thymus1,12_22,3,10119.0,13270.0
Mouse_Thymus1,12_23,2,10119.0,13370.0
Mouse_Thymus1,12_24,3,10119.0,13470.0
Mouse_Thymus1,12_25,3,10119.0,13570.0
Mouse_Thymus1,12_26,3,10119.0,13670.0
Mouse_Thymus1,12_27,3,10119.0,13770.0
Mouse_Thymus1,12_28,3,10119.0,13870.0
Mouse_Thymus1,12_29,3,10119.0,13970.0
Mouse_Thymus1,12_30,3,10119.0,14070.0
Mouse_Thymus1,12_31,2,10119.0,14170.0
Mouse_Thymus1,12_32,2,10119.0,14270.0
Mouse_Thymus1,12_33,3,10119.0,14370.0
Mouse_Thymus1,12_34,3,10119.0,14470.0
Mouse_Thymus1,12_35,7,10119.0,14570.0
Mouse_Thymus1,12_36,3,10119.0,14670.0
Mouse_Thymus1,12_37,3,10119.0,14770.0
Mouse_Thymus1,12_38,3,10119.0,14870.0
Mouse_Thymus1,12_39,3,10119.0,14970.0
Mouse_Thymus1,12_4,3,10119.0,11470.0
Mouse_Thymus1,12_40,7,10119.0,15070.0
Mouse_Thymus1,12_41,7,10119.0,15170.0
Mouse_Thymus1,12_42,3,10119.0,15270.0
Mouse_Thymus1,12_43,3,10119.0,15370.0
Mouse_Thymus1,12_44,7,10119.0,15470.0
Mouse_Thymus1,12_45,2,10119.0,15570.0
Mouse_Thymus1,12_46,3,10119.0,15670.0
Mouse_Thymus1,12_47,3,10119.0,15770.0
Mouse_Thymus1,12_48,3,10119.0,15870.0
Mouse_Thymus1,12_49,3,10119.0,15970.0
Mouse_Thymus1,12_5,3,10119.0,11570.0
Mouse_Thymus1,12_50,3,10119.0,16070.0
Mouse_Thymus1,12_51,3,10119.0,16170.0
Mouse_Thymus1,12_52,3,10119.0,16270.0
Mouse_Thymus1,12_53,3,10119.0,16370.0
Mouse_Thymus1,12_54,3,10119.0,16470.0
Mouse_Thymus1,12_55,3,10119.0,16570.0
Mouse_Thymus1,12_56,3,10119.0,16670.0
Mouse_Thymus1,12_57,3,10119.0,16770.0
Mouse_Thymus1,12_58,3,10119.0,16870.0
Mouse_Thymus1,12_59,3,10119.0,16970.0
Mouse_Thymus1,12_6,3,10119.0,11670.0
Mouse_Thymus1,12_60,3,10119.0,17070.0
Mouse_Thymus1,12_61,3,10119.0,17170.0
Mouse_Thymus1,12_62,3,10119.0,17270.0
Mouse_Thymus1,12_63,2,10119.0,17370.0
Mouse_Thymus1,12_64,3,10119.0,17470.0
Mouse_Thymus1,12_65,6,10119.0,17570.0
Mouse_Thymus1,12_66,3,10119.0,17670.0
Mouse_Thymus1,12_67,3,10119.0,17770.0
Mouse_Thymus1,12_68,3,10119.0,17870.0
Mouse_Thymus1,12_69,3,10119.0,17970.0
Mouse_Thymus1,12_7,3,10119.0,11770.0
Mouse_Thymus1,12_70,3,10119.0,18070.0
Mouse_Thymus1,12_71,7,10119.0,18170.0
Mouse_Thymus1,12_72,6,10119.0,18270.0
Mouse_Thymus1,12_73,6,10119.0,18370.0
Mouse_Thymus1,12_74,2,10119.0,18470.0
Mouse_Thymus1,12_75,7,10119.0,18570.0
Mouse_Thymus1,12_76,3,10119.0,18670.0
Mouse_Thymus1,12_77,3,10119.0,18770.0
Mouse_Thymus1,12_8,3,10119.0,11870.0
Mouse_Thymus1,12_9,3,10119.0,11970.0
Mouse_Thymus1,13_10,6,10219.0,12070.0
Mouse_Thymus1,13_11,2,10219.0,12170.0
Mouse_Thymus1,13_12,7,10219.0,12270.0
Mouse_Thymus1,13_13,3,10219.0,12370.0
Mouse_Thymus1,13_14,2,10219.0,12470.0
Mouse_Thymus1,13_15,3,10219.0,12570.0
Mouse_Thymus1,13_16,7,10219.0,12670.0
Mouse_Thymus1,13_17,7,10219.0,12770.0
Mouse_Thymus1,13_18,2,10219.0,12870.0
Mouse_Thymus1,13_19,3,10219.0,12970.0
Mouse_Thymus1,13_20,3,10219.0,13070.0
Mouse_Thymus1,13_21,3,10219.0,13170.0
Mouse_Thymus1,13_22,3,10219.0,13270.0
Mouse_Thymus1,13_23,3,10219.0,13370.0
Mouse_Thymus1,13_24,7,10219.0,13470.0
Mouse_Thymus1,13_25,3,10219.0,13570.0
Mouse_Thymus1,13_26,7,10219.0,13670.0
Mouse_Thymus1,13_27,3,10219.0,13770.0
Mouse_Thymus1,13_28,2,10219.0,13870.0
Mouse_Thymus1,13_29,3,10219.0,13970.0
