mode,section,cluster,count,section_fraction
joint,CRC_003,0,17357,0.10438479904257303
joint,CRC_003,1,21728,0.13067194293927675
joint,CRC_003,2,5057,0.030412740033317495
joint,CRC_003,3,32359,0.19460665507971542
joint,CRC_003,4,9640,0.05797484949993685
joint,CRC_003,5,3359,0.02020098749691783
joint,CRC_003,6,32243,0.19390903240938423
joint,CRC_003,7,44536,0.2678389934988784
joint,CRC_006,0,54544,0.12226992008428698
joint,CRC_006,1,47769,0.10708257209787153
joint,CRC_006,2,73534,0.16483932794584114
joint,CRC_006,3,70638,0.15834743720507963
joint,CRC_006,4,32574,0.07302032078368957
joint,CRC_006,5,64513,0.14461717795536824
joint,CRC_006,6,71198,0.15960277519362467
joint,CRC_006,7,31325,0.07022046873423822
