mode,k,mean_spatial_neighbor_agreement
independent,5,0.6209043328012218
independent,10,0.41809549632380133
independent,15,0.3057705347353532
independent,20,0.25792780240601504
independent,25,0.2226000749510586
joint,5,0.6428231640024615
joint,10,0.457464010503284
joint,15,0.360483819090325
joint,20,0.277026838730567
joint,25,0.24884328629154479
