mode,scope,label,n_obs_labeled,n_label_classes,k,ari_raw,nmi_raw,homogeneity_raw,completeness_raw,v_measure_raw,label_asw_raw,label_asw_scaled_raw,ari_standardized,nmi_standardized,homogeneity_standardized,completeness_standardized,v_measure_standardized,label_asw_standardized,label_asw_scaled_standardized,ari_delta_standardized_minus_raw,nmi_delta_standardized_minus_raw,homogeneity_delta_standardized_minus_raw,completeness_delta_standardized_minus_raw,v_measure_delta_standardized_minus_raw,label_asw_delta_standardized_minus_raw,label_asw_scaled_delta_standardized_minus_raw
joint,combined,Y,7118,14,2,0.1277324505702509,0.1900252243658561,0.1237745153737769,0.4088790630197324,0.1900252243658561,-0.0092484056949615,0.4953757971525192,0.1279366760812927,0.1902996681565808,0.123976910002441,0.4092118967358975,0.1902996681565808,-0.0090166302397847,0.4954916848801076,0.00020422551104179454,0.000274443790724721,0.00020239462866410152,0.00033283371616504853,0.000274443790724721,0.00023177545517679907,0.00011588772758835963
joint,combined,Combined_Clusters_annotation,7118,16,2,0.1635801535190003,0.2490509199147706,0.1637063376260753,0.5202948020512685,0.2490509199147706,0.0060568726621568,0.5030284363310784,0.1639631411620836,0.2534784014433073,0.1666493327339598,0.5292140658664418,0.2534784014433073,0.0076382127590477,0.5038191063795239,0.0003829876430833101,0.0044274815285366975,0.002942995107884483,0.008919263815173273,0.0044274815285366975,0.0015813400968908995,0.0007906700484454632
joint,combined,Combined_Clusters,7118,16,2,0.1635801535190003,0.2490509199147706,0.1637063376260753,0.5202948020512684,0.2490509199147706,0.0060568726621568,0.5030284363310784,0.1639631411620836,0.2534784014433073,0.1666493327339598,0.5292140658664419,0.2534784014433073,0.0076382127590477,0.5038191063795239,0.0003829876430833101,0.0044274815285366975,0.002942995107884483,0.008919263815173495,0.0044274815285366975,0.0015813400968908995,0.0007906700484454632
joint,combined,RNA_Clusters,7118,13,2,0.1346635389970637,0.2327913963370895,0.1521687475699034,0.4951153985815718,0.2327913963370896,0.0287821721285581,0.5143910860642791,0.1367410874941694,0.2366549626882599,0.1547240840327478,0.5030170349552426,0.2366549626882599,0.0280051548033952,0.5140025774016976,0.0020775484971057023,0.0038635663511703833,0.002555336462844393,0.007901636373670862,0.0038635663511703,-0.0007770173251629015,-0.0003885086625814438
joint,combined,ATAC_Clusters,7118,13,2,0.1607414553513594,0.242813886875648,0.1621160011318129,0.4834798272101115,0.242813886875648,0.02574940957129,0.512874704785645,0.1612581037853636,0.245479733189792,0.1639296365159984,0.4884878394675171,0.245479733189792,0.0270990096032619,0.513549504801631,0.0005166484340042021,0.002665846314143988,0.0018136353841854969,0.005008012257405603,0.002665846314143988,0.0013496000319719002,0.0006748000159859657
joint,combined,Y,7118,14,3,0.1820268726700025,0.2554316477884628,0.1879951631457215,0.398311551643173,0.2554316477884628,-0.0092484056949615,0.4953757971525192,0.1843840562130747,0.2611833492970948,0.1920505741087392,0.4080809502018525,0.2611833492970948,-0.0090166302397847,0.4954916848801076,0.0023571835430721833,0.005751701508632023,0.004055410963017703,0.009769398558679476,0.005751701508632023,0.00023177545517679907,0.00011588772758835963
joint,combined,Combined_Clusters_annotation,7118,16,3,0.1869378539839144,0.2843789081829984,0.2119437251124674,0.4320332236401917,0.2843789081829984,0.0060568726621568,0.5030284363310784,0.1933232374814566,0.2940595022113129,0.2189504921920927,0.4476071281408914,0.2940595022113128,0.0076382127590477,0.5038191063795239,0.006385383497542196,0.009680594028314504,0.007006767079625303,0.015573904500699676,0.009680594028314393,0.0015813400968908995,0.0007906700484454632
joint,combined,Combined_Clusters,7118,16,3,0.1869378539839144,0.2843789081829984,0.2119437251124674,0.4320332236401917,0.2843789081829984,0.0060568726621568,0.5030284363310784,0.1933232374814566,0.2940595022113129,0.2189504921920927,0.4476071281408914,0.2940595022113128,0.0076382127590477,0.5038191063795239,0.006385383497542196,0.009680594028314504,0.007006767079625303,0.015573904500699676,0.009680594028314393,0.0015813400968908995,0.0007906700484454632
joint,combined,RNA_Clusters,7118,13,3,0.1798761440405367,0.291320648259333,0.2154590856296165,0.44963319656487,0.291320648259333,0.0287821721285581,0.5143910860642791,0.1807715323689965,0.2954160958186832,0.2182838979064454,0.4568459104796635,0.2954160958186831,0.0280051548033952,0.5140025774016976,0.0008953883284598119,0.004095447559350207,0.002824812276828903,0.0072127139147935004,0.004095447559350096,-0.0007770173251629015,-0.0003885086625814438
joint,combined,ATAC_Clusters,7118,13,3,0.1802328498871682,0.2727139582191509,0.2076443023127147,0.3971779065401961,0.2727139582191509,0.02574940957129,0.512874704785645,0.1851378892973287,0.2812557779022175,0.2139359795447649,0.4103962459045601,0.2812557779022175,0.0270990096032619,0.513549504801631,0.004905039410160489,0.00854181968306661,0.006291677232050208,0.013218339364364007,0.00854181968306661,0.0013496000319719002,0.0006748000159859657
