mode,scope,k,n_obs,embedding_dim,cluster_asw_raw,cluster_asw_scaled_raw,calinski_harabasz_raw,davies_bouldin_raw,section_ari_raw,section_nmi_raw,section_asw_raw,metric_space_raw,labels_path_raw,cluster_asw_standardized,cluster_asw_scaled_standardized,calinski_harabasz_standardized,davies_bouldin_standardized,section_ari_standardized,section_nmi_standardized,section_asw_standardized,metric_space_standardized,labels_path_standardized,cluster_asw_delta_standardized_minus_raw,cluster_asw_scaled_delta_standardized_minus_raw,calinski_harabasz_delta_standardized_minus_raw,davies_bouldin_delta_standardized_minus_raw,section_ari_delta_standardized_minus_raw,section_nmi_delta_standardized_minus_raw,section_asw_delta_standardized_minus_raw
joint,combined,2,7118,128,0.1092590168118476,0.5546295084059238,898.6828889632571,2.785037453478771,0.1419917582643937,0.1761633514962871,0.0460386089980602,raw_embedding,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_all.csv,0.1021216288208961,0.5510608144104481,823.16145451589,2.9112502981413,0.1417685329756871,0.1750252783087398,0.0432956628501415,standardized_embedding,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_all.csv,-0.00713738799095151,-0.003568693995475769,-75.52143444736714,0.12621284466252902,-0.00022322528870660774,-0.0011380731875473005,-0.002742946147918701
joint,combined,3,7118,128,0.1056531965732574,0.5528265982866287,736.5241896974039,2.706761541053926,0.2442929731501043,0.2784403733268255,0.0460386089980602,raw_embedding,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_all.csv,0.0998220816254615,0.5499110408127308,668.135298147576,2.819377761105425,0.2314047008374569,0.2666827486858029,0.0432956628501415,standardized_embedding,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_all.csv,-0.0058311149477959096,-0.002915557473897934,-68.38889154982792,0.1126162200514993,-0.012888272312647386,-0.01175762464102259,-0.002742946147918701
joint,combined,4,7118,128,0.1055743992328643,0.5527871996164322,617.8602711252632,2.599207384935918,0.210259370474771,0.2520246956635739,0.0460386089980602,raw_embedding,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_all.csv,0.1026029288768768,0.5513014644384384,570.0670136563489,2.616451839146694,0.2312936182598221,0.3087987824051797,0.0432956628501415,standardized_embedding,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_all.csv,-0.0029714703559874933,-0.0014857351779937744,-47.79325746891436,0.017244454210775917,0.021034247785051086,0.056774086741605834,-0.002742946147918701
joint,combined,5,7118,128,0.1121572256088256,0.5560786128044128,567.734842469921,2.495509027702312,0.2039761324122783,0.2901385995758665,0.0460386089980602,raw_embedding,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_all.csv,0.1072825938463211,0.5536412969231606,525.0399444569026,2.5441818766693656,0.1998580406836874,0.2856682346132765,0.0432956628501415,standardized_embedding,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_all.csv,-0.004874631762504494,-0.002437315881252289,-42.69489801301836,0.04867284896705337,-0.0041180917285909,-0.004470364962590012,-0.002742946147918701
joint,combined,6,7118,128,0.1004902422428131,0.5502451211214066,517.0958565021142,2.650415414838989,0.2893565774576797,0.3736753079774152,0.0460386089980602,raw_embedding,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_all.csv,0.0961050391197204,0.5480525195598602,479.19452911549126,2.699324671669421,0.2887119569503881,0.3726073340219647,0.0432956628501415,standardized_embedding,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k6/labels_all.csv,-0.004385203123092693,-0.0021926015615463257,-37.90132738662294,0.04890925683043168,-0.0006446205072915823,-0.0010679739554504963,-0.002742946147918701
joint,combined,7,7118,128,0.095410406589508,0.547705203294754,466.9996749178031,2.800075928690872,0.2709924801360621,0.3643100093824563,0.0460386089980602,raw_embedding,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_all.csv,0.0965909138321876,0.5482954569160938,433.84753529111447,2.900582810522416,0.293716859217462,0.3820161176481554,0.0432956628501415,standardized_embedding,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k7/labels_all.csv,0.001180507242679596,0.000590253621339798,-33.15213962668861,0.10050688183154399,0.022724379081399904,0.017706108265699128,-0.002742946147918701
joint,combined,8,7118,128,0.0963556990027427,0.5481778495013714,430.61784333247857,2.787023407860895,0.2683476273191452,0.3717758238012831,0.0460386089980602,raw_embedding,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_all.csv,0.0948490723967552,0.5474245361983776,402.4260503062466,2.772826425478468,0.271405953878672,0.3645203774704506,0.0432956628501415,standardized_embedding,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_all.csv,-0.0015066266059874933,-0.0007533133029937744,-28.19179302623195,-0.014196982382427059,0.003058326559526814,-0.007255446330832527,-0.002742946147918701
joint,combined,9,7118,128,0.0971706956624984,0.5485853478312492,403.7638746429223,2.706305304645378,0.2598775240858992,0.358565618904387,0.0460386089980602,raw_embedding,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_all.csv,0.0944588929414749,0.5472294464707375,377.8284512070278,2.6481865035972296,0.2464362960608752,0.3340913070786239,0.0432956628501415,standardized_embedding,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k9/labels_all.csv,-0.002711802721023504,-0.0013559013605117798,-25.935423435894506,-0.058118801048148594,-0.01344122802502401,-0.024474311825763095,-0.002742946147918701
joint,combined,10,7118,128,0.0994956195354461,0.5497478097677231,382.8217774438834,2.6563566463250785,0.2289436542889984,0.3544647533680976,0.0460386089980602,raw_embedding,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_all.csv,0.0962987095117569,0.5481493547558784,358.0108662674872,2.6179320708485165,0.21888467519348,0.3299355909400239,0.0432956628501415,standardized_embedding,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_all.csv,-0.0031969100236892006,-0.001598455011844635,-24.81091117639619,-0.03842457547656197,-0.010058979095518394,-0.02452916242807368,-0.002742946147918701
joint,combined,11,7118,128,0.1022070795297622,0.5511035397648811,366.22232312171,2.577394618212145,0.1986714911486342,0.332470051686799,0.0460386089980602,raw_embedding,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_all.csv,0.0982642024755477,0.5491321012377739,342.5941156938421,2.591541519818935,0.2286702158876664,0.3570260124675652,0.0432956628501415,standardized_embedding,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k11/labels_all.csv,-0.003942877054214505,-0.0019714385271072388,-23.628207427867892,0.014146901606789886,0.0299987247390322,0.024555960780766217,-0.002742946147918701
