source,target,top1_accuracy,recall_at_5,mean_foscttm
Simulation1,Simulation2,0.17669753086419754,0.404320987654321,0.018239668239668237
Simulation2,Simulation3,0.15123456790123457,0.38040123456790126,0.019278802612135947
Simulation3,Simulation4,0.1527777777777778,0.38348765432098764,0.018666285332952
Simulation4,Simulation5,0.15200617283950618,0.3896604938271605,0.01961485294818628
