mode,k,mean_spatial_neighbor_agreement
independent,5,0.8607841039476596
independent,6,0.832579444096822
independent,8,0.791132480863756
independent,10,0.7356794677080006
joint,2,0.948403621842691
joint,3,0.8951718041597467
joint,4,0.8907324865981235
joint,5,0.8654292407372699
joint,6,0.8217439058988593
joint,7,0.8006294853674607
joint,8,0.7736764793103768
joint,9,0.7280689690594522
joint,10,0.7159187201585353
joint,11,0.7130527156598333
joint,12,0.5960106772879162
