mode,section,cluster,count,section_fraction
independent,CRC_003,0,15912,0.09569458560611983
independent,CRC_003,1,15871,0.09544801207608898
independent,CRC_003,2,20827,0.12525333926713536
independent,CRC_003,3,25498,0.15334467972504046
independent,CRC_003,4,13034,0.07838632659566151
independent,CRC_003,5,33576,0.2019256791296556
independent,CRC_003,6,12441,0.07482003139302017
independent,CRC_003,7,29120,0.17512734620727813
independent,CRC_006,0,50178,0.11248276712359476
independent,CRC_006,1,31455,0.07051188648157904
independent,CRC_006,2,65605,0.1470650870330311
independent,CRC_006,3,82170,0.1841984330691893
independent,CRC_006,4,31906,0.0715228818973537
independent,CRC_006,5,63753,0.14291350497091426
independent,CRC_006,6,55722,0.12491061321019066
independent,CRC_006,7,65306,0.1463948262141472
