section,obs_name,cluster,x,y
Mouse_Thymus4,36_76,2,13786.0,15400.0
Mouse_Thymus4,63_2,2,16486.0,8000.0
Mouse_Thymus4,40_26,3,14186.0,10400.0
Mouse_Thymus4,6_61,2,10786.0,13900.0
Mouse_Thymus4,12_36,2,11386.0,11400.0
Mouse_Thymus4,36_59,5,13786.0,13700.0
Mouse_Thymus4,4_58,0,10586.0,13600.0
Mouse_Thymus4,15_69,6,11686.0,14700.0
Mouse_Thymus4,22_31,6,12386.0,10900.0
Mouse_Thymus4,53_80,7,15486.0,15800.0
Mouse_Thymus4,47_10,5,14886.0,8800.0
Mouse_Thymus4,39_40,5,14086.0,11800.0
Mouse_Thymus4,1_56,2,10286.0,13400.0
Mouse_Thymus4,46_15,3,14786.0,9300.0
Mouse_Thymus4,21_61,0,12286.0,13900.0
Mouse_Thymus4,34_33,3,13586.0,11100.0
Mouse_Thymus4,42_63,6,14386.0,14100.0
Mouse_Thymus4,31_47,3,13286.0,12500.0
Mouse_Thymus4,54_80,6,15586.0,15800.0
Mouse_Thymus4,44_71,0,14586.0,14900.0
Mouse_Thymus4,53_105,3,15486.0,18300.0
Mouse_Thymus4,26_58,3,12786.0,13600.0
Mouse_Thymus4,18_43,3,11986.0,12100.0
Mouse_Thymus4,37_40,2,13886.0,11800.0
Mouse_Thymus4,51_107,3,15286.0,18500.0
Mouse_Thymus4,21_42,3,12286.0,12000.0
Mouse_Thymus4,32_38,6,13386.0,11600.0
Mouse_Thymus4,43_32,2,14486.0,11000.0
Mouse_Thymus4,45_52,3,14686.0,13000.0
Mouse_Thymus4,43_28,0,14486.0,10600.0
Mouse_Thymus4,10_57,6,11186.0,13500.0
Mouse_Thymus4,49_74,5,15086.0,15200.0
Mouse_Thymus4,29_48,5,13086.0,12600.0
Mouse_Thymus4,39_29,1,14086.0,10700.0
Mouse_Thymus4,20_83,2,12186.0,16100.0
Mouse_Thymus4,30_63,6,13186.0,14100.0
Mouse_Thymus4,34_71,5,13586.0,14900.0
Mouse_Thymus4,40_66,3,14186.0,14400.0
Mouse_Thymus4,27_36,5,12886.0,11400.0
Mouse_Thymus4,54_16,2,15586.0,9400.0
Mouse_Thymus4,39_25,3,14086.0,10300.0
Mouse_Thymus4,36_66,3,13786.0,14400.0
Mouse_Thymus4,29_45,5,13086.0,12300.0
Mouse_Thymus4,17_45,3,11886.0,12300.0
Mouse_Thymus4,47_32,1,14886.0,11000.0
Mouse_Thymus4,30_85,0,13186.0,16300.0
Mouse_Thymus4,57_102,6,15886.0,18000.0
Mouse_Thymus4,61_32,6,16286.0,11000.0
Mouse_Thymus4,47_98,5,14886.0,17600.0
Mouse_Thymus4,42_33,1,14386.0,11100.0
Mouse_Thymus4,59_14,2,16086.0,9200.0
Mouse_Thymus4,26_64,3,12786.0,14200.0
Mouse_Thymus4,22_58,0,12386.0,13600.0
Mouse_Thymus4,42_30,6,14386.0,10800.0
Mouse_Thymus4,30_57,3,13186.0,13500.0
Mouse_Thymus4,31_45,3,13286.0,12300.0
Mouse_Thymus4,28_87,6,12986.0,16500.0
Mouse_Thymus4,35_78,6,13686.0,15600.0
Mouse_Thymus4,49_3,2,15086.0,8100.0
Mouse_Thymus4,29_59,3,13086.0,13700.0
Mouse_Thymus4,51_83,3,15286.0,16100.0
Mouse_Thymus4,21_43,3,12286.0,12100.0
Mouse_Thymus4,33_56,5,13486.0,13400.0
Mouse_Thymus4,27_86,6,12886.0,16400.0
Mouse_Thymus4,59_90,2,16086.0,16800.0
Mouse_Thymus4,35_31,6,13686.0,10900.0
Mouse_Thymus4,33_80,3,13486.0,15800.0
Mouse_Thymus4,35_88,6,13686.0,16600.0
Mouse_Thymus4,46_35,6,14786.0,11300.0
Mouse_Thymus4,50_86,3,15186.0,16400.0
Mouse_Thymus4,48_93,3,14986.0,17100.0
Mouse_Thymus4,38_30,3,13986.0,10800.0
Mouse_Thymus4,35_71,5,13686.0,14900.0
Mouse_Thymus4,59_98,4,16086.0,17600.0
Mouse_Thymus4,41_66,2,14286.0,14400.0
Mouse_Thymus4,33_76,5,13486.0,15400.0
