mode,scope,k,n_iter,n_steps,inertia,labels_cache,centers_cache
independent,section1,5,2,278,63947192.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k5.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k5_centers.npy
independent,section1,6,2,282,61211940.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k6.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k6_centers.npy
independent,section1,7,2,258,59412804.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k7.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k7_centers.npy
independent,section1,8,3,336,56795516.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k8.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k8_centers.npy
independent,section1,9,2,258,54296304.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k9.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k9_centers.npy
independent,section1,10,2,258,53044520.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k10.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k10_centers.npy
independent,section1,11,2,260,53110408.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k11.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k11_centers.npy
independent,section1,12,2,258,50766556.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k12.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k12_centers.npy
independent,section1,13,2,258,49194332.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k13.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k13_centers.npy
independent,section1,14,2,258,48401888.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k14.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k14_centers.npy
independent,section1,15,3,332,47890712.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k15.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k15_centers.npy
independent,section1,16,2,276,47853716.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k16.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k16_centers.npy
independent,section1,17,2,275,46570156.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k17.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k17_centers.npy
independent,section1,18,3,336,45005168.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k18.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k18_centers.npy
independent,section1,19,3,337,44611180.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k19.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k19_centers.npy
independent,section1,20,3,336,44417472.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k20.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k20_centers.npy
independent,section2,2,2,177,45798844.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k2.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k2_centers.npy
independent,section2,3,1,97,42490988.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k3.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k3_centers.npy
