mode,section,cluster,count,section_fraction
joint,CRC_003,0,1365,0.1365
joint,CRC_003,1,106,0.0106
joint,CRC_003,2,1097,0.1097
joint,CRC_003,3,1202,0.1202
joint,CRC_003,4,130,0.013
joint,CRC_003,5,144,0.0144
joint,CRC_003,6,893,0.0893
joint,CRC_003,7,995,0.0995
joint,CRC_003,8,883,0.0883
joint,CRC_003,9,186,0.0186
joint,CRC_003,10,48,0.0048
joint,CRC_003,11,4,0.0004
joint,CRC_003,12,1045,0.1045
joint,CRC_003,13,200,0.02
joint,CRC_003,14,1702,0.1702
joint,CRC_006,0,47,0.0047
joint,CRC_006,1,1144,0.1144
joint,CRC_006,2,402,0.0402
joint,CRC_006,3,513,0.0513
joint,CRC_006,4,1600,0.16
joint,CRC_006,5,1119,0.1119
joint,CRC_006,6,63,0.0063
joint,CRC_006,7,18,0.0018
joint,CRC_006,8,129,0.0129
joint,CRC_006,9,1054,0.1054
joint,CRC_006,10,1291,0.1291
joint,CRC_006,11,1264,0.1264
joint,CRC_006,12,125,0.0125
joint,CRC_006,13,1197,0.1197
joint,CRC_006,14,34,0.0034
