section,spot_index,obs_name,cluster,stage
Mouse_Thymus1,0,0_22,6,Mouse_Thymus1
Mouse_Thymus1,1,0_33,2,Mouse_Thymus1
Mouse_Thymus1,2,0_40,2,Mouse_Thymus1
Mouse_Thymus1,3,0_41,2,Mouse_Thymus1
Mouse_Thymus1,4,0_42,2,Mouse_Thymus1
Mouse_Thymus1,5,10_10,10,Mouse_Thymus1
Mouse_Thymus1,6,10_11,10,Mouse_Thymus1
Mouse_Thymus1,7,10_12,2,Mouse_Thymus1
Mouse_Thymus1,8,10_13,2,Mouse_Thymus1
Mouse_Thymus1,9,10_14,2,Mouse_Thymus1
Mouse_Thymus1,10,10_15,2,Mouse_Thymus1
Mouse_Thymus1,11,10_16,2,Mouse_Thymus1
Mouse_Thymus1,12,10_17,6,Mouse_Thymus1
Mouse_Thymus1,13,10_18,2,Mouse_Thymus1
Mouse_Thymus1,14,10_19,2,Mouse_Thymus1
Mouse_Thymus1,15,10_20,4,Mouse_Thymus1
Mouse_Thymus1,16,10_21,2,Mouse_Thymus1
Mouse_Thymus1,17,10_22,2,Mouse_Thymus1
Mouse_Thymus1,18,10_23,10,Mouse_Thymus1
Mouse_Thymus1,19,10_24,10,Mouse_Thymus1
Mouse_Thymus1,20,10_25,2,Mouse_Thymus1
Mouse_Thymus1,21,10_26,2,Mouse_Thymus1
Mouse_Thymus1,22,10_27,2,Mouse_Thymus1
Mouse_Thymus1,23,10_28,2,Mouse_Thymus1
Mouse_Thymus1,24,10_29,2,Mouse_Thymus1
Mouse_Thymus1,25,10_30,2,Mouse_Thymus1
Mouse_Thymus1,26,10_31,10,Mouse_Thymus1
Mouse_Thymus1,27,10_32,2,Mouse_Thymus1
Mouse_Thymus1,28,10_33,2,Mouse_Thymus1
Mouse_Thymus1,29,10_34,6,Mouse_Thymus1
Mouse_Thymus1,30,10_35,10,Mouse_Thymus1
Mouse_Thymus1,31,10_36,10,Mouse_Thymus1
Mouse_Thymus1,32,10_37,2,Mouse_Thymus1
Mouse_Thymus1,33,10_38,2,Mouse_Thymus1
Mouse_Thymus1,34,10_39,10,Mouse_Thymus1
Mouse_Thymus1,35,10_4,2,Mouse_Thymus1
Mouse_Thymus1,36,10_40,2,Mouse_Thymus1
Mouse_Thymus1,37,10_41,2,Mouse_Thymus1
Mouse_Thymus1,38,10_42,2,Mouse_Thymus1
Mouse_Thymus1,39,10_43,2,Mouse_Thymus1
Mouse_Thymus1,40,10_44,2,Mouse_Thymus1
Mouse_Thymus1,41,10_45,10,Mouse_Thymus1
Mouse_Thymus1,42,10_46,2,Mouse_Thymus1
Mouse_Thymus1,43,10_47,2,Mouse_Thymus1
Mouse_Thymus1,44,10_48,10,Mouse_Thymus1
Mouse_Thymus1,45,10_49,2,Mouse_Thymus1
Mouse_Thymus1,46,10_5,2,Mouse_Thymus1
Mouse_Thymus1,47,10_50,2,Mouse_Thymus1
Mouse_Thymus1,48,10_51,2,Mouse_Thymus1
Mouse_Thymus1,49,10_52,2,Mouse_Thymus1
Mouse_Thymus1,50,10_53,2,Mouse_Thymus1
Mouse_Thymus1,51,10_54,4,Mouse_Thymus1
Mouse_Thymus1,52,10_55,2,Mouse_Thymus1
Mouse_Thymus1,53,10_56,2,Mouse_Thymus1
Mouse_Thymus1,54,10_57,2,Mouse_Thymus1
Mouse_Thymus1,55,10_58,2,Mouse_Thymus1
Mouse_Thymus1,56,10_59,10,Mouse_Thymus1
Mouse_Thymus1,57,10_6,2,Mouse_Thymus1
Mouse_Thymus1,58,10_60,2,Mouse_Thymus1
Mouse_Thymus1,59,10_61,2,Mouse_Thymus1
Mouse_Thymus1,60,10_62,2,Mouse_Thymus1
Mouse_Thymus1,61,10_63,10,Mouse_Thymus1
Mouse_Thymus1,62,10_64,2,Mouse_Thymus1
Mouse_Thymus1,63,10_65,2,Mouse_Thymus1
Mouse_Thymus1,64,10_66,2,Mouse_Thymus1
Mouse_Thymus1,65,10_67,6,Mouse_Thymus1
Mouse_Thymus1,66,10_68,2,Mouse_Thymus1
Mouse_Thymus1,67,10_69,2,Mouse_Thymus1
Mouse_Thymus1,68,10_7,2,Mouse_Thymus1
Mouse_Thymus1,69,10_70,2,Mouse_Thymus1
Mouse_Thymus1,70,10_71,2,Mouse_Thymus1
Mouse_Thymus1,71,10_72,2,Mouse_Thymus1
Mouse_Thymus1,72,10_73,2,Mouse_Thymus1
Mouse_Thymus1,73,10_74,2,Mouse_Thymus1
Mouse_Thymus1,74,10_75,4,Mouse_Thymus1
Mouse_Thymus1,75,10_8,2,Mouse_Thymus1
Mouse_Thymus1,76,10_9,2,Mouse_Thymus1
Mouse_Thymus1,77,11_10,10,Mouse_Thymus1
Mouse_Thymus1,78,11_11,2,Mouse_Thymus1
Mouse_Thymus1,79,11_12,6,Mouse_Thymus1
Mouse_Thymus1,80,11_13,2,Mouse_Thymus1
Mouse_Thymus1,81,11_14,2,Mouse_Thymus1
Mouse_Thymus1,82,11_15,2,Mouse_Thymus1
Mouse_Thymus1,83,11_16,6,Mouse_Thymus1
Mouse_Thymus1,84,11_17,2,Mouse_Thymus1
Mouse_Thymus1,85,11_18,2,Mouse_Thymus1
Mouse_Thymus1,86,11_19,10,Mouse_Thymus1
Mouse_Thymus1,87,11_20,4,Mouse_Thymus1
Mouse_Thymus1,88,11_21,2,Mouse_Thymus1
Mouse_Thymus1,89,11_22,2,Mouse_Thymus1
Mouse_Thymus1,90,11_23,2,Mouse_Thymus1
Mouse_Thymus1,91,11_24,2,Mouse_Thymus1
Mouse_Thymus1,92,11_25,10,Mouse_Thymus1
