mode,n_clusters,n_clusters_observed,cluster_asw,cluster_asw_scaled,dbi,calinski_harabasz,label_key,n_labeled,n_true_labels,ari,nmi,label_asw,label_asw_scaled,section,spatial_neighbor_agreement
joint,5,5.0,0.2772883176803589,0.6386441588401794,2.2221804607209448,2157.7738089516174,section,17824.0,4.0,0.30703891998726496,0.38257274141296166,0.09815472364425659,0.5490773618221283,,
joint,5,5.0,0.2772883176803589,0.6386441588401794,2.2221804607209448,2157.7738089516174,section,17824.0,4.0,0.30703891998726496,0.38257274141296166,,,,
joint_section_spatial,5,,,,,,cluster,,,,,,,Mouse_Thymus1,0.8049109360584771
joint_section_spatial,5,,,,,,cluster,,,,,,,Mouse_Thymus2,0.6561250881730543
joint_section_spatial,5,,,,,,cluster,,,,,,,Mouse_Thymus3,0.6457167455876023
joint_section_spatial,5,,,,,,cluster,,,,,,,Mouse_Thymus4,0.6399795017344686
independent,5,5.0,0.25019627809524536,0.6250981390476227,2.222080044587107,703.8828271477705,section,4697.0,1.0,0.0,0.0,,,Mouse_Thymus1,
independent_section_spatial,5,,,,,,cluster,,,,,,,Mouse_Thymus1,0.37037825562415727
independent,5,5.0,0.1377270221710205,0.5688635110855103,2.748991735904993,524.3687094959944,section,4253.0,1.0,0.0,0.0,,,Mouse_Thymus2,
independent_section_spatial,5,,,,,,cluster,,,,,,,Mouse_Thymus2,0.5117955952660866
independent,5,5.0,0.19245709478855133,0.5962285473942757,2.4066453432793233,616.941925170494,section,4646.0,1.0,0.0,0.0,,,Mouse_Thymus3,
independent_section_spatial,5,,,,,,cluster,,,,,,,Mouse_Thymus3,0.5577916487300904
independent,5,5.0,0.20171859860420227,0.6008592993021011,2.338562163096166,550.4735724639193,section,4228.0,1.0,0.0,0.0,,,Mouse_Thymus4,
independent_section_spatial,5,,,,,,cluster,,,,,,,Mouse_Thymus4,0.5717439293598234
joint,8,8.0,0.2472829818725586,0.6236414909362793,2.00233493430678,1520.4362337507007,section,17824.0,4.0,0.2434300225837303,0.3506922240703057,0.09815472364425659,0.5490773618221283,,
joint,8,8.0,0.2472829818725586,0.6236414909362793,2.00233493430678,1520.4362337507007,section,17824.0,4.0,0.2434300225837303,0.3506922240703057,,,,
joint_section_spatial,8,,,,,,cluster,,,,,,,Mouse_Thymus1,0.5683414945710028
joint_section_spatial,8,,,,,,cluster,,,,,,,Mouse_Thymus2,0.5959322830942864
joint_section_spatial,8,,,,,,cluster,,,,,,,Mouse_Thymus3,0.5874228727220548
joint_section_spatial,8,,,,,,cluster,,,,,,,Mouse_Thymus4,0.5787212235887732
