mode,k,section_ARI_diagnostic,section_NMI_diagnostic
joint,5,-0.0005841959186694702,9.803975106828312e-07
joint,8,-0.0007500175301290048,5.202194506159975e-06
joint,10,-0.0008173468294745063,1.1292841042722799e-05
joint,12,-0.0008557888419745122,9.816823962308519e-06
