section,spot_index,obs_name,cluster,stage
Mouse_Thymus2,0,110_38,1,Mouse_Thymus2
Mouse_Thymus2,1,71_20,6,Mouse_Thymus2
Mouse_Thymus2,2,48_23,6,Mouse_Thymus2
Mouse_Thymus2,3,94_54,2,Mouse_Thymus2
Mouse_Thymus2,4,69_34,1,Mouse_Thymus2
Mouse_Thymus2,5,9_46,5,Mouse_Thymus2
Mouse_Thymus2,6,108_57,6,Mouse_Thymus2
Mouse_Thymus2,7,115_65,2,Mouse_Thymus2
Mouse_Thymus2,8,104_42,6,Mouse_Thymus2
Mouse_Thymus2,9,94_23,1,Mouse_Thymus2
Mouse_Thymus2,10,111_42,1,Mouse_Thymus2
Mouse_Thymus2,11,13_51,2,Mouse_Thymus2
Mouse_Thymus2,12,17_39,2,Mouse_Thymus2
Mouse_Thymus2,13,63_20,6,Mouse_Thymus2
Mouse_Thymus2,14,89_44,2,Mouse_Thymus2
Mouse_Thymus2,15,99_40,5,Mouse_Thymus2
Mouse_Thymus2,16,72_27,1,Mouse_Thymus2
Mouse_Thymus2,17,82_0,5,Mouse_Thymus2
Mouse_Thymus2,18,64_27,2,Mouse_Thymus2
Mouse_Thymus2,19,78_46,5,Mouse_Thymus2
Mouse_Thymus2,20,89_14,1,Mouse_Thymus2
Mouse_Thymus2,21,78_8,2,Mouse_Thymus2
Mouse_Thymus2,22,78_18,6,Mouse_Thymus2
Mouse_Thymus2,23,96_24,1,Mouse_Thymus2
Mouse_Thymus2,24,63_29,1,Mouse_Thymus2
Mouse_Thymus2,25,97_7,2,Mouse_Thymus2
Mouse_Thymus2,26,88_9,6,Mouse_Thymus2
Mouse_Thymus2,27,53_31,5,Mouse_Thymus2
Mouse_Thymus2,28,45_38,1,Mouse_Thymus2
Mouse_Thymus2,29,88_49,5,Mouse_Thymus2
Mouse_Thymus2,30,117_46,1,Mouse_Thymus2
Mouse_Thymus2,31,29_46,1,Mouse_Thymus2
Mouse_Thymus2,32,87_26,5,Mouse_Thymus2
Mouse_Thymus2,33,55_23,5,Mouse_Thymus2
Mouse_Thymus2,34,94_31,5,Mouse_Thymus2
Mouse_Thymus2,35,75_26,1,Mouse_Thymus2
Mouse_Thymus2,36,67_32,5,Mouse_Thymus2
Mouse_Thymus2,37,78_12,2,Mouse_Thymus2
Mouse_Thymus2,38,115_52,2,Mouse_Thymus2
