mode,section,cluster,count,section_fraction
joint,CRC_003,0,102,0.0102
joint,CRC_003,1,209,0.0209
joint,CRC_003,2,1536,0.1536
joint,CRC_003,3,511,0.0511
joint,CRC_003,4,1253,0.1253
joint,CRC_003,5,2019,0.2019
joint,CRC_003,6,130,0.013
joint,CRC_003,7,843,0.0843
joint,CRC_003,8,323,0.0323
joint,CRC_003,9,1300,0.13
joint,CRC_003,10,36,0.0036
joint,CRC_003,11,40,0.004
joint,CRC_003,12,1492,0.1492
joint,CRC_003,13,20,0.002
joint,CRC_003,14,186,0.0186
joint,CRC_006,0,834,0.0834
joint,CRC_006,1,1004,0.1004
joint,CRC_006,2,66,0.0066
joint,CRC_006,3,1083,0.1083
joint,CRC_006,4,92,0.0092
joint,CRC_006,5,109,0.0109
joint,CRC_006,6,1381,0.1381
joint,CRC_006,7,163,0.0163
joint,CRC_006,8,746,0.0746
joint,CRC_006,9,279,0.0279
joint,CRC_006,10,397,0.0397
joint,CRC_006,11,1165,0.1165
joint,CRC_006,12,45,0.0045
joint,CRC_006,13,1387,0.1387
joint,CRC_006,14,1249,0.1249
