section,n_obs,neighbor_k,algorithm,barcode_order_sha256,graph_path,graph_sha256
CRC_003_bin20,166279,6,sklearn NearestNeighbors kd_tree exact,f39462da3e912bb20ed8472ac8860a9e22e3e08df629b4da8fba6d0e12b45e70,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/spatial_neighbors_CRC_003_bin20.npz,ccdf7450c5e7a054b1afc4e458666af9699e12242994610ab6ac854ce6fbe899
CRC_006_bin20,446095,6,sklearn NearestNeighbors kd_tree exact,159bc69b3fc55161ae8ee82d69de70addfcf42770ecb1054c1ba9a759760eab5,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/spatial_neighbors_CRC_006_bin20.npz,c496717c9ff6a423b1b387ccff9c542da97879617576aa1d66bd7f2827be7b4f
