mode,section,cluster,count,section_fraction
independent,CRC_003,0,671,0.0671
independent,CRC_003,1,1190,0.119
independent,CRC_003,2,1420,0.142
independent,CRC_003,3,1116,0.1116
independent,CRC_003,4,1252,0.1252
independent,CRC_003,5,1160,0.116
independent,CRC_003,6,1109,0.1109
independent,CRC_003,7,1186,0.1186
independent,CRC_003,8,764,0.0764
independent,CRC_003,9,132,0.0132
independent,CRC_006,0,1252,0.1252
independent,CRC_006,1,1042,0.1042
independent,CRC_006,2,929,0.0929
independent,CRC_006,3,1300,0.13
independent,CRC_006,4,734,0.0734
independent,CRC_006,5,1224,0.1224
independent,CRC_006,6,704,0.0704
independent,CRC_006,7,1047,0.1047
independent,CRC_006,8,414,0.0414
independent,CRC_006,9,1354,0.1354
