row_index,selected_spot_index,cluster,x,y
227,227,5,59.0,79.0
228,228,3,66.0,40.0
229,229,1,59.0,89.0
230,230,3,7.0,51.0
231,231,1,46.0,84.0
232,232,1,62.0,98.0
233,233,1,68.0,84.0
234,234,4,55.0,55.0
235,235,4,49.0,19.0
236,236,3,65.0,43.0
237,237,0,23.0,23.0
238,238,1,63.0,45.0
239,239,3,75.0,85.0
240,240,3,68.0,40.0
241,241,5,38.0,98.0
242,242,7,48.0,8.0
243,243,4,49.0,55.0
244,244,0,17.0,77.0
245,245,3,73.0,69.0
246,246,2,23.0,49.0
247,247,6,30.0,64.0
248,248,3,55.0,121.0
249,249,1,58.0,70.0
250,250,3,52.0,124.0
251,251,4,40.0,108.0
252,252,6,27.0,59.0
253,253,0,15.0,79.0
254,254,3,65.0,35.0
255,255,6,37.0,97.0
256,256,1,55.0,105.0
257,257,5,51.0,71.0
258,258,4,52.0,20.0
259,259,3,37.0,119.0
260,260,3,24.0,112.0
261,261,2,17.0,99.0
262,262,6,19.0,41.0
263,263,7,27.0,47.0
264,264,1,58.0,92.0
265,265,7,53.0,115.0
266,266,7,34.0,110.0
267,267,6,24.0,86.0
268,268,5,28.0,74.0
269,269,5,53.0,87.0
270,270,0,14.0,66.0
271,271,2,30.0,116.0
272,272,3,37.0,121.0
273,273,4,59.0,97.0
274,274,4,46.0,34.0
275,275,1,48.0,94.0
276,276,4,45.0,13.0
277,277,3,76.0,84.0
278,278,3,74.0,76.0
279,279,6,23.0,29.0
280,280,7,62.0,114.0
281,281,4,29.0,107.0
282,282,4,20.0,54.0
283,283,7,29.0,99.0
284,284,4,56.0,72.0
285,285,4,64.0,102.0
286,286,1,35.0,53.0
287,287,4,69.0,105.0
288,288,2,30.0,2.0
289,289,2,60.0,116.0
290,290,0,10.0,76.0
291,291,4,38.0,94.0
292,292,0,13.0,59.0
293,293,1,57.0,41.0
294,294,1,32.0,48.0
295,295,7,43.0,111.0
296,296,1,62.0,40.0
297,297,1,39.0,99.0
298,298,4,54.0,94.0
299,299,6,37.0,35.0
300,300,1,57.0,75.0
301,301,1,50.0,92.0
302,302,7,47.0,55.0
303,303,6,18.0,52.0
304,304,7,36.0,2.0
305,305,0,21.0,27.0
306,306,6,14.0,50.0
307,307,4,50.0,14.0
308,308,4,32.0,90.0
309,309,4,47.0,25.0
310,310,3,8.0,58.0
311,311,4,44.0,50.0
312,312,4,45.0,25.0
313,313,6,42.0,42.0
314,314,7,28.0,2.0
315,315,4,56.0,74.0
316,316,0,66.0,66.0
317,317,7,42.0,114.0
318,318,4,56.0,54.0
319,319,0,16.0,60.0
320,320,0,16.0,74.0
321,321,4,47.0,17.0
322,322,0,19.0,25.0
323,323,6,26.0,68.0
324,324,6,23.0,73.0
325,325,1,69.0,59.0
326,326,7,31.0,7.0
327,327,6,24.0,26.0
328,328,6,18.0,62.0
329,329,6,21.0,41.0
330,330,4,60.0,48.0
331,331,7,35.0,47.0
332,332,6,19.0,67.0
333,333,2,23.0,107.0
334,334,6,36.0,16.0
335,335,5,46.0,48.0
336,336,3,11.0,91.0
337,337,6,46.0,116.0
338,338,7,47.0,81.0
339,339,2,17.0,97.0
340,340,3,63.0,39.0
341,341,6,29.0,39.0
342,342,5,54.0,82.0
343,343,0,14.0,36.0
344,344,2,38.0,2.0
345,345,5,22.0,54.0
346,346,2,18.0,98.0
347,347,7,67.0,71.0
348,348,6,25.0,83.0
349,349,0,10.0,62.0
350,350,7,25.0,19.0
351,351,7,30.0,10.0
352,352,5,46.0,74.0
353,353,5,45.0,57.0
354,354,4,46.0,118.0
355,355,6,24.0,88.0
356,356,2,29.0,113.0
357,357,4,53.0,19.0
358,358,3,15.0,21.0
359,359,3,59.0,11.0
360,360,6,22.0,68.0
361,361,5,52.0,68.0
362,362,6,34.0,90.0
363,363,5,37.0,45.0
364,364,5,62.0,72.0
365,365,7,46.0,36.0
366,366,1,49.0,95.0
367,367,3,18.0,14.0
368,368,5,55.0,29.0
369,369,3,74.0,64.0
370,370,4,59.0,47.0
371,371,3,7.0,57.0
372,372,4,63.0,107.0
373,373,3,45.0,1.0
374,374,3,66.0,38.0
375,375,0,23.0,19.0
376,376,6,25.0,27.0
377,377,0,19.0,31.0
378,378,7,38.0,8.0
379,379,5,28.0,22.0
380,380,6,13.0,37.0
381,381,4,69.0,91.0
382,382,0,13.0,83.0
383,383,4,62.0,56.0
384,384,1,58.0,110.0
385,385,5,45.0,75.0
386,386,7,32.0,2.0
387,387,5,51.0,49.0
388,388,5,27.0,81.0
389,389,1,32.0,94.0
390,390,3,74.0,66.0
391,391,5,38.0,72.0
392,392,3,46.0,122.0
393,393,2,23.0,87.0
394,394,5,55.0,39.0
395,395,6,21.0,95.0
396,396,6,20.0,64.0
397,397,0,16.0,32.0
398,398,6,28.0,96.0
399,399,1,56.0,78.0
400,400,7,42.0,4.0
401,401,5,41.0,71.0
402,402,4,53.0,49.0
403,403,5,63.0,91.0
404,404,5,62.0,48.0
405,405,4,63.0,95.0
406,406,2,51.0,119.0
407,407,7,29.0,41.0
408,408,4,51.0,31.0
409,409,7,47.0,13.0
410,410,7,58.0,32.0
411,411,2,19.0,99.0
412,412,3,15.0,101.0
413,413,4,40.0,54.0
414,414,5,36.0,102.0
415,415,4,34.0,38.0
416,416,4,68.0,94.0
417,417,7,45.0,11.0
418,418,5,38.0,44.0
419,419,6,42.0,68.0
420,420,2,38.0,116.0
421,421,5,47.0,63.0
422,422,0,11.0,79.0
423,423,3,18.0,104.0
424,424,1,57.0,87.0
425,425,1,61.0,81.0
426,426,1,49.0,69.0
427,427,2,52.0,4.0
428,428,4,49.0,53.0
429,429,3,69.0,51.0
430,430,3,72.0,74.0
431,431,1,45.0,31.0
432,432,0,9.0,59.0
433,433,1,30.0,88.0
434,434,6,32.0,84.0
435,435,7,30.0,38.0
436,436,3,8.0,76.0
437,437,3,68.0,112.0
438,438,7,33.0,111.0
439,439,2,11.0,49.0
440,440,6,36.0,42.0
441,441,0,17.0,67.0
442,442,3,62.0,118.0
443,443,4,32.0,4.0
444,444,1,62.0,38.0
445,445,3,11.0,89.0
446,446,4,16.0,50.0
447,447,0,57.0,17.0
448,448,1,63.0,85.0
449,449,4,56.0,44.0
450,450,6,44.0,38.0
451,451,3,8.0,46.0
452,452,0,15.0,89.0
453,453,1,45.0,105.0
454,454,3,41.0,121.0
455,455,1,55.0,93.0
456,456,7,46.0,62.0
457,457,7,59.0,61.0
458,458,4,21.0,53.0
459,459,1,47.0,105.0
460,460,4,71.0,75.0
461,461,5,24.0,64.0
462,462,1,50.0,102.0
463,463,2,19.0,103.0
464,464,4,55.0,117.0
465,465,3,74.0,92.0
466,466,1,68.0,90.0
467,467,3,15.0,97.0
468,468,3,65.0,41.0
469,469,1,33.0,59.0
470,470,7,51.0,37.0
471,471,4,69.0,79.0
472,472,7,30.0,34.0
473,473,6,34.0,30.0
474,474,6,44.0,66.0
475,475,5,42.0,28.0
476,476,0,11.0,77.0
477,477,4,44.0,114.0
478,478,5,52.0,36.0
479,479,6,24.0,74.0
480,480,5,45.0,47.0
481,481,1,45.0,79.0
482,482,0,17.0,91.0
483,483,4,44.0,48.0
484,484,2,55.0,13.0
485,485,0,40.0,116.0
486,486,0,30.0,112.0
487,487,7,36.0,14.0
488,488,7,51.0,17.0
489,489,4,44.0,14.0
490,490,4,70.0,84.0
491,491,7,57.0,69.0
492,492,3,40.0,120.0
493,493,6,22.0,38.0
494,494,3,12.0,90.0
495,495,3,28.0,114.0
496,496,7,61.0,73.0
497,497,3,72.0,50.0
498,498,5,50.0,50.0
499,499,3,17.0,17.0
500,500,4,61.0,69.0
501,501,6,26.0,18.0
502,502,4,52.0,110.0
503,503,6,37.0,17.0
504,504,6,31.0,39.0
505,505,7,40.0,32.0
506,506,0,21.0,15.0
507,507,1,41.0,103.0
508,508,1,43.0,93.0
509,509,5,34.0,68.0
510,510,6,20.0,82.0
511,511,5,57.0,95.0
512,512,6,22.0,66.0
513,513,2,7.0,67.0
514,514,6,48.0,90.0
515,515,0,26.0,12.0
516,516,3,73.0,79.0
517,517,7,64.0,66.0
518,518,3,68.0,46.0
519,519,5,48.0,74.0
520,520,2,8.0,52.0
521,521,4,54.0,114.0
522,522,6,52.0,86.0
523,523,0,24.0,106.0
524,524,4,42.0,110.0
525,525,1,59.0,111.0
526,526,6,43.0,99.0
527,527,5,51.0,59.0
528,528,5,59.0,37.0
529,529,1,68.0,102.0
530,530,1,31.0,53.0
531,531,1,34.0,78.0
532,532,2,27.0,103.0
533,533,2,16.0,92.0
534,534,3,8.0,78.0
535,535,5,41.0,35.0
536,536,3,60.0,14.0
537,537,7,41.0,7.0
538,538,1,58.0,112.0
539,539,0,19.0,27.0
540,540,2,21.0,9.0
541,541,3,73.0,81.0
542,542,7,37.0,13.0
543,543,7,44.0,52.0
544,544,4,28.0,88.0
545,545,3,70.0,46.0
546,546,1,48.0,44.0
547,547,4,63.0,105.0
548,548,4,54.0,44.0
549,549,2,53.0,7.0
550,550,2,34.0,116.0
551,551,4,68.0,64.0
552,552,0,24.0,104.0
553,553,4,44.0,16.0
554,554,4,44.0,32.0
555,555,5,46.0,82.0
556,556,3,11.0,35.0
557,557,4,57.0,119.0
558,558,6,26.0,70.0
559,559,6,38.0,54.0
560,560,4,33.0,49.0
561,561,7,57.0,21.0
562,562,1,57.0,111.0
563,563,6,48.0,80.0
564,564,7,23.0,55.0
565,565,4,66.0,100.0
