mode,n_clusters,n_clusters_observed,cluster_asw,cluster_asw_scaled,dbi,calinski_harabasz,label_key,n_labeled,n_true_labels,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,section,spatial_neighbor_agreement
joint,8,8.0,0.09548722952604294,0.5477436147630215,2.8016055476826134,401.0717744827259,Y,7118.0,14.0,0.2516763971748092,0.35271493251695035,0.33167923211899564,0.3765995619673207,0.3527149325169504,-0.009016629308462143,0.49549168534576893,,
joint,8,8.0,0.09548722952604294,0.5477436147630215,2.8016055476826134,401.0717744827259,Combined_Clusters_annotation,7118.0,16.0,0.2505905339860911,0.39609716025307395,0.3793452578434234,0.4143969467049279,0.3960971602530739,0.007638212293386459,0.5038191061466932,,
joint,8,8.0,0.09548722952604294,0.5477436147630215,2.8016055476826134,401.0717744827259,Combined_Clusters,7118.0,16.0,0.2505905339860911,0.39609716025307407,0.37934525784342343,0.414396946704928,0.396097160253074,0.007638212293386459,0.5038191061466932,,
joint,8,8.0,0.09548722952604294,0.5477436147630215,2.8016055476826134,401.0717744827259,RNA_Clusters,7118.0,13.0,0.30110008387331866,0.4254171174652402,0.4029066281875788,0.45059178797761024,0.42541711746524014,0.02800515480339527,0.5140025774016976,,
joint,8,8.0,0.09548722952604294,0.5477436147630215,2.8016055476826134,401.0717744827259,ATAC_Clusters,7118.0,13.0,0.2453083783514166,0.38508073777309204,0.38037316814763,0.3899062911152733,0.38508073777309215,0.0270990077406168,0.5135495038703084,,
joint,8,8.0,0.09548722952604294,0.5477436147630215,2.8016055476826134,401.0717744827259,section,7118.0,4.0,0.2753905226218577,0.3699704661055749,0.45668829618175766,0.3109298435165678,0.36997046610557494,0.043295662850141525,0.5216478314250708,,
joint_section_spatial,8,,,,,,cluster,,,,,,,,,,dataset4,0.785827395091053
joint_section_spatial,8,,,,,,cluster,,,,,,,,,,dataset3,0.6918964546989308
joint_section_spatial,8,,,,,,cluster,,,,,,,,,,dataset2,0.6777834787070293
joint_section_spatial,8,,,,,,cluster,,,,,,,,,,dataset1,0.714263347424456
independent,8,8.0,0.11340729147195816,0.5567036457359791,2.936500400663551,75.74164713274662,Y,1263.0,8.0,0.4429469568958978,0.5077460679471161,0.5979507757433004,0.4411897637551388,0.5077460679471161,0.050715792924165726,0.5253578964620829,dataset4,
independent,8,8.0,0.11340729147195816,0.5567036457359791,2.936500400663551,75.74164713274662,Combined_Clusters_annotation,1263.0,8.0,0.4429469568958978,0.5077460679471161,0.5979507757433004,0.4411897637551388,0.5077460679471161,0.050715792924165726,0.5253578964620829,dataset4,
independent,8,8.0,0.11340729147195816,0.5567036457359791,2.936500400663551,75.74164713274662,Combined_Clusters,1263.0,8.0,0.4429469568958978,0.5077460679471162,0.5979507757433005,0.44118976375513885,0.5077460679471162,0.050715792924165726,0.5253578964620829,dataset4,
independent,8,8.0,0.11340729147195816,0.5567036457359791,2.936500400663551,75.74164713274662,RNA_Clusters,1263.0,12.0,0.4892111088603672,0.5200022136922564,0.5470953594119977,0.49546585390058834,0.5200022136922564,0.024571239948272705,0.5122856199741364,dataset4,
independent,8,8.0,0.11340729147195816,0.5567036457359791,2.936500400663551,75.74164713274662,ATAC_Clusters,1263.0,8.0,0.3694737972443835,0.4018502888097201,0.4617484861909465,0.35570773931242766,0.4018502888097201,-0.021074194461107254,0.4894629027694464,dataset4,
independent_section_spatial,8,,,,,,cluster,,,,,,,,,,dataset4,0.5537081024016891
independent,8,8.0,0.09506687521934509,0.5475334376096725,2.6319259522826526,94.9578955128855,Y,1777.0,12.0,0.3234896126947454,0.4071728372029122,0.4398995584285171,0.3789784000600387,0.40717283720291225,-0.01130040641874075,0.4943497967906296,dataset3,
independent,8,8.0,0.09506687521934509,0.5475334376096725,2.6319259522826526,94.9578955128855,Combined_Clusters_annotation,1777.0,12.0,0.3234896126947454,0.4071728372029121,0.43989955842851697,0.3789784000600386,0.4071728372029121,-0.01130040641874075,0.4943497967906296,dataset3,
independent,8,8.0,0.09506687521934509,0.5475334376096725,2.6319259522826526,94.9578955128855,Combined_Clusters,1777.0,12.0,0.3234896126947454,0.4071728372029122,0.4398995584285171,0.3789784000600387,0.40717283720291225,-0.01130040641874075,0.4943497967906296,dataset3,
independent,8,8.0,0.09506687521934509,0.5475334376096725,2.6319259522826526,94.9578955128855,RNA_Clusters,1777.0,11.0,0.23050997398117995,0.3464543850312306,0.37445078837767276,0.3223531441630198,0.34645438503123066,0.001348482328467071,0.5006742411642335,dataset3,
independent,8,8.0,0.09506687521934509,0.5475334376096725,2.6319259522826526,94.9578955128855,ATAC_Clusters,1777.0,11.0,0.25200659366366757,0.374038607309844,0.3749981550656237,0.3730839576151425,0.37403860730984395,0.017317090183496475,0.5086585450917482,dataset3,
independent_section_spatial,8,,,,,,cluster,,,,,,,,,,dataset3,0.5932282873757269
independent,8,8.0,0.15540549159049988,0.5777027457952499,1.945299173201125,143.2487895157762,Y,1949.0,12.0,0.5563427566878025,0.5992582159944279,0.5549043752889811,0.651318495346262,0.5992582159944279,0.08665869385004044,0.5433293469250202,dataset2,
independent,8,8.0,0.15540549159049988,0.5777027457952499,1.945299173201125,143.2487895157762,Combined_Clusters_annotation,1949.0,12.0,0.5563427566878025,0.5992582159944276,0.5549043752889808,0.6513184953462618,0.5992582159944276,0.08665869385004044,0.5433293469250202,dataset2,
independent,8,8.0,0.15540549159049988,0.5777027457952499,1.945299173201125,143.2487895157762,Combined_Clusters,1949.0,12.0,0.5563427566878025,0.5992582159944277,0.554904375288981,0.6513184953462618,0.5992582159944276,0.08665869385004044,0.5433293469250202,dataset2,
independent,8,8.0,0.15540549159049988,0.5777027457952499,1.945299173201125,143.2487895157762,RNA_Clusters,1949.0,11.0,0.5278977707576646,0.5264389007372531,0.5545141667586295,0.5010695559627136,0.5264389007372531,0.08994074910879135,0.5449703745543957,dataset2,
independent,8,8.0,0.15540549159049988,0.5777027457952499,1.945299173201125,143.2487895157762,ATAC_Clusters,1949.0,9.0,0.6285942182445906,0.6272858959846322,0.6421113176916137,0.613129619769471,0.6272858959846322,0.11473353952169418,0.5573667697608471,dataset2,
independent_section_spatial,8,,,,,,cluster,,,,,,,,,,dataset2,0.7133572772361895
independent,8,8.0,0.08604614436626434,0.5430230721831322,2.9728594375251545,105.61229148331594,Y,2129.0,14.0,0.4116901940272044,0.5466579327798355,0.5295525726902145,0.5649052381727033,0.5466579327798354,0.03017590008676052,0.5150879500433803,dataset1,
independent,8,8.0,0.08604614436626434,0.5430230721831322,2.9728594375251545,105.61229148331594,Combined_Clusters_annotation,2129.0,14.0,0.4116901940272044,0.5466579327798354,0.5295525726902144,0.5649052381727033,0.5466579327798354,0.03017590008676052,0.5150879500433803,dataset1,
independent,8,8.0,0.08604614436626434,0.5430230721831322,2.9728594375251545,105.61229148331594,Combined_Clusters,2129.0,14.0,0.4116901940272044,0.5466579327798357,0.5295525726902145,0.5649052381727034,0.5466579327798355,0.03017590008676052,0.5150879500433803,dataset1,
independent,8,8.0,0.08604614436626434,0.5430230721831322,2.9728594375251545,105.61229148331594,RNA_Clusters,2129.0,13.0,0.3714973440066954,0.45435660253181936,0.4546150046989305,0.454098493948281,0.45435660253181936,0.006517883390188217,0.5032589416950941,dataset1,
independent,8,8.0,0.08604614436626434,0.5430230721831322,2.9728594375251545,105.61229148331594,ATAC_Clusters,2129.0,10.0,0.3723062457091546,0.5391704346629265,0.5609847379242924,0.5189891602610821,0.5391704346629266,0.04224149510264397,0.521120747551322,dataset1,
independent_section_spatial,8,,,,,,cluster,,,,,,,,,,dataset1,0.6421637701581338
joint,10,10.0,0.09399797022342682,0.5469989851117134,2.6957647181507296,356.87321575336756,Y,7118.0,14.0,0.2719549413815992,0.383940592608433,0.3800190602706531,0.38794390381862814,0.383940592608433,-0.009016629308462143,0.49549168534576893,,
joint,10,10.0,0.09399797022342682,0.5469989851117134,2.6957647181507296,356.87321575336756,Combined_Clusters_annotation,7118.0,16.0,0.2588631135860705,0.4220795844242504,0.4259120970381291,0.4183154294004643,0.4220795844242504,0.007638212293386459,0.5038191061466932,,
joint,10,10.0,0.09399797022342682,0.5469989851117134,2.6957647181507296,356.87321575336756,Combined_Clusters,7118.0,16.0,0.2588631135860705,0.4220795844242505,0.42591209703812916,0.4183154294004643,0.4220795844242505,0.007638212293386459,0.5038191061466932,,
joint,10,10.0,0.09399797022342682,0.5469989851117134,2.6957647181507296,356.87321575336756,RNA_Clusters,7118.0,13.0,0.30658446441661263,0.44603525907569647,0.4448159811117805,0.4472612396987745,0.4460352590756966,0.02800515480339527,0.5140025774016976,,
joint,10,10.0,0.09399797022342682,0.5469989851117134,2.6957647181507296,356.87321575336756,ATAC_Clusters,7118.0,13.0,0.2453802836925482,0.4076677044261645,0.42500268331978464,0.3916914228306157,0.40766770442616457,0.0270990077406168,0.5135495038703084,,
joint,10,10.0,0.09399797022342682,0.5469989851117134,2.6957647181507296,356.87321575336756,section,7118.0,4.0,0.2283504186472726,0.35345690218605974,0.46543851570089345,0.28490945776546145,0.3534569021860597,0.043295662850141525,0.5216478314250708,,
joint_section_spatial,10,,,,,,cluster,,,,,,,,,,dataset4,0.7396410662443916
joint_section_spatial,10,,,,,,cluster,,,,,,,,,,dataset3,0.6319639842431064
joint_section_spatial,10,,,,,,cluster,,,,,,,,,,dataset2,0.6500769625448948
joint_section_spatial,10,,,,,,cluster,,,,,,,,,,dataset1,0.6920306873336465
independent,10,10.0,0.08292123675346375,0.5414606183767319,3.0598216471070154,63.93159885246195,Y,1263.0,8.0,0.3291837611594286,0.4890925083734204,0.6208667831605342,0.4034609713822497,0.4890925083734204,0.050715792924165726,0.5253578964620829,dataset4,
independent,10,10.0,0.08292123675346375,0.5414606183767319,3.0598216471070154,63.93159885246195,Combined_Clusters_annotation,1263.0,8.0,0.3291837611594286,0.4890925083734204,0.6208667831605342,0.4034609713822497,0.4890925083734204,0.050715792924165726,0.5253578964620829,dataset4,
independent,10,10.0,0.08292123675346375,0.5414606183767319,3.0598216471070154,63.93159885246195,Combined_Clusters,1263.0,8.0,0.3291837611594286,0.48909250837342044,0.6208667831605343,0.40346097138224973,0.4890925083734205,0.050715792924165726,0.5253578964620829,dataset4,
independent,10,10.0,0.08292123675346375,0.5414606183767319,3.0598216471070154,63.93159885246195,RNA_Clusters,1263.0,12.0,0.39384334484792266,0.503861542714167,0.5677855177143619,0.4528747631398829,0.5038615427141672,0.024571239948272705,0.5122856199741364,dataset4,
independent,10,10.0,0.08292123675346375,0.5414606183767319,3.0598216471070154,63.93159885246195,ATAC_Clusters,1263.0,8.0,0.2763143336002993,0.39999571780749676,0.4947754067043234,0.33569049853837946,0.3999957178074968,-0.021074194461107254,0.4894629027694464,dataset4,
independent_section_spatial,10,,,,,,cluster,,,,,,,,,,dataset4,0.47070467141726047
independent,10,10.0,0.08890850096940994,0.544454250484705,2.774656121330779,84.91196596626992,Y,1777.0,12.0,0.2509101042979342,0.3720490264526641,0.4304273355611102,0.32761502020375294,0.372049026452664,-0.01130040641874075,0.4943497967906296,dataset3,
independent,10,10.0,0.08890850096940994,0.544454250484705,2.774656121330779,84.91196596626992,Combined_Clusters_annotation,1777.0,12.0,0.2509101042979342,0.372049026452664,0.4304273355611101,0.3276150202037529,0.37204902645266397,-0.01130040641874075,0.4943497967906296,dataset3,
independent,10,10.0,0.08890850096940994,0.544454250484705,2.774656121330779,84.91196596626992,Combined_Clusters,1777.0,12.0,0.2509101042979342,0.3720490264526641,0.4304273355611102,0.32761502020375294,0.372049026452664,-0.01130040641874075,0.4943497967906296,dataset3,
independent,10,10.0,0.08890850096940994,0.544454250484705,2.774656121330779,84.91196596626992,RNA_Clusters,1777.0,11.0,0.2270480391187925,0.36334765037802585,0.4205386339373559,0.31984980402723934,0.36334765037802585,0.001348482328467071,0.5006742411642335,dataset3,
independent,10,10.0,0.08890850096940994,0.544454250484705,2.774656121330779,84.91196596626992,ATAC_Clusters,1777.0,11.0,0.2282776399193542,0.3673180147446879,0.39260390040558896,0.3450921512952626,0.3673180147446879,0.017317090183496475,0.5086585450917482,dataset3,
independent_section_spatial,10,,,,,,cluster,,,,,,,,,,dataset3,0.5467079347214406
independent,10,10.0,0.16024905443191528,0.5801245272159576,2.216329997473986,129.30109609260472,Y,1949.0,12.0,0.573190861857912,0.5975095335622113,0.588560287078633,0.6067351343834902,0.5975095335622113,0.08665869385004044,0.5433293469250202,dataset2,
independent,10,10.0,0.16024905443191528,0.5801245272159576,2.216329997473986,129.30109609260472,Combined_Clusters_annotation,1949.0,12.0,0.573190861857912,0.5975095335622113,0.5885602870786328,0.6067351343834902,0.5975095335622111,0.08665869385004044,0.5433293469250202,dataset2,
independent,10,10.0,0.16024905443191528,0.5801245272159576,2.216329997473986,129.30109609260472,Combined_Clusters,1949.0,12.0,0.573190861857912,0.5975095335622114,0.5885602870786331,0.6067351343834904,0.5975095335622113,0.08665869385004044,0.5433293469250202,dataset2,
independent,10,10.0,0.16024905443191528,0.5801245272159576,2.216329997473986,129.30109609260472,RNA_Clusters,1949.0,11.0,0.5140879549346388,0.5198997634109312,0.5874951467226798,0.4662540118999114,0.5198997634109312,0.08994074910879135,0.5449703745543957,dataset2,
independent,10,10.0,0.16024905443191528,0.5801245272159576,2.216329997473986,129.30109609260472,ATAC_Clusters,1949.0,9.0,0.5630686766829294,0.598974906751328,0.6565988685749763,0.5506492222577393,0.598974906751328,0.11473353952169418,0.5573667697608471,dataset2,
independent_section_spatial,10,,,,,,cluster,,,,,,,,,,dataset2,0.6526423807080554
independent,10,10.0,0.08041892200708389,0.540209461003542,3.0543837960253066,91.70550780075713,Y,2129.0,14.0,0.35642018464281044,0.5265207219565025,0.5385873514401118,0.5149829310980146,0.5265207219565025,0.03017590008676052,0.5150879500433803,dataset1,
independent,10,10.0,0.08041892200708389,0.540209461003542,3.0543837960253066,91.70550780075713,Combined_Clusters_annotation,2129.0,14.0,0.35642018464281044,0.5265207219565023,0.5385873514401117,0.5149829310980146,0.5265207219565023,0.03017590008676052,0.5150879500433803,dataset1,
independent,10,10.0,0.08041892200708389,0.540209461003542,3.0543837960253066,91.70550780075713,Combined_Clusters,2129.0,14.0,0.35642018464281044,0.5265207219565026,0.5385873514401119,0.5149829310980147,0.5265207219565025,0.03017590008676052,0.5150879500433803,dataset1,
independent,10,10.0,0.08041892200708389,0.540209461003542,3.0543837960253066,91.70550780075713,RNA_Clusters,2129.0,13.0,0.30296183268509014,0.4312466028528264,0.45645809506871876,0.40867434448740514,0.43124660285282634,0.006517883390188217,0.5032589416950941,dataset1,
independent,10,10.0,0.08041892200708389,0.540209461003542,3.0543837960253066,91.70550780075713,ATAC_Clusters,2129.0,10.0,0.32093289116998486,0.5171562830859514,0.5704056347055946,0.47300007915240283,0.5171562830859512,0.04224149510264397,0.521120747551322,dataset1,
independent_section_spatial,10,,,,,,cluster,,,,,,,,,,dataset1,0.552058869578832
joint,12,12.0,0.1021416187286377,0.5510708093643188,2.5280650918285543,329.74664150222986,Y,7118.0,14.0,0.2839623379184561,0.4043620633183434,0.41301985630249305,0.39605979014646364,0.4043620633183434,-0.009016629308462143,0.49549168534576893,,
joint,12,12.0,0.1021416187286377,0.5510708093643188,2.5280650918285543,329.74664150222986,Combined_Clusters_annotation,7118.0,16.0,0.27014129372626794,0.4534012082744735,0.47242173166345824,0.4358530056160386,0.45340120827447356,0.007638212293386459,0.5038191061466932,,
