mode,section,cluster,count,section_fraction
independent,CRC_003,0,1275,0.1275
independent,CRC_003,1,2064,0.2064
independent,CRC_003,2,1576,0.1576
independent,CRC_003,3,1382,0.1382
independent,CRC_003,4,1266,0.1266
independent,CRC_003,5,762,0.0762
independent,CRC_003,6,768,0.0768
independent,CRC_003,7,907,0.0907
independent,CRC_006,0,1573,0.1573
independent,CRC_006,1,1433,0.1433
independent,CRC_006,2,1875,0.1875
independent,CRC_006,3,824,0.0824
independent,CRC_006,4,1092,0.1092
independent,CRC_006,5,899,0.0899
independent,CRC_006,6,419,0.0419
independent,CRC_006,7,1885,0.1885
