row_index,selected_spot_index,cluster,x,y
9832,438252,2,202.0,236.0
9833,438292,2,306.0,784.0
9834,438339,4,535.0,409.0
9835,438387,1,676.0,68.0
9836,438442,4,28.0,457.0
9837,438445,0,291.0,832.0
9838,438553,0,36.0,577.0
9839,438623,3,598.0,683.0
9840,438748,0,92.0,787.0
9841,438782,2,320.0,204.0
9842,438890,5,170.0,546.0
9843,438950,2,333.0,799.0
9844,439047,3,453.0,481.0
9845,439051,4,46.0,507.0
9846,439052,3,455.0,561.0
9847,439156,1,240.0,700.0
9848,439175,7,182.0,196.0
9849,439176,0,47.0,656.0
9850,439246,0,675.0,51.0
9851,439247,2,288.0,200.0
9852,439315,4,36.0,478.0
9853,439364,1,678.0,108.0
9854,439376,6,376.0,599.0
9855,439477,7,212.0,658.0
9856,439502,1,555.0,319.0
9857,439529,1,650.0,234.0
9858,439544,7,457.0,792.0
9859,439583,1,502.0,755.0
9860,439635,1,768.0,212.0
9861,439644,0,329.0,811.0
9862,439657,4,18.0,526.0
9863,439707,6,372.0,443.0
9864,439720,0,530.0,121.0
9865,439818,2,378.0,763.0
9866,439902,7,246.0,176.0
9867,439938,2,117.0,559.0
9868,439963,6,364.0,501.0
9869,440011,0,165.0,465.0
