mode,scope,label,n_obs_labeled,n_label_classes,k,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled
joint,combined,Y,7118,14,2,0.12793667608129272,0.19029966815658084,0.12397691000244106,0.4092118967358975,0.1902996681565808,-0.009016630239784718,0.49549168488010764
joint,combined,Combined_Clusters_annotation,7118,16,2,0.1639631411620836,0.25347840144330736,0.16664933273395982,0.5292140658664418,0.2534784014433073,0.007638212759047747,0.5038191063795239
joint,combined,Combined_Clusters,7118,16,2,0.1639631411620836,0.25347840144330736,0.16664933273395985,0.5292140658664419,0.25347840144330736,0.007638212759047747,0.5038191063795239
joint,combined,RNA_Clusters,7118,13,2,0.1367410874941694,0.23665496268825992,0.15472408403274782,0.5030170349552426,0.2366549626882599,0.02800515480339527,0.5140025774016976
joint,combined,ATAC_Clusters,7118,13,2,0.16125810378536368,0.24547973318979202,0.16392963651599843,0.4884878394675171,0.24547973318979205,0.027099009603261948,0.513549504801631
joint,combined,Y,7118,14,3,0.18438405621307474,0.2611833492970948,0.19205057410873927,0.40808095020185253,0.2611833492970948,-0.009016630239784718,0.49549168488010764
joint,combined,Combined_Clusters_annotation,7118,16,3,0.19332323748145666,0.2940595022113129,0.21895049219209273,0.4476071281408914,0.29405950221131283,0.007638212759047747,0.5038191063795239
joint,combined,Combined_Clusters,7118,16,3,0.19332323748145666,0.2940595022113129,0.21895049219209273,0.4476071281408914,0.29405950221131283,0.007638212759047747,0.5038191063795239
joint,combined,RNA_Clusters,7118,13,3,0.18077153236899657,0.2954160958186832,0.21828389790644548,0.4568459104796635,0.29541609581868317,0.02800515480339527,0.5140025774016976
joint,combined,ATAC_Clusters,7118,13,3,0.18513788929732877,0.28125577790221756,0.21393597954476495,0.41039624590456014,0.28125577790221756,0.027099009603261948,0.513549504801631
joint,combined,Y,7118,14,4,0.20690530428860363,0.28966214941493473,0.22749006410779332,0.3985970637801245,0.28966214941493473,-0.009016630239784718,0.49549168488010764
joint,combined,Combined_Clusters_annotation,7118,16,4,0.2203158084498898,0.32659354357274367,0.26016594229946655,0.438573575898633,0.32659354357274367,0.007638212759047747,0.5038191063795239
joint,combined,Combined_Clusters,7118,16,4,0.2203158084498898,0.32659354357274367,0.26016594229946655,0.438573575898633,0.32659354357274367,0.007638212759047747,0.5038191063795239
joint,combined,RNA_Clusters,7118,13,4,0.20436075650792926,0.32053006454511973,0.25312954494311857,0.43684948666412055,0.3205300645451197,0.02800515480339527,0.5140025774016976
joint,combined,ATAC_Clusters,7118,13,4,0.21897377142867175,0.3128641123157904,0.25532498838999224,0.40388136968775007,0.31286411231579037,0.027099009603261948,0.513549504801631
joint,combined,Y,7118,14,5,0.22984425970938718,0.31658303847628905,0.26316980260093015,0.3971989866310621,0.31658303847628905,-0.009016630239784718,0.49549168488010764
joint,combined,Combined_Clusters_annotation,7118,16,5,0.2970987768252451,0.39531073862929966,0.33377356482596027,0.48466802674930104,0.39531073862929966,0.007638212759047747,0.5038191063795239
joint,combined,Combined_Clusters,7118,16,5,0.2970987768252451,0.39531073862929966,0.33377356482596027,0.48466802674930104,0.39531073862929966,0.007638212759047747,0.5038191063795239
joint,combined,RNA_Clusters,7118,13,5,0.27096277742141317,0.38262424354721275,0.3200045756603561,0.4757136296485572,0.38262424354721275,0.02800515480339527,0.5140025774016976
joint,combined,ATAC_Clusters,7118,13,5,0.2939197211884238,0.38144711406046405,0.3306962838546844,0.45059900585166346,0.3814471140604641,0.027099009603261948,0.513549504801631
joint,combined,Y,7118,14,6,0.23962996790386293,0.33002772563825944,0.29082591447409517,0.3814444397337054,0.33002772563825944,-0.009016630239784718,0.49549168488010764
joint,combined,Combined_Clusters_annotation,7118,16,6,0.24010679733739798,0.3741551644921525,0.33533048518359176,0.423147305574112,0.3741551644921525,0.007638212759047747,0.5038191063795239
joint,combined,Combined_Clusters,7118,16,6,0.24010679733739798,0.3741551644921525,0.33533048518359176,0.423147305574112,0.3741551644921525,0.007638212759047747,0.5038191063795239
joint,combined,RNA_Clusters,7118,13,6,0.28725940001776784,0.3974091420905171,0.35251732296647315,0.4554030961097101,0.39740914209051703,0.02800515480339527,0.5140025774016976
joint,combined,ATAC_Clusters,7118,13,6,0.2513891659683688,0.36337390388264973,0.3351262896651899,0.3968217993370791,0.3633739038826498,0.027099009603261948,0.513549504801631
joint,combined,Y,7118,14,7,0.24405163904442467,0.3442892507393985,0.3155015637681703,0.3788578293117706,0.3442892507393985,-0.009016630239784718,0.49549168488010764
joint,combined,Combined_Clusters_annotation,7118,16,7,0.24693302315521873,0.3900914796389306,0.3638725294813156,0.420382256008158,0.3900914796389306,0.007638212759047747,0.5038191063795239
joint,combined,Combined_Clusters,7118,16,7,0.24693302315521873,0.3900914796389306,0.3638725294813156,0.420382256008158,0.3900914796389306,0.007638212759047747,0.5038191063795239
joint,combined,RNA_Clusters,7118,13,7,0.2984741513997567,0.4143115728437054,0.38230370843182543,0.45216879802705345,0.41431157284370534,0.02800515480339527,0.5140025774016976
joint,combined,ATAC_Clusters,7118,13,7,0.2399057565002287,0.3786711259866697,0.36398557000798676,0.3945915262009154,0.3786711259866697,0.027099009603261948,0.513549504801631
joint,combined,Y,7118,14,8,0.2533373192050731,0.3560323331827546,0.3349062605713717,0.3800031420847432,0.35603233318275457,-0.009016630239784718,0.49549168488010764
joint,combined,Combined_Clusters_annotation,7118,16,8,0.25545666900695874,0.4012226584027897,0.3843798745804717,0.4196091197151818,0.40122265840278964,0.007638212759047747,0.5038191063795239
joint,combined,Combined_Clusters,7118,16,8,0.25545666900695874,0.40122265840278976,0.3843798745804717,0.41960911971518183,0.4012226584027897,0.007638212759047747,0.5038191063795239
joint,combined,RNA_Clusters,7118,13,8,0.3027138129472948,0.42655185709970755,0.40411205409049805,0.4516302839945445,0.42655185709970755,0.02800515480339527,0.5140025774016976
joint,combined,ATAC_Clusters,7118,13,8,0.24893795509326566,0.3881598796383032,0.38354445803674947,0.39288773451633785,0.3881598796383032,0.027099009603261948,0.513549504801631
joint,combined,Y,7118,14,9,0.26882141147304256,0.3664742818343853,0.351524506726311,0.3827521172796539,0.3664742818343853,-0.009016630239784718,0.49549168488010764
joint,combined,Combined_Clusters_annotation,7118,16,9,0.2595796530922407,0.4112166008954557,0.4018802754889784,0.42099703948761463,0.4112166008954556,0.007638212759047747,0.5038191063795239
joint,combined,Combined_Clusters,7118,16,9,0.2595796530922407,0.41121660089545575,0.4018802754889785,0.4209970394876147,0.4112166008954557,0.007638212759047747,0.5038191063795239
joint,combined,RNA_Clusters,7118,13,9,0.2840768285566281,0.41655718718794665,0.40248578738091556,0.4316481387874132,0.41655718718794676,0.02800515480339527,0.5140025774016976
joint,combined,ATAC_Clusters,7118,13,9,0.24752826909191936,0.38285626132445405,0.3861680234688524,0.3796008192711424,0.3828562613244541,0.027099009603261948,0.513549504801631
joint,combined,Y,7118,14,10,0.27681500593352965,0.38198913974198573,0.3736365480043578,0.39072371260710975,0.3819891397419858,-0.009016630239784718,0.49549168488010764
joint,combined,Combined_Clusters_annotation,7118,16,10,0.2717062715188812,0.4326408888656328,0.4313295202277534,0.433960255713346,0.43264088886563273,0.007638212759047747,0.5038191063795239
joint,combined,Combined_Clusters,7118,16,10,0.2717062715188812,0.43264088886563284,0.43132952022775345,0.43396025571334607,0.4326408888656328,0.007638212759047747,0.5038191063795239
joint,combined,RNA_Clusters,7118,13,10,0.29842408502488993,0.4399247249342089,0.4335177973055243,0.44652386832958796,0.43992472493420903,0.02800515480339527,0.5140025774016976
joint,combined,ATAC_Clusters,7118,13,10,0.2606157229045775,0.40568876500611717,0.4177034713343176,0.39434590909363854,0.4056887650061171,0.027099009603261948,0.513549504801631
joint,combined,Y,7118,14,11,0.2777527914909601,0.39666578219700727,0.3981397209549322,0.3952027164180676,0.3966657821970073,-0.009016630239784718,0.49549168488010764
joint,combined,Combined_Clusters_annotation,7118,16,11,0.26608563858999096,0.4401156668701619,0.45048414242038165,0.4302137408459442,0.44011566687016185,0.007638212759047747,0.5038191063795239
joint,combined,Combined_Clusters,7118,16,11,0.26608563858999096,0.44011566687016196,0.4504841424203817,0.43021374084594427,0.440115666870162,0.007638212759047747,0.5038191063795239
joint,combined,RNA_Clusters,7118,13,11,0.30306522174080713,0.4498261962682154,0.45495820779786894,0.44480867333768487,0.4498261962682154,0.02800515480339527,0.5140025774016976
joint,combined,ATAC_Clusters,7118,13,11,0.2498642810046751,0.4202696407302935,0.444625060988685,0.3984439056920013,0.4202696407302935,0.027099009603261948,0.513549504801631
joint,combined,Y,7118,14,12,0.2805334254572908,0.40259444635331115,0.41111004864906503,0.3944244639323013,0.40259444635331115,-0.009016630239784718,0.49549168488010764
joint,combined,Combined_Clusters_annotation,7118,16,12,0.2697875365193032,0.45380308391342083,0.47271821657542357,0.43634343527900143,0.4538030839134209,0.007638212759047747,0.5038191063795239
joint,combined,Combined_Clusters,7118,16,12,0.2697875365193032,0.45380308391342083,0.47271821657542357,0.43634343527900143,0.4538030839134209,0.007638212759047747,0.5038191063795239
joint,combined,RNA_Clusters,7118,13,12,0.3057989248327257,0.4621817493185721,0.475636397104832,0.4494673626715959,0.46218174931857203,0.02800515480339527,0.5140025774016976
joint,combined,ATAC_Clusters,7118,13,12,0.2585778025754773,0.44024013929623584,0.47425540393277055,0.41077771746509206,0.44024013929623584,0.027099009603261948,0.513549504801631
joint,combined,Y,7118,14,13,0.2797732184849102,0.40507721435274313,0.41849994303813876,0.39248875373039127,0.40507721435274313,-0.009016630239784718,0.49549168488010764
joint,combined,Combined_Clusters_annotation,7118,16,13,0.26407111242885356,0.45814382514077945,0.4829467578457029,0.43576407646615173,0.4581438251407794,0.007638212759047747,0.5038191063795239
joint,combined,Combined_Clusters,7118,16,13,0.26407111242885356,0.45814382514077945,0.4829467578457029,0.43576407646615173,0.4581438251407794,0.007638212759047747,0.5038191063795239
joint,combined,RNA_Clusters,7118,13,13,0.28779366129762146,0.4545085695193069,0.4732700492659186,0.4371778644345913,0.45450856951930696,0.02800515480339527,0.5140025774016976
joint,combined,ATAC_Clusters,7118,13,13,0.2533154000852878,0.4439476102343744,0.4841426469397242,0.40991517074886524,0.4439476102343744,0.027099009603261948,0.513549504801631
joint,combined,Y,7118,14,14,0.2839060925385253,0.40929982034900314,0.43020332294969765,0.39033358136849033,0.40929982034900303,-0.009016630239784718,0.49549168488010764
joint,combined,Combined_Clusters_annotation,7118,16,14,0.2670950083431865,0.4633536803384719,0.4970763456328798,0.4339159444849535,0.4633536803384719,0.007638212759047747,0.5038191063795239
joint,combined,Combined_Clusters,7118,16,14,0.2670950083431865,0.4633536803384719,0.4970763456328798,0.4339159444849535,0.4633536803384719,0.007638212759047747,0.5038191063795239
joint,combined,RNA_Clusters,7118,13,14,0.2941488002193253,0.4554211087728569,0.4825130490661715,0.43120972594731377,0.4554211087728569,0.02800515480339527,0.5140025774016976
joint,combined,ATAC_Clusters,7118,13,14,0.2512187477818174,0.4468533808732557,0.4961888116994255,0.40644142051848137,0.44685338087325566,0.027099009603261948,0.513549504801631
joint,combined,Y,7118,14,15,0.26563408791487664,0.40151485375607465,0.42795380898903934,0.37815261280577483,0.40151485375607465,-0.009016630239784718,0.49549168488010764
joint,combined,Combined_Clusters_annotation,7118,16,15,0.24805739313593397,0.449911197242535,0.48956559123771065,0.41619940181507087,0.449911197242535,0.007638212759047747,0.5038191063795239
joint,combined,Combined_Clusters,7118,16,15,0.24805739313593397,0.449911197242535,0.48956559123771065,0.41619940181507087,0.449911197242535,0.007638212759047747,0.5038191063795239
joint,combined,RNA_Clusters,7118,13,15,0.284823088356076,0.44839182514967074,0.48179252768300673,0.419321951766601,0.4483918251496707,0.02800515480339527,0.5140025774016976
joint,combined,ATAC_Clusters,7118,13,15,0.2339530176667623,0.43049241064282134,0.4850676461261769,0.38695579506743233,0.43049241064282134,0.027099009603261948,0.513549504801631
joint,combined,Y,7118,14,16,0.26838179561643044,0.40555395132693484,0.43911235251342184,0.3767606695449294,0.4055539513269348,-0.009016630239784718,0.49549168488010764
joint,combined,Combined_Clusters_annotation,7118,16,16,0.24924328188413666,0.4550399447780582,0.5031390432558622,0.41533476210260184,0.45503994477805826,0.007638212759047747,0.5038191063795239
