mode,section,cluster,count,section_fraction
independent,CRC_003,0,569,0.0569
independent,CRC_003,1,718,0.0718
independent,CRC_003,2,816,0.0816
independent,CRC_003,3,713,0.0713
independent,CRC_003,4,910,0.091
independent,CRC_003,5,575,0.0575
independent,CRC_003,6,156,0.0156
independent,CRC_003,7,594,0.0594
independent,CRC_003,8,526,0.0526
independent,CRC_003,9,773,0.0773
independent,CRC_003,10,980,0.098
independent,CRC_003,11,763,0.0763
independent,CRC_003,12,661,0.0661
independent,CRC_003,13,755,0.0755
independent,CRC_003,14,491,0.0491
independent,CRC_006,0,862,0.0862
independent,CRC_006,1,1380,0.138
independent,CRC_006,2,594,0.0594
independent,CRC_006,3,582,0.0582
independent,CRC_006,4,568,0.0568
independent,CRC_006,5,623,0.0623
independent,CRC_006,6,605,0.0605
independent,CRC_006,7,621,0.0621
independent,CRC_006,8,650,0.065
independent,CRC_006,9,795,0.0795
independent,CRC_006,10,512,0.0512
independent,CRC_006,11,678,0.0678
independent,CRC_006,12,528,0.0528
independent,CRC_006,13,508,0.0508
independent,CRC_006,14,494,0.0494
