mode,section,cluster,count,section_fraction
independent,CRC_003,0,13043,0.07844045249249755
independent,CRC_003,1,12117,0.0728714991069227
independent,CRC_003,2,18617,0.1119624245996187
independent,CRC_003,3,11884,0.07147023977772299
independent,CRC_003,4,13537,0.08141136282994245
independent,CRC_003,5,18431,0.11084382273167387
independent,CRC_003,6,18895,0.11363431341299864
independent,CRC_003,7,20939,0.12592690598331718
independent,CRC_003,8,26580,0.15985181532244
independent,CRC_003,9,12236,0.0735871637428659
independent,CRC_006,0,36659,0.08217756307512973
independent,CRC_006,1,39099,0.08764725002521884
independent,CRC_006,2,56493,0.12663894461941963
independent,CRC_006,3,52806,0.11837388896983826
independent,CRC_006,4,44894,0.10063775653168047
independent,CRC_006,5,20752,0.04651923917551194
independent,CRC_006,6,29668,0.06650601329313263
independent,CRC_006,7,48139,0.10791199184030308
independent,CRC_006,8,52119,0.11683385825889105
independent,CRC_006,9,65466,0.14675349421087436
