mode,k,section,n_obs,spatial_neighbor_k,neighbor_same_cluster_fraction,labels_path
independent,6,Mouse_Spleen2,2768,6,0.460621387283237,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/independent_k6/labels_Mouse_Spleen2.csv
independent,7,Mouse_Spleen1,2568,6,0.3953790238836968,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/independent_k7/labels_Mouse_Spleen1.csv
independent,7,Mouse_Spleen2,2768,6,0.41377649325626203,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/independent_k7/labels_Mouse_Spleen2.csv
independent,8,Mouse_Spleen1,2568,6,0.3683151609553479,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_Mouse_Spleen1.csv
independent,8,Mouse_Spleen2,2768,6,0.3800578034682081,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_Mouse_Spleen2.csv
independent,9,Mouse_Spleen1,2568,6,0.3333982346832814,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/independent_k9/labels_Mouse_Spleen1.csv
independent,9,Mouse_Spleen2,2768,6,0.3430876685934489,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/independent_k9/labels_Mouse_Spleen2.csv
independent,10,Mouse_Spleen1,2568,6,0.3073078920041537,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_Mouse_Spleen1.csv
independent,10,Mouse_Spleen2,2768,6,0.32123073217726394,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_Mouse_Spleen2.csv
independent,11,Mouse_Spleen1,2568,6,0.29380841121495327,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/independent_k11/labels_Mouse_Spleen1.csv
independent,11,Mouse_Spleen2,2768,6,0.29859104046242774,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/independent_k11/labels_Mouse_Spleen2.csv
independent,12,Mouse_Spleen1,2568,6,0.2797897196261682,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/independent_k12/labels_Mouse_Spleen1.csv
independent,12,Mouse_Spleen2,2768,6,0.2954600192678227,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/independent_k12/labels_Mouse_Spleen2.csv
