mode,k,scope,n_obs,metric_sample_size,n_clusters_observed,silhouette,calinski_harabasz,davies_bouldin,section_ARI_diagnostic,section_NMI_diagnostic
independent,5,Mouse_Spleen1,2568,2568,5,0.055015314969076,143.56181911470327,3.611717136823298,,
independent,5,Mouse_Spleen2,2768,2768,5,0.05911231737364302,151.52863412851113,3.6423807953487093,,
joint,5,combined,5336,5336,5,0.060558769998845415,281.1705503143804,3.9511595491012903,7.851357858071212e-05,0.00038699634413047544
independent,8,Mouse_Spleen1,2568,2568,8,0.05186128154708347,99.48766323380013,3.97056522847075,,
independent,8,Mouse_Spleen2,2768,2768,8,0.05148857007366098,107.62414894316478,3.825608989237783,,
joint,8,combined,5336,5336,8,0.04983411349179576,208.34982432261057,3.8118127824552435,9.429722794868708e-05,0.0006813741079338046
independent,10,Mouse_Spleen1,2568,2568,10,0.029050724545060268,81.77157902630971,3.9353350379262837,,
independent,10,Mouse_Spleen2,2768,2768,10,0.04760528317843842,89.81459198550104,3.9282871022098282,,
joint,10,combined,5336,5336,10,0.050973784019971116,172.16212653466178,3.860843771446347,0.0001491032930308645,0.0007094921238263725
independent,12,Mouse_Spleen1,2568,2568,12,0.045818389777222995,72.87456321455888,3.8484753801341793,,
independent,12,Mouse_Spleen2,2768,2768,12,0.0439705550219548,77.36998330785222,3.990427942232189,,
joint,12,combined,5336,5336,12,0.044790749372249826,148.35114426285475,4.01548184494264,2.0972296488253604e-05,0.0006111723301576783
