section,n_obs,neighbor_k,algorithm,path,sha256
section1,665399,6,sklearn NearestNeighbors kd_tree exact,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/shared_metrics/spatial_neighbors_section1.npz,ad9b11e0a2899b785c892d82109efbf18031b7db446559b3b8ec5f4052590c46
section2,403563,6,sklearn NearestNeighbors kd_tree exact,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/shared_metrics/spatial_neighbors_section2.npz,0fd4e4605b95b6c9634824469615afd5e97bdf2b5d18cd3db21f6c574058e6fd
