mode,k,section,plot_n_obs,point_size,dpi,figure_path,figure_sha256,labels_path,labels_sha256
joint,12,dataset2,1949,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k12/spatial_dataset2.png,f2fcb7324fe84e79cc6b81e05e1bbc834a777afaaf575cbe607db93cdb361634,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_dataset2.csv,b9af3634a7c1fc24b767234cfcf9045cd7d8970fb58e1d67204ce2024a0b3b7b
joint,12,dataset3,1777,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k12/spatial_dataset3.png,ab690e69f1551c7283c7340f20e5d37e44fc5320dbae3e5259dcc9db4f22e54f,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_dataset3.csv,5aa92b5c892023b328aa3600489701d53132550a0f5a62d82d877cdb276b20cd
joint,12,dataset4,1263,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k12/spatial_dataset4.png,c3655c17bd552e8552d413653330c848b02c497855b05887205a9f59bc48fc76,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_dataset4.csv,ff8cec4d6cef8ecc334c8edee8638bf1bb487449af48acf62901d1d3896d5865
joint,14,dataset1,2129,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k14/spatial_dataset1.png,597ce52c4053b22f554c702f1e3aebde732b18ae8037586c7a2288c57e65af3b,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k14/labels_dataset1.csv,ff6b710ee77e4269f2603e4535baa56f47415f8a8077afbaee516ff66a2f9405
joint,14,dataset2,1949,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k14/spatial_dataset2.png,485292ef4eadbd6f4218bd29b6166a9530dea58a06b2dc7a3920d6913c2c845b,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k14/labels_dataset2.csv,86f64158f3c557a9c1904b304e4f38ba1142d26ad1ed0793d8cf9bc50abe3ac2
joint,14,dataset3,1777,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k14/spatial_dataset3.png,aae4fb2355bab98070c2910b984a5831045207bb3d5f5d671ac7a7cf188c6b11,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k14/labels_dataset3.csv,0dcd7516bf99d1705d263989d81cc872a2dbaf52014a2ea9134bb904bb3ec434
joint,14,dataset4,1263,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k14/spatial_dataset4.png,ada1cc72b46411beddccfc8e9450a1aa05a5878d08edd3c05ee61f859286c53f,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k14/labels_dataset4.csv,792c52c2f8443a01f6b4c24c31ebe317cdde7ff25eb3bfad585f289dd5a76dd9
joint,16,dataset1,2129,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k16/spatial_dataset1.png,f715ec3ab9960cedd3b749e3cf726b86c3ef58d61f5e59c16d29c1ca415f38f9,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k16/labels_dataset1.csv,99b774a77aa42dc3ee1cb988f77a41a8aa5c8c2783d23fc0d7f10afe1288d2f3
joint,16,dataset2,1949,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k16/spatial_dataset2.png,dc666121a753924a737791299cba0a0ea4158059c65b627a1bb4e2015086ce27,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k16/labels_dataset2.csv,c1f1b5108dbe4261b3560f526b5d85e6bb1c01f77817ddd122e767f6fea2890c
joint,16,dataset3,1777,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k16/spatial_dataset3.png,19b438c35f92f3509c80dfdb68f74059d22f82bdfd185afe9fa0220320c527de,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k16/labels_dataset3.csv,5788748b8f8083c017dc095a59198cf4fed6ca279eb505753ff82b854ce50d96
joint,16,dataset4,1263,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k16/spatial_dataset4.png,5c046127668e0da69315a3c737ab596369b1f92cc8646f1ec3120387d2208199,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k16/labels_dataset4.csv,e5f5f255869bf244a4b08ac87c5d6a94bc3838f68fb1ae7decb207f3dde2bbeb
independent,5,dataset1,2129,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k5/spatial_dataset1.png,9c53494828e9bb7734be2cf0f2b5ababf16b7e24c2edb471d9bd277e0e78d3e8,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_dataset1.csv,d652c0fe80f4fe319b901b86183728915cc6b17b47e81576a163d9492e87b6d3
independent,5,dataset2,1949,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k5/spatial_dataset2.png,c38c28e985bfdba88300686c137cb1ca310633d3e3690a59ba1595131c5f9d6b,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_dataset2.csv,92f1d778c584904050d3b22fd36fc13e896195a07efa5b340678d042a57ccd1a
independent,5,dataset3,1777,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k5/spatial_dataset3.png,90cae12943e3c7782193809db25ddbda9331c5f2920024ca58efc2ddd60e5dc2,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_dataset3.csv,8fe89bde7c425f87b64d9f0d9e7bce33579f6d71a93a05c1abfceb986d0a0d60
independent,5,dataset4,1263,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k5/spatial_dataset4.png,664123a48a4ba8e1195dce005748c58112bf1105fc37653957f04dbd48f3b13a,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_dataset4.csv,adfb69de46d2db5f91ad2ceab3fd21ded321c647804524f3864c8812935ccfa6
