mode,scope,k,n_obs,embedding_dim,cluster_asw_raw,cluster_asw_scaled_raw,calinski_harabasz_raw,davies_bouldin_raw,section_ari_raw,section_nmi_raw,section_asw_raw,metric_space_raw,labels_path_raw,cluster_asw_standardized,cluster_asw_scaled_standardized,calinski_harabasz_standardized,davies_bouldin_standardized,section_ari_standardized,section_nmi_standardized,section_asw_standardized,metric_space_standardized,labels_path_standardized,cluster_asw_delta_standardized_minus_raw,cluster_asw_scaled_delta_standardized_minus_raw,calinski_harabasz_delta_standardized_minus_raw,davies_bouldin_delta_standardized_minus_raw,section_ari_delta_standardized_minus_raw,section_nmi_delta_standardized_minus_raw,section_asw_delta_standardized_minus_raw
joint,combined,2,6843,128,0.1077720820903778,0.5538860410451889,851.0604884267905,2.7888572674291203,6.11117670459607e-05,0.0001970416657785,0.0010854538995772,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_all.csv,0.0998118966817855,0.5499059483408928,772.3734651734553,2.922944071479741,7.808218462561322e-05,0.0002149963238639,0.0010932211298495,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_all.csv,-0.007960185408592294,-0.003980092704296112,-78.68702325333516,0.13408680405062068,1.697041757965252e-05,1.7954658085400014e-05,7.76723027230003e-06
joint,combined,3,6843,128,0.121158555150032,0.560579277575016,753.4292743547843,2.4352810888812253,0.0002333782855552,0.0004396989447933,0.0010854538995772,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_all.csv,0.1132278218865394,0.5566139109432697,698.0440416501895,2.540715435026648,0.0002451644246019,0.0004544624028322,0.0010932211298495,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_all.csv,-0.007930733263492598,-0.003965366631746292,-55.38523270459484,0.1054343461454228,1.1786139046700002e-05,1.4763458038899988e-05,7.76723027230003e-06
joint,combined,4,6843,128,0.0965014547109603,0.5482507273554802,639.055069857514,2.716843479775457,7.866204816779251e-05,0.0005328422499348,0.0010854538995772,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_all.csv,0.0922685861587524,0.5461342930793762,594.7265345511695,2.811937131221076,0.00015009197794,0.0006025128780971,0.0010932211298495,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_all.csv,-0.004232868552207905,-0.0021164342761039734,-44.32853530634452,0.0950936514456191,7.14299297722075e-05,6.967062816229993e-05,7.76723027230003e-06
joint,combined,5,6843,128,0.1015293821692466,0.5507646910846233,564.4859132794235,2.480300042377268,-4.8064353574530507e-05,0.0004805663487747,0.0010854538995772,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_all.csv,0.0977829173207283,0.5488914586603642,527.4998057314723,2.542943747196258,-2.264145553195981e-05,0.0006647542540188,0.0010932211298495,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_all.csv,-0.003746464848518302,-0.0018732324242591858,-36.98610754795118,0.06264370481898984,2.5422898042570698e-05,0.00018418790524409994,7.76723027230003e-06
joint,combined,6,6843,128,0.0844710767269134,0.5422355383634567,518.3064399511233,2.570215852959409,0.0001238413408621,0.0006044686762049,0.0010854538995772,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_all.csv,0.0810044780373573,0.5405022390186787,483.5090960783195,2.6308717221059044,0.0001713065625228,0.0006980261033584,0.0010932211298495,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k6/labels_all.csv,-0.003466598689556094,-0.001733299344778061,-34.797343872803765,0.060655869146495345,4.74652216607e-05,9.355742715350004e-05,7.76723027230003e-06
joint,combined,7,6843,128,0.084622636437416,0.542311318218708,469.7914400627415,2.648928445352896,-5.069417116719018e-06,0.0004759263840349,0.0010854538995772,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_all.csv,0.0800355598330497,0.5400177799165249,438.2810380810016,2.6691337438363587,-2.380786998327009e-05,0.000467378303486,0.0010932211298495,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k7/labels_all.csv,-0.004587076604366289,-0.0022935383021831512,-31.510401981739903,0.02020529848346264,-1.8738452866551072e-05,-8.548080548900002e-06,7.76723027230003e-06
joint,combined,8,6843,128,0.0860233157873153,0.5430116578936577,430.2130528074532,2.681541752391729,-1.518646761210373e-05,0.0005107306289869,0.0010854538995772,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_all.csv,0.0820366367697715,0.5410183183848858,401.9315496537599,2.748174917614237,-2.991123310947609e-05,0.0005114770531786,0.0010932211298495,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_all.csv,-0.003986679017543793,-0.0019933395087718964,-28.281503153693336,0.06663316522250806,-1.472476549737236e-05,7.464241916999232e-07,7.76723027230003e-06
joint,combined,9,6843,128,0.0838196873664856,0.5419098436832428,399.3285811899516,2.76218223567127,-3.288981377264465e-05,0.0004630035827044,0.0010854538995772,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_all.csv,0.0799066051840782,0.5399533025920391,373.84179889831495,2.8302843621230585,-5.419994326447916e-05,0.0004627442884458,0.0010932211298495,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k9/labels_all.csv,-0.003913082182407393,-0.0019565410912036896,-25.486782291636644,0.06810212645178826,-2.131012949183451e-05,-2.5929425860002917e-07,7.76723027230003e-06
joint,combined,10,6843,128,0.0848570242524147,0.5424285121262074,371.8723850956266,2.8937247304891325,-3.754692836051586e-05,0.0004636931550774,0.0010854538995772,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_all.csv,0.0809825658798217,0.5404912829399109,349.24615417603457,2.923785413239301,-4.123707644769089e-05,0.0004558316711341,0.0010932211298495,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_all.csv,-0.0038744583725930093,-0.001937229186296463,-22.626230919592047,0.0300606827501686,-3.69014808717503e-06,-7.86148394330005e-06,7.76723027230003e-06
joint,combined,11,6843,128,0.086918331682682,0.543459165841341,348.8518996092367,2.737358241206933,-7.745254605228762e-05,0.0004122880159817,0.0010854538995772,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_all.csv,0.0836339369416236,0.5418169684708118,327.77206476475885,2.7621241155296707,-0.0001151228248256,0.0003283739842117,0.0010932211298495,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k11/labels_all.csv,-0.0032843947410583912,-0.0016421973705291748,-21.07983484447783,0.02476587432273769,-3.767027877331239e-05,-8.391403176999997e-05,7.76723027230003e-06
