mode,scope,label,n_obs_labeled,n_label_classes,k,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,label_rows_in_full_order,cluster_asw,cluster_asw_scaled,group_definition,labels_source,labels_path,labels_file_sha256,labels_vector_sha256,seed,n_init,max_iter,metric_space,preprocessing
joint,combined,group,7866,3,5,0.0035816379010866,0.0034910777495129,0.0041432802213693,0.0030162789266767,0.0034910777495129,0.0016474790172651,0.5008237395086326,"0,1,2,3,4",0.170395940542221,0.5851979702711105,aligned section vector: s1/s2/s3,retained_labels_csv,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_all.csv,e41b3ca5e0c620fab4a3ef1011a7b7408235b152ebb5a71dad12a2f30fadb3e4,23f98921220f5d59016498782a3497770ee9c5c9f9e4e80a155ac81f0a180849,0,20,300,raw_embedding,Raw
joint,combined,group,7866,3,5,0.0036492815405468,0.0035575045574597,0.0042230763125407,0.0030731631773348,0.0035575045574597,0.0015938805881887,0.5007969402940944,"0,1,2,3,4",0.1634997874498367,0.5817498937249184,aligned section vector: s1/s2/s3,retained_labels_csv,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_all.csv,8e22001d0d0a18f6f9479d864b0269174b9f8f07bca9067421302bcd518d171e,d7db232e797ead7398bfe225fd11e9d88fa0d9ccbab0e28a7a78d8290de6b1df,0,20,300,standardized_embedding,Standardized
