mode,scope,label,n_obs_labeled,n_label_classes,k,ari_raw,nmi_raw,homogeneity_raw,completeness_raw,v_measure_raw,label_asw_raw,label_asw_scaled_raw,label_rows_in_full_order_raw,ari_standardized,nmi_standardized,homogeneity_standardized,completeness_standardized,v_measure_standardized,label_asw_standardized,label_asw_scaled_standardized,label_rows_in_full_order_standardized,ari_delta_standardized_minus_raw,nmi_delta_standardized_minus_raw,homogeneity_delta_standardized_minus_raw,completeness_delta_standardized_minus_raw,v_measure_delta_standardized_minus_raw,label_asw_delta_standardized_minus_raw,label_asw_scaled_delta_standardized_minus_raw
joint,combined,RegionLoupe,7866,9,2,0.4234254136526788,0.4492827106376266,0.3134321007491062,0.7929859308139139,0.4492827106376266,0.1138655170798301,0.5569327585399151,"0,1,2,3,4",0.4215152934686232,0.4502926736295394,0.3139705024739522,0.7958341964183161,0.4502926736295394,0.1077174767851829,0.5538587383925915,"0,1,2,3,4",-0.0019101201840555637,0.001009962991912805,0.0005384017248459827,0.0028482656044022114,0.001009962991912805,-0.006148040294647203,-0.0030740201473236084
joint,combined,annotations,7866,11,2,0.3580598272889337,0.4069148901823441,0.2735390650547522,0.7941248980487284,0.4069148901823441,0.0999627262353897,0.5499813631176949,"0,1,2,3,4",0.356842631194152,0.4079131721994078,0.2740789486234551,0.7971808802662915,0.4079131721994078,0.0930537730455398,0.5465268865227699,"0,1,2,3,4",-0.001217196094781714,0.0009982820170637008,0.0005398835687029369,0.0030559822175630913,0.0009982820170637008,-0.006908953189849895,-0.0034544765949249268
joint,combined,celltype,5046,11,2,0.3237507259905233,0.385835247448948,0.2582015004120873,0.7630003368204504,0.385835247448948,0.0976425483822822,0.5488212741911411,"0,1,2,3,4",0.3228837087852624,0.3871569512025424,0.2589909031057129,0.7664455537045477,0.3871569512025423,0.090527594089508,0.545263797044754,"0,1,2,3,4",-0.0008670172052608893,0.0013217037535944165,0.000789402693625596,0.0034452168840972686,0.0013217037535943055,-0.0071149542927742004,-0.0035574771463871002
joint,combined,Y.l1,7866,9,2,0.4234254136526788,0.4492827106376266,0.3134321007491062,0.7929859308139139,0.4492827106376266,0.1138655170798301,0.5569327585399151,"0,1,2,3,4",0.4215152934686232,0.4502926736295394,0.3139705024739522,0.7958341964183161,0.4502926736295394,0.1077174767851829,0.5538587383925915,"0,1,2,3,4",-0.0019101201840555637,0.001009962991912805,0.0005384017248459827,0.0028482656044022114,0.001009962991912805,-0.006148040294647203,-0.0030740201473236084
joint,combined,Y,7866,12,2,0.2062998042676916,0.2957416632264858,0.1948031526000639,0.6137711404458736,0.2957416632264859,0.0024914017412811,0.5012457008706406,"0,1,2,3,4",0.2056706590207981,0.2973363619881083,0.1957654586818689,0.6179570470424465,0.2973363619881083,0.0027537632267922,0.5013768816133961,"0,1,2,3,4",-0.0006291452468935033,0.0015946987616224928,0.0009623060818050033,0.004185906596572919,0.0015946987616224373,0.00026236148551109966,0.00013118074275553226
joint,combined,RegionLoupe,7866,9,3,0.6103726635147011,0.5946371670236756,0.4893125158280062,0.7577411553872585,0.5946371670236756,0.1138655170798301,0.5569327585399151,"0,1,2,3,4",0.6062425953673194,0.5915461310902689,0.4867959609425064,0.7537375735167267,0.591546131090269,0.1077174767851829,0.5538587383925915,"0,1,2,3,4",-0.004130068147381705,-0.0030910359334067605,-0.0025165548854998443,-0.004003581870531847,-0.0030910359334066495,-0.006148040294647203,-0.0030740201473236084
joint,combined,annotations,7866,11,3,0.5184855466121129,0.546245088268099,0.4268231403150108,0.7584552361844392,0.5462450882680989,0.0999627262353897,0.5499813631176949,"0,1,2,3,4",0.5159579723246963,0.5434251567355968,0.4246413142926504,0.7544715889409018,0.5434251567355968,0.0930537730455398,0.5465268865227699,"0,1,2,3,4",-0.0025275742874165674,-0.0028199315325022623,-0.002181826022360389,-0.0039836472435373915,-0.0028199315325021512,-0.006908953189849895,-0.0034544765949249268
joint,combined,celltype,5046,11,3,0.4911074016164237,0.5355929454252059,0.4147848278685024,0.7556919302898325,0.535592945425206,0.0976425483822822,0.5488212741911411,"0,1,2,3,4",0.4847677104247619,0.5302904118737525,0.410681482411473,0.7481998912309559,0.5302904118737525,0.090527594089508,0.545263797044754,"0,1,2,3,4",-0.006339691191661778,-0.005302533551453381,-0.004103345457029395,-0.007492039058876632,-0.005302533551453492,-0.0071149542927742004,-0.0035574771463871002
joint,combined,Y.l1,7866,9,3,0.6103726635147011,0.5946371670236756,0.4893125158280062,0.7577411553872585,0.5946371670236756,0.1138655170798301,0.5569327585399151,"0,1,2,3,4",0.6062425953673194,0.5915461310902689,0.4867959609425064,0.7537375735167267,0.591546131090269,0.1077174767851829,0.5538587383925915,"0,1,2,3,4",-0.004130068147381705,-0.0030910359334067605,-0.0025165548854998443,-0.004003581870531847,-0.0030910359334066495,-0.006148040294647203,-0.0030740201473236084
joint,combined,Y,7866,12,3,0.3062888630090382,0.4180158858298892,0.3173856017291904,0.6120829002399559,0.4180158858298892,0.0024914017412811,0.5012457008706406,"0,1,2,3,4",0.3058728306864441,0.4157373296621174,0.3156707975928939,0.6086898796961533,0.4157373296621174,0.0027537632267922,0.5013768816133961,"0,1,2,3,4",-0.0004160323225940732,-0.0022785561677717836,-0.0017148041362964883,-0.0033930205438026384,-0.0022785561677717836,0.00026236148551109966,0.00013118074275553226
joint,combined,RegionLoupe,7866,9,4,0.6974860896059695,0.6560449033537153,0.5752421030698235,0.7632577907683435,0.6560449033537152,0.1138655170798301,0.5569327585399151,"0,1,2,3,4",0.6961889124489897,0.6546767370822856,0.5741704646336707,0.7614407774880345,0.6546767370822856,0.1077174767851829,0.5538587383925915,"0,1,2,3,4",-0.0012971771569797452,-0.0013681662714297715,-0.0010716384361527664,-0.0018170132803090322,-0.0013681662714296605,-0.006148040294647203,-0.0030740201473236084
joint,combined,annotations,7866,11,4,0.6021764053598967,0.6058827114599887,0.5019127019222429,0.7641809601645665,0.6058827114599887,0.0999627262353897,0.5499813631176949,"0,1,2,3,4",0.6010918336081709,0.6047201357597056,0.5010526739592833,0.7624758842266471,0.6047201357597056,0.0930537730455398,0.5465268865227699,"0,1,2,3,4",-0.0010845717517258269,-0.0011625757002831083,-0.0008600279629595864,-0.0017050759379193536,-0.0011625757002831083,-0.006908953189849895,-0.0034544765949249268
joint,combined,celltype,5046,11,4,0.5787791329179847,0.5979837896920372,0.4915917101052479,0.7631468218031919,0.5979837896920372,0.0976425483822822,0.5488212741911411,"0,1,2,3,4",0.5770140409520019,0.595773598783948,0.4899147254197496,0.759989094029885,0.595773598783948,0.090527594089508,0.545263797044754,"0,1,2,3,4",-0.0017650919659827347,-0.002210190908089271,-0.0016769846854982617,-0.0031577277733069176,-0.002210190908089271,-0.0071149542927742004,-0.0035574771463871002
joint,combined,Y.l1,7866,9,4,0.6974860896059695,0.6560449033537153,0.5752421030698235,0.7632577907683435,0.6560449033537152,0.1138655170798301,0.5569327585399151,"0,1,2,3,4",0.6961889124489897,0.6546767370822856,0.5741704646336707,0.7614407774880345,0.6546767370822856,0.1077174767851829,0.5538587383925915,"0,1,2,3,4",-0.0012971771569797452,-0.0013681662714297715,-0.0010716384361527664,-0.0018170132803090322,-0.0013681662714296605,-0.006148040294647203,-0.0030740201473236084
joint,combined,Y,7866,12,4,0.3641601792082662,0.4764920771558474,0.3824298936599504,0.6319182348566393,0.4764920771558473,0.0024914017412811,0.5012457008706406,"0,1,2,3,4",0.364251207852689,0.4759123283796694,0.3820393169186122,0.6309454554675396,0.4759123283796694,0.0027537632267922,0.5013768816133961,"0,1,2,3,4",9.102864442278591e-05,-0.0005797487761780018,-0.00039057674133818887,-0.0009727793890997871,-0.0005797487761778908,0.00026236148551109966,0.00013118074275553226
joint,combined,RegionLoupe,7866,9,5,0.7633442790182251,0.6767742096477668,0.6402222796067631,0.7177525409214416,0.6767742096477668,0.1138655170798301,0.5569327585399151,"0,1,2,3,4",0.7653660346214896,0.6781525545770299,0.6416449449143462,0.7190651331141878,0.67815255457703,0.1077174767851829,0.5538587383925915,"0,1,2,3,4",0.0020217556032644524,0.0013783449292631422,0.0014226653075830598,0.0013125921927462647,0.0013783449292632532,-0.006148040294647203,-0.0030740201473236084
joint,combined,annotations,7866,11,5,0.6949877656142281,0.6299834406940683,0.5598460215452897,0.7202114097771459,0.6299834406940683,0.0999627262353897,0.5499813631176949,"0,1,2,3,4",0.697457457599868,0.6312434188943844,0.561062063262794,0.7214924716333063,0.6312434188943844,0.0930537730455398,0.5465268865227699,"0,1,2,3,4",0.0024696919856398436,0.001259978200316092,0.0012160417175042237,0.0012810618561603926,0.001259978200316092,-0.006908953189849895,-0.0034544765949249268
joint,combined,celltype,5046,11,5,0.673687361849951,0.6227990046509202,0.5493187613687492,0.7189732752031771,0.6227990046509202,0.0976425483822822,0.5488212741911411,"0,1,2,3,4",0.6743168518806396,0.6223184840989501,0.5490954498292958,0.718075342865868,0.6223184840989501,0.090527594089508,0.545263797044754,"0,1,2,3,4",0.0006294900306885731,-0.00048052055197012056,-0.00022331153945343019,-0.0008979323373090597,-0.00048052055197012056,-0.0071149542927742004,-0.0035574771463871002
joint,combined,Y.l1,7866,9,5,0.7633442790182251,0.6767742096477668,0.6402222796067631,0.7177525409214416,0.6767742096477668,0.1138655170798301,0.5569327585399151,"0,1,2,3,4",0.7653660346214896,0.6781525545770299,0.6416449449143462,0.7190651331141878,0.67815255457703,0.1077174767851829,0.5538587383925915,"0,1,2,3,4",0.0020217556032644524,0.0013783449292631422,0.0014226653075830598,0.0013125921927462647,0.0013783449292632532,-0.006148040294647203,-0.0030740201473236084
joint,combined,Y,7866,12,5,0.4194228078014483,0.4902539861314935,0.4207003885583844,0.5873613194046386,0.4902539861314935,0.0024914017412811,0.5012457008706406,"0,1,2,3,4",0.4216330332187871,0.4917976197973144,0.422094182688395,0.5890759532719576,0.4917976197973144,0.0027537632267922,0.5013768816133961,"0,1,2,3,4",0.0022102254173387847,0.0015436336658208871,0.0013937941300106171,0.0017146338673189598,0.0015436336658208871,0.00026236148551109966,0.00013118074275553226
joint,combined,RegionLoupe,7866,9,6,0.5832580799202476,0.635724059319936,0.6448145108484311,0.6268863549450686,0.635724059319936,0.1138655170798301,0.5569327585399151,"0,1,2,3,4",0.585561088833758,0.6377874473567469,0.6467039392393308,0.6291134855227037,0.637787447356747,0.1077174767851829,0.5538587383925915,"0,1,2,3,4",0.0023030089135104292,0.0020633880368108315,0.0018894283908996723,0.002227130577635128,0.0020633880368109425,-0.006148040294647203,-0.0030740201473236084
joint,combined,annotations,7866,11,6,0.490368805503863,0.5947319731204357,0.5639228263433529,0.6291020997091944,0.5947319731204357,0.0999627262353897,0.5499813631176949,"0,1,2,3,4",0.4929895971206071,0.5965464602935456,0.5654774689307158,0.6312279775230931,0.5965464602935456,0.0930537730455398,0.5465268865227699,"0,1,2,3,4",0.002620791616744056,0.0018144871731099466,0.001554642587362931,0.0021258778138987244,0.0018144871731099466,-0.006908953189849895,-0.0034544765949249268
joint,combined,celltype,5046,11,6,0.4811709861240154,0.5875134786772386,0.550495138256825,0.6298693826769834,0.5875134786772385,0.0976425483822822,0.5488212741911411,"0,1,2,3,4",0.4822840928257269,0.589053263343274,0.5519408604550887,0.6315163045961073,0.5890532633432741,0.090527594089508,0.545263797044754,"0,1,2,3,4",0.001113106701711497,0.0015397846660354375,0.001445722198263777,0.001646921919123856,0.0015397846660356596,-0.0071149542927742004,-0.0035574771463871002
joint,combined,Y.l1,7866,9,6,0.5832580799202476,0.635724059319936,0.6448145108484311,0.6268863549450686,0.635724059319936,0.1138655170798301,0.5569327585399151,"0,1,2,3,4",0.585561088833758,0.6377874473567469,0.6467039392393308,0.6291134855227037,0.637787447356747,0.1077174767851829,0.5538587383925915,"0,1,2,3,4",0.0023030089135104292,0.0020633880368108315,0.0018894283908996723,0.002227130577635128,0.0020633880368109425,-0.006148040294647203,-0.0030740201473236084
joint,combined,Y,7866,12,6,0.3173273642896655,0.4625501524566154,0.4222983763524104,0.5112836450765043,0.4625501524566154,0.0024914017412811,0.5012457008706406,"0,1,2,3,4",0.3185589474129658,0.4636614603159023,0.423194201398672,0.5126862513141336,0.4636614603159023,0.0027537632267922,0.5013768816133961,"0,1,2,3,4",0.001231583123300295,0.0011113078592868697,0.0008958250462615669,0.0014026062376293336,0.0011113078592868697,0.00026236148551109966,0.00013118074275553226
joint,combined,RegionLoupe,7866,9,7,0.5736865470659068,0.6433069086728834,0.6722332783461362,0.6167672561041796,0.6433069086728835,0.1138655170798301,0.5569327585399151,"0,1,2,3,4",0.5728640785296396,0.642465761672575,0.671264134660711,0.6160367379288346,0.642465761672575,0.1077174767851829,0.5538587383925915,"0,1,2,3,4",-0.0008224685362672179,-0.000841147000308462,-0.0009691436854252222,-0.0007305181753449741,-0.000841147000308573,-0.006148040294647203,-0.0030740201473236084
joint,combined,annotations,7866,11,7,0.476382449760295,0.6028606203558734,0.587741402283438,0.6187782383556074,0.6028606203558733,0.0999627262353897,0.5499813631176949,"0,1,2,3,4",0.4768527815643597,0.6021688275202413,0.5869933036817628,0.6181498405613652,0.6021688275202413,0.0930537730455398,0.5465268865227699,"0,1,2,3,4",0.0004703318040646942,-0.0006917928356321434,-0.000748098601675129,-0.0006283977942421748,-0.0006917928356320324,-0.006908953189849895,-0.0034544765949249268
joint,combined,celltype,5046,11,7,0.4700210006748114,0.5963025878908081,0.5744420866157115,0.6198927215991099,0.5963025878908083,0.0976425483822822,0.5488212741911411,"0,1,2,3,4",0.4684881641910205,0.5963657842175437,0.5747359597577244,0.6196873248826464,0.5963657842175436,0.090527594089508,0.545263797044754,"0,1,2,3,4",-0.0015328364837908781,6.319632673557063e-05,0.0002938731420129015,-0.00020539671646346847,6.319632673534858e-05,-0.0071149542927742004,-0.0035574771463871002
joint,combined,Y.l1,7866,9,7,0.5736865470659068,0.6433069086728834,0.6722332783461362,0.6167672561041796,0.6433069086728835,0.1138655170798301,0.5569327585399151,"0,1,2,3,4",0.5728640785296396,0.642465761672575,0.671264134660711,0.6160367379288346,0.642465761672575,0.1077174767851829,0.5538587383925915,"0,1,2,3,4",-0.0008224685362672179,-0.000841147000308462,-0.0009691436854252222,-0.0007305181753449741,-0.000841147000308573,-0.006148040294647203,-0.0030740201473236084
joint,combined,Y,7866,12,7,0.3114261799693794,0.4685259167695384,0.4392912759504477,0.5019290755473618,0.4685259167695385,0.0024914017412811,0.5012457008706406,"0,1,2,3,4",0.311573871456859,0.4675377252999935,0.4383120506827847,0.500939242021971,0.4675377252999934,0.0027537632267922,0.5013768816133961,"0,1,2,3,4",0.00014769148747961758,-0.00098819146954493,-0.0009792252676629754,-0.0009898335253907264,-0.0009881914695450966,0.00026236148551109966,0.00013118074275553226
joint,combined,RegionLoupe,7866,9,8,0.4791077072546121,0.6165132841326215,0.6729815052884706,0.568787707973156,0.6165132841326215,0.1138655170798301,0.5569327585399151,"0,1,2,3,4",0.4782020463478534,0.616655495218815,0.6731634056017374,0.5688998651185165,0.616655495218815,0.1077174767851829,0.5538587383925915,"0,1,2,3,4",-0.0009056609067586985,0.00014221108619349998,0.000181900313266814,0.00011215714536050303,0.00014221108619349998,-0.006148040294647203,-0.0030740201473236084
joint,combined,annotations,7866,11,8,0.3661058479208814,0.5795079998686193,0.5885225786072438,0.5707654130181508,0.5795079998686193,0.0999627262353897,0.5499813631176949,"0,1,2,3,4",0.3655751326053956,0.5796168555233245,0.5886549685206841,0.570852085112918,0.5796168555233245,0.0930537730455398,0.5465268865227699,"0,1,2,3,4",-0.0005307153154858191,0.00010885565470519776,0.0001323899134403339,8.667209476720394e-05,0.00010885565470519776,-0.006908953189849895,-0.0034544765949249268
joint,combined,celltype,5046,11,8,0.3689645707273457,0.5744544256678333,0.5746915204397183,0.5742175264469415,0.5744544256678333,0.0976425483822822,0.5488212741911411,"0,1,2,3,4",0.3681361906631124,0.5754462196796815,0.5757629795062059,0.5751298081965577,0.5754462196796815,0.090527594089508,0.545263797044754,"0,1,2,3,4",-0.0008283800642333028,0.0009917940118481239,0.0010714590664876456,0.0009122817496162172,0.0009917940118481239,-0.0071149542927742004,-0.0035574771463871002
joint,combined,Y.l1,7866,9,8,0.4791077072546121,0.6165132841326215,0.6729815052884706,0.568787707973156,0.6165132841326215,0.1138655170798301,0.5569327585399151,"0,1,2,3,4",0.4782020463478534,0.616655495218815,0.6731634056017374,0.5688998651185165,0.616655495218815,0.1077174767851829,0.5538587383925915,"0,1,2,3,4",-0.0009056609067586985,0.00014221108619349998,0.000181900313266814,0.00011215714536050303,0.00014221108619349998,-0.006148040294647203,-0.0030740201473236084
joint,combined,Y,7866,12,8,0.2514218087265196,0.4506768967870649,0.4394301096298126,0.4625145066817844,0.4506768967870649,0.0024914017412811,0.5012457008706406,"0,1,2,3,4",0.251144328675035,0.4512385801244861,0.4399934433322848,0.4630735879414653,0.4512385801244861,0.0027537632267922,0.5013768816133961,"0,1,2,3,4",-0.000277480051484591,0.0005616833374211816,0.0005633337024721907,0.0005590812596809047,0.0005616833374211816,0.00026236148551109966,0.00013118074275553226
joint,combined,RegionLoupe,7866,9,9,0.3921889777664017,0.5929793818158636,0.6765754639847729,0.5277694257505964,0.5929793818158636,0.1138655170798301,0.5569327585399151,"0,1,2,3,4",0.3905552895041195,0.5893827646839462,0.6721439590003675,0.5247679964571775,0.5893827646839462,0.1077174767851829,0.5538587383925915,"0,1,2,3,4",-0.001633688262282218,-0.00359661713191739,-0.0044315049844053656,-0.0030014292934188447,-0.00359661713191739,-0.006148040294647203,-0.0030740201473236084
joint,combined,annotations,7866,11,9,0.3830020126445447,0.585543965037044,0.6198520542747953,0.5548345205617978,0.585543965037044,0.0999627262353897,0.5499813631176949,"0,1,2,3,4",0.3703171290248978,0.5753528870878855,0.6087849522962997,0.5454015860250317,0.5753528870878853,0.0930537730455398,0.5465268865227699,"0,1,2,3,4",-0.012684883619646925,-0.010191077949158522,-0.011067101978495586,-0.00943293453676608,-0.010191077949158633,-0.006908953189849895,-0.0034544765949249268
joint,combined,celltype,5046,11,9,0.3883583510058508,0.584720680930246,0.6105522201287892,0.5609862047305171,0.5847206809302459,0.0976425483822822,0.5488212741911411,"0,1,2,3,4",0.3741932487524221,0.5746733858067986,0.5997882629866215,0.5515772440604049,0.5746733858067985,0.090527594089508,0.545263797044754,"0,1,2,3,4",-0.014165102253428707,-0.010047295123447375,-0.010763957142167713,-0.00940896067011221,-0.010047295123447375,-0.0071149542927742004,-0.0035574771463871002
joint,combined,Y.l1,7866,9,9,0.3921889777664017,0.5929793818158636,0.6765754639847729,0.5277694257505964,0.5929793818158636,0.1138655170798301,0.5569327585399151,"0,1,2,3,4",0.3905552895041195,0.5893827646839462,0.6721439590003675,0.5247679964571775,0.5893827646839462,0.1077174767851829,0.5538587383925915,"0,1,2,3,4",-0.001633688262282218,-0.00359661713191739,-0.0044315049844053656,-0.0030014292934188447,-0.00359661713191739,-0.006148040294647203,-0.0030740201473236084
joint,combined,Y,7866,12,9,0.2468678903245167,0.445757337273707,0.4523096416732574,0.4393921597139906,0.445757337273707,0.0024914017412811,0.5012457008706406,"0,1,2,3,4",0.2413251908509447,0.4396243543075959,0.445890140347211,0.4335322255061286,0.4396243543075959,0.0027537632267922,0.5013768816133961,"0,1,2,3,4",-0.005542699473571999,-0.006132982966111089,-0.006419501326046406,-0.0058599342078620165,-0.006132982966111089,0.00026236148551109966,0.00013118074275553226
joint,combined,RegionLoupe,7866,9,10,0.3872994841853378,0.5889345054376819,0.6847193810358059,0.5166594116642358,0.5889345054376818,0.1138655170798301,0.5569327585399151,"0,1,2,3,4",0.3715200567455814,0.5728777286961679,0.6691068240104148,0.5008472592432802,0.5728777286961679,0.1077174767851829,0.5538587383925915,"0,1,2,3,4",-0.015779427439756355,-0.016056776741513956,-0.015612557025391105,-0.015812152420955572,-0.016056776741513845,-0.006148040294647203,-0.0030740201473236084
joint,combined,annotations,7866,11,10,0.3665619954246653,0.5750876439064267,0.6196407596040681,0.5365116387850182,0.5750876439064269,0.0999627262353897,0.5499813631176949,"0,1,2,3,4",0.3398565124602332,0.552541351235592,0.5979161917521827,0.5135675828578269,0.5525413512355918,0.0930537730455398,0.5465268865227699,"0,1,2,3,4",-0.026705482964432092,-0.022546292670834744,-0.021724567851885368,-0.022944055927191287,-0.022546292670835077,-0.006908953189849895,-0.0034544765949249268
joint,combined,celltype,5046,11,10,0.3732548682112597,0.5762237827294808,0.6126257365730183,0.5439051746759406,0.5762237827294807,0.0976425483822822,0.5488212741911411,"0,1,2,3,4",0.3437483318230989,0.5525269491141456,0.5896036271341432,0.5198374523784247,0.5525269491141455,0.090527594089508,0.545263797044754,"0,1,2,3,4",-0.02950653638816081,-0.023696833615335255,-0.02302210943887517,-0.02406772229751586,-0.023696833615335255,-0.0071149542927742004,-0.0035574771463871002
joint,combined,Y.l1,7866,9,10,0.3872994841853378,0.5889345054376819,0.6847193810358059,0.5166594116642358,0.5889345054376818,0.1138655170798301,0.5569327585399151,"0,1,2,3,4",0.3715200567455814,0.5728777286961679,0.6691068240104148,0.5008472592432802,0.5728777286961679,0.1077174767851829,0.5538587383925915,"0,1,2,3,4",-0.015779427439756355,-0.016056776741513956,-0.015612557025391105,-0.015812152420955572,-0.016056776741513845,-0.006148040294647203,-0.0030740201473236084
joint,combined,Y,7866,12,10,0.2408142014581498,0.4410794706083942,0.4552362554213418,0.4277766164636137,0.4410794706083943,0.0024914017412811,0.5012457008706406,"0,1,2,3,4",0.2276250388249301,0.423807032936853,0.4392246677651958,0.4094350705518537,0.423807032936853,0.0027537632267922,0.5013768816133961,"0,1,2,3,4",-0.013189162633219703,-0.017272437671541185,-0.016011587656145965,-0.018341545911760015,-0.017272437671541296,0.00026236148551109966,0.00013118074275553226
joint,combined,RegionLoupe,7866,9,11,0.3896825016826999,0.5955896559114146,0.7046997126735018,0.5157370618482147,0.5955896559114147,0.1138655170798301,0.5569327585399151,"0,1,2,3,4",0.3557750519455402,0.578625388202104,0.6884783066187681,0.4990046924675042,0.5786253882021039,0.1077174767851829,0.5538587383925915,"0,1,2,3,4",-0.0339074497371597,-0.016964267709310588,-0.016221406054733767,-0.016732369380710488,-0.01696426770931081,-0.006148040294647203,-0.0030740201473236084
joint,combined,annotations,7866,11,11,0.3675302523846809,0.5822374025672183,0.637774454275426,0.5355978351379258,0.5822374025672183,0.0999627262353897,0.5499813631176949,"0,1,2,3,4",0.3431323072118922,0.557356419794982,0.6137525703345611,0.5104522691551691,0.5573564197949821,0.0930537730455398,0.5465268865227699,"0,1,2,3,4",-0.024397945172788704,-0.024880982772236382,-0.024021883940864908,-0.025145565982756746,-0.02488098277223627,-0.006908953189849895,-0.0034544765949249268
