mode,scope,k,n_obs,raw_vs_standardized_ari,raw_vs_standardized_nmi
joint,combined,2,17824,0.9985760113492748,0.9949192293958394
joint,combined,3,17824,0.9675714452695784,0.943667614428506
joint,combined,4,17824,0.9560550251111297,0.9264822945454593
joint,combined,5,17824,0.8411649480528939,0.840608264485751
joint,combined,6,17824,0.8280188344896022,0.8362525916664114
joint,combined,7,17824,0.8959300298251935,0.8773200704518223
joint,combined,8,17824,0.9142397223408084,0.8959753930222789
joint,combined,9,17824,0.6576077816645564,0.7333588304390805
joint,combined,10,17824,0.8201393247890243,0.8014009638663409
joint,combined,11,17824,0.8973635164145517,0.8746147059136351
joint,combined,12,17824,0.8641347703136567,0.8577269040756739
independent,Mouse_Thymus1,2,4697,0.5059399756967574,0.4140765993102134
independent,Mouse_Thymus2,2,4253,0.9443956540789089,0.8866673059952964
independent,Mouse_Thymus3,2,4646,0.9692485764153053,0.9283470952345604
independent,Mouse_Thymus4,2,4228,0.9647500462265735,0.9212753035475183
independent,Mouse_Thymus1,3,4697,0.9519066439093309,0.9048592955543927
independent,Mouse_Thymus2,3,4253,0.7949662253035296,0.7454804316743316
independent,Mouse_Thymus3,3,4646,0.7394596013274293,0.7031707277170269
independent,Mouse_Thymus4,3,4228,0.7520843015189359,0.7170083517388901
independent,Mouse_Thymus1,4,4697,0.963494496701098,0.9197423059612406
independent,Mouse_Thymus2,4,4253,0.5855004941833649,0.595153883954581
independent,Mouse_Thymus3,4,4646,0.7824458395116196,0.7583439179319486
independent,Mouse_Thymus4,4,4228,0.5141974486580424,0.5678645277270297
independent,Mouse_Thymus1,5,4697,0.904588439588549,0.8850513446513092
independent,Mouse_Thymus2,5,4253,0.5333749242242903,0.562694955242356
independent,Mouse_Thymus3,5,4646,0.8953378828417535,0.8481774961364088
independent,Mouse_Thymus4,5,4228,0.8304002806332812,0.7807103119095914
independent,Mouse_Thymus1,6,4697,0.9025893573848737,0.882235958867002
independent,Mouse_Thymus2,6,4253,0.5555258566604679,0.6068495955396505
independent,Mouse_Thymus3,6,4646,0.562696350626726,0.6242699990218572
independent,Mouse_Thymus4,6,4228,0.8742966193077573,0.8366667263204142
independent,Mouse_Thymus1,7,4697,0.8217082471476022,0.8082144929740376
independent,Mouse_Thymus2,7,4253,0.797729239086307,0.7428005150326394
independent,Mouse_Thymus3,7,4646,0.8669242414059731,0.8347088153866238
independent,Mouse_Thymus4,7,4228,0.8606745467107397,0.8183257512735904
independent,Mouse_Thymus1,8,4697,0.4973616248192978,0.6666761006667042
independent,Mouse_Thymus2,8,4253,0.6056073865288729,0.6670581163986995
independent,Mouse_Thymus3,8,4646,0.8612009288572985,0.8158015092887181
independent,Mouse_Thymus4,8,4228,0.8744820432299094,0.8322918080466897
independent,Mouse_Thymus1,9,4697,0.7972448008392102,0.8022309822410141
independent,Mouse_Thymus2,9,4253,0.6125263154960588,0.6735730009444568
independent,Mouse_Thymus3,9,4646,0.7265123529881026,0.6980928032981875
independent,Mouse_Thymus4,9,4228,0.7763679312359949,0.7845376580454024
independent,Mouse_Thymus1,10,4697,0.7613554943607271,0.7481844779758002
independent,Mouse_Thymus2,10,4253,0.6520666988502135,0.6686661512201345
independent,Mouse_Thymus3,10,4646,0.8032435240010438,0.7774934602103014
independent,Mouse_Thymus4,10,4228,0.7489708439578914,0.7617595421620199
independent,Mouse_Thymus1,11,4697,0.6790603218338451,0.698218603143004
independent,Mouse_Thymus2,11,4253,0.7399237087378234,0.6895298709679015
independent,Mouse_Thymus3,11,4646,0.8341929479758037,0.7891973694652068
independent,Mouse_Thymus4,11,4228,0.6859419713544547,0.742662807633286
independent,Mouse_Thymus1,12,4697,0.6919611148544907,0.6879559034006894
independent,Mouse_Thymus2,12,4253,0.6454184158891888,0.7251418669551716
independent,Mouse_Thymus3,12,4646,0.6386365268171988,0.7432486139182324
independent,Mouse_Thymus4,12,4228,0.6133991346872427,0.6527472764974246
