mode,scope,k,n_obs,embedding_dim,cluster_asw_raw,cluster_asw_scaled_raw,cluster_asw_n_obs,calinski_harabasz_raw,davies_bouldin_raw,ch_dbi_n_obs,section_ari_raw,section_nmi_raw,section_asw_raw,section_asw_n_obs_raw,metric_space_raw,labels_path_raw,cluster_asw_standardized,cluster_asw_scaled_standardized,calinski_harabasz_standardized,davies_bouldin_standardized,section_ari_standardized,section_nmi_standardized,section_asw_standardized,section_asw_n_obs_standardized,metric_space_standardized,labels_path_standardized,cluster_asw_delta_standardized_minus_raw,cluster_asw_scaled_delta_standardized_minus_raw,calinski_harabasz_delta_standardized_minus_raw,davies_bouldin_delta_standardized_minus_raw,section_ari_delta_standardized_minus_raw,section_nmi_delta_standardized_minus_raw,section_asw_delta_standardized_minus_raw
joint,combined,2,17824,128,0.3718205988407135,0.6859102994203568,10000,9412.143740189009,1.091380213820722,17824,0.3336150121727126,0.5567431776489429,0.1169909536838531,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_all.csv,0.2958588302135467,0.6479294151067734,6172.035832563344,1.3582471113334027,0.3342811741934057,0.5578081509116221,0.0953141674399375,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_all.csv,-0.0759617686271668,-0.037980884313583374,-3240.1079076256647,0.26686689751268067,0.0006661620206930841,0.0010649732626791808,-0.0216767862439156
joint,combined,3,17824,128,0.3555777966976166,0.6777888983488083,10000,9551.702070360208,1.1169952990527965,17824,0.3348172194175102,0.4484647398112945,0.1169909536838531,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_all.csv,0.2825965285301208,0.6412982642650604,5844.515370354463,1.3947507642121115,0.3351854047816279,0.4473811269762398,0.0953141674399375,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_all.csv,-0.07298126816749578,-0.036490634083747864,-3707.1867000057455,0.27775546515931504,0.0003681853641177013,-0.0010836128350547036,-0.0216767862439156
joint,combined,4,17824,128,0.3544308543205261,0.6772154271602631,10000,7231.365426125337,1.264617724564271,17824,0.3106155090171831,0.4262192090964649,0.1169909536838531,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_all.csv,0.2945232689380646,0.6472616344690323,4529.691285055417,1.4812985712884097,0.3078748511915939,0.4181558049029321,0.0953141674399375,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_all.csv,-0.05990758538246155,-0.029953792691230774,-2701.6741410699196,0.2166808467241388,-0.002740657825589188,-0.008063404193532797,-0.0216767862439156
joint,combined,5,17824,128,0.3050382733345032,0.6525191366672516,10000,6098.481072790632,1.905080453427524,17824,0.3070428772586525,0.3826329695993514,0.1169909536838531,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_all.csv,0.2690472602844238,0.6345236301422119,3833.353970152574,2.120121112245443,0.3047243885964996,0.3778568241545979,0.0953141674399375,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_all.csv,-0.0359910130500794,-0.017995506525039673,-2265.127102638058,0.21504065881791878,-0.0023184886621528955,-0.004776145444753466,-0.0216767862439156
joint,combined,6,17824,128,0.2878965139389038,0.6439482569694519,10000,5265.123997151667,1.901786857787777,17824,0.2556805004519824,0.3714826083691234,0.1169909536838531,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_all.csv,0.2593484818935394,0.6296742409467697,3307.761330021113,2.0467087982768475,0.26265406166456,0.3701367428133816,0.0953141674399375,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k6/labels_all.csv,-0.028548032045364435,-0.01427401602268219,-1957.3626671305542,0.14492194048907048,0.006973561212577639,-0.0013458655557417876,-0.0216767862439156
joint,combined,7,17824,128,0.2649537920951843,0.6324768960475922,10000,4670.708927292011,1.9700478754701456,17824,0.2509688960293761,0.3507126071185397,0.1169909536838531,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_all.csv,0.2318306118249893,0.6159153059124947,2947.621556521732,2.0501403705442365,0.2585726231088178,0.3483161055411251,0.0953141674399375,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k7/labels_all.csv,-0.033123180270195035,-0.016561590135097504,-1723.087370770279,0.08009249507409089,0.00760372707944168,-0.0023965015774146115,-0.0216767862439156
joint,combined,8,17824,128,0.2687003910541534,0.6343501955270767,10000,4215.171466975542,1.84221938309848,17824,0.2429048881615913,0.3507553488136389,0.1169909536838531,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_all.csv,0.236617162823677,0.6183085814118385,2667.636044153776,1.9567506368339127,0.2453716220776257,0.3487513291323797,0.0953141674399375,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_all.csv,-0.03208322823047638,-0.01604161411523819,-1547.5354228217661,0.1145312537354326,0.002466733916034386,-0.0020040196812591837,-0.0216767862439156
joint,combined,9,17824,128,0.2199517786502838,0.6099758893251419,10000,3869.9445428330446,1.9663060675453328,17824,0.2389459653018926,0.334206310492018,0.1169909536838531,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_all.csv,0.2226802259683609,0.6113401129841805,2453.3184796058786,2.191596735306782,0.2433383203109052,0.3368837073784491,0.0953141674399375,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k9/labels_all.csv,0.0027284473180770874,0.0013642236590385437,-1416.626063227166,0.22529066776144901,0.004392355009012583,0.0026773968864310937,-0.0216767862439156
joint,combined,10,17824,128,0.2141645699739456,0.6070822849869728,10000,3564.242437474557,2.0765222409309807,17824,0.2373187783036617,0.3240875744471619,0.1169909536838531,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_all.csv,0.2020351141691208,0.6010175570845604,2284.224316010894,2.078468810133937,0.238465470661718,0.3252895971353688,0.0953141674399375,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_all.csv,-0.012129455804824801,-0.0060647279024124146,-1280.0181214636627,0.0019465692029561055,0.0011466923580563115,0.0012020226882069052,-0.0216767862439156
joint,combined,11,17824,128,0.2205826342105865,0.6102913171052933,10000,3312.7683258888305,2.0182024643494527,17824,0.2365940779393604,0.3207674675044273,0.1169909536838531,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_all.csv,0.1989194452762603,0.5994597226381302,2139.854759891445,2.11496875483703,0.2388383356785374,0.3189579765182134,0.0953141674399375,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k11/labels_all.csv,-0.0216631889343262,-0.010831594467163086,-1172.9135659973854,0.09676629048757723,0.002244257739176997,-0.001809490986213913,-0.0216767862439156
