mode,scope,k,n_iter,n_steps,inertia,labels_cache,centers_cache
independent,section1,6,3,336,73419280.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k6.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k6_centers.npy
independent,section1,7,3,336,70092640.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k7.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k7_centers.npy
independent,section1,8,2,256,66711676.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k8.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k8_centers.npy
independent,section1,9,3,334,64732892.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k9.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k9_centers.npy
independent,section1,10,3,359,62616660.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k10.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k10_centers.npy
independent,section1,11,2,258,60590448.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k11.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k11_centers.npy
independent,section1,12,2,258,60027460.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k12.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k12_centers.npy
independent,section1,13,2,258,58710044.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k13.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k13_centers.npy
independent,section1,14,3,336,57509932.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k14.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k14_centers.npy
independent,section1,15,2,258,55962344.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k15.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k15_centers.npy
