mode,scope,k,n_obs,embedding_dim,cluster_asw,cluster_asw_scaled,cluster_asw_n_obs,calinski_harabasz,davies_bouldin,ch_dbi_n_obs,metric_space,section_ari,section_nmi
joint,combined,2,1068962,128,0.11803262680768967,0.5590163134038448,10000,140703.27632091005,2.7380480675950767,1068962,raw_embedding,0.0021930445843686757,0.0007190660203727768
joint,combined,3,1068962,128,0.09889689087867737,0.5494484454393387,10000,103952.54932465659,2.8859193899983677,1068962,raw_embedding,-0.0014660960229487645,0.0005190399136360077
joint,combined,4,1068962,128,0.08290056139230728,0.5414502806961536,10000,84653.8150108826,3.2542964110992196,1068962,raw_embedding,0.008908945910985037,0.008211440502040661
joint,combined,5,1068962,128,0.09486515820026398,0.547432579100132,10000,82886.9919392454,2.7951763864391537,1068962,raw_embedding,0.0008925759872361193,0.0014240009832049746
joint,combined,6,1068962,128,0.09722298383712769,0.5486114919185638,10000,77291.50921883839,2.726586052421771,1068962,raw_embedding,0.0030301642570010985,0.005760181179276237
joint,combined,7,1068962,128,0.10941672325134277,0.5547083616256714,10000,75535.83465536067,2.4494580183584063,1068962,raw_embedding,0.0013217614674652328,0.0020815640529598025
joint,combined,8,1068962,128,0.10853224992752075,0.5542661249637604,10000,69646.9229933736,2.491838706582112,1068962,raw_embedding,0.00326973071169699,0.0064884653319748934
joint,combined,9,1068962,128,0.11155576258897781,0.5557778812944889,10000,68594.76695137876,2.3985678703802336,1068962,raw_embedding,0.003520166671660607,0.0051409469609913295
joint,combined,10,1068962,128,0.12662847340106964,0.5633142367005348,10000,69273.09558746884,2.1475013124963356,1068962,raw_embedding,0.014747133834910544,0.036035035851895776
joint,combined,11,1068962,128,0.12888281047344208,0.564441405236721,10000,67202.98562525534,2.1687332031148583,1068962,raw_embedding,0.0028687264449701183,0.005425716318567218
joint,combined,12,1068962,128,0.12119311839342117,0.5605965591967106,10000,62599.35218940966,2.1880057046938006,1068962,raw_embedding,0.008412101351888059,0.015409231362669624
joint,combined,13,1068962,128,0.12944425642490387,0.5647221282124519,10000,62864.707954344434,2.0923434793524125,1068962,raw_embedding,0.012313398080997125,0.03566474210768278
joint,combined,14,1068962,128,0.12201989442110062,0.5610099472105503,10000,58504.37062000508,2.184319610762495,1068962,raw_embedding,0.015561142437793676,0.0397796129958873
joint,combined,15,1068962,128,0.13205356895923615,0.5660267844796181,10000,57953.71358624291,2.0897577738835187,1068962,raw_embedding,0.011329353942928319,0.035402902481156885
joint,combined,16,1068962,128,0.12936830520629883,0.5646841526031494,10000,56181.45109764984,2.14459849900486,1068962,raw_embedding,0.015732437849498463,0.04380396052917276
joint,combined,17,1068962,128,0.12003085762262344,0.5600154288113117,10000,52297.626557434174,2.283672285729257,1068962,raw_embedding,0.002495290341387679,0.006541305648153903
joint,combined,18,1068962,128,0.12670081853866577,0.5633504092693329,10000,53037.65373822598,2.1627299069281842,1068962,raw_embedding,0.010249161675460321,0.03363324417649086
joint,combined,19,1068962,128,0.1317082643508911,0.5658541321754456,10000,52281.40865313349,2.075725468217851,1068962,raw_embedding,0.012669214894167447,0.04051419297463863
joint,combined,20,1068962,128,0.1262969672679901,0.5631484836339951,10000,50244.64781197466,2.113645867266937,1068962,raw_embedding,0.012452130639965477,0.04428789324509925
independent,section1,2,665399,128,0.12161096185445786,0.5608054809272289,10000,90933.58928530895,2.6940237595729095,665399,raw_embedding,,
independent,section1,3,665399,128,0.09628837555646896,0.5481441877782345,10000,67105.10545909223,2.847878749742291,665399,raw_embedding,,
independent,section1,4,665399,128,0.0943666473031044,0.5471833236515522,10000,56128.42927884685,2.853520249676458,665399,raw_embedding,,
independent,section1,5,665399,128,0.09881220757961273,0.5494061037898064,10000,53532.93624390864,2.8208073713965853,665399,raw_embedding,,
independent,section1,6,665399,128,0.10785539448261261,0.5539276972413063,10000,51387.172385269834,2.458428090872534,665399,raw_embedding,,
independent,section1,7,665399,128,0.11516039818525314,0.5575801990926266,10000,50202.418740628076,2.3329860070667197,665399,raw_embedding,,
independent,section1,8,665399,128,0.12862136960029602,0.564310684800148,10000,49931.78656238633,2.2000246084777073,665399,raw_embedding,,
independent,section1,9,665399,128,0.1261495053768158,0.5630747526884079,10000,47659.15911426164,2.2713466695192346,665399,raw_embedding,,
independent,section1,10,665399,128,0.13417449593544006,0.56708724796772,10000,46528.12208553022,2.1818629255799644,665399,raw_embedding,,
