section,spot_index,obs_name,cluster,stage
Mouse_Thymus3,106,99_58,1,Mouse_Thymus3
Mouse_Thymus3,107,48_40,0,Mouse_Thymus3
Mouse_Thymus3,108,9_56,4,Mouse_Thymus3
Mouse_Thymus3,109,85_18,0,Mouse_Thymus3
Mouse_Thymus3,110,82_52,1,Mouse_Thymus3
Mouse_Thymus3,111,75_37,0,Mouse_Thymus3
Mouse_Thymus3,112,65_29,9,Mouse_Thymus3
Mouse_Thymus3,113,64_23,6,Mouse_Thymus3
Mouse_Thymus3,114,93_46,9,Mouse_Thymus3
Mouse_Thymus3,115,64_18,6,Mouse_Thymus3
Mouse_Thymus3,116,10_46,6,Mouse_Thymus3
Mouse_Thymus3,117,85_7,1,Mouse_Thymus3
Mouse_Thymus3,118,33_25,5,Mouse_Thymus3
Mouse_Thymus3,119,32_39,5,Mouse_Thymus3
Mouse_Thymus3,120,88_45,5,Mouse_Thymus3
Mouse_Thymus3,121,78_4,1,Mouse_Thymus3
Mouse_Thymus3,122,21_44,1,Mouse_Thymus3
Mouse_Thymus3,123,57_29,0,Mouse_Thymus3
Mouse_Thymus3,124,84_10,1,Mouse_Thymus3
Mouse_Thymus3,125,121_48,4,Mouse_Thymus3
Mouse_Thymus3,126,92_33,0,Mouse_Thymus3
Mouse_Thymus3,127,68_49,8,Mouse_Thymus3
Mouse_Thymus3,128,83_7,1,Mouse_Thymus3
Mouse_Thymus3,129,105_49,5,Mouse_Thymus3
Mouse_Thymus3,130,103_28,1,Mouse_Thymus3
Mouse_Thymus3,131,97_20,1,Mouse_Thymus3
Mouse_Thymus3,132,72_32,0,Mouse_Thymus3
Mouse_Thymus3,133,40_26,5,Mouse_Thymus3
Mouse_Thymus3,134,91_48,1,Mouse_Thymus3
Mouse_Thymus3,135,91_50,5,Mouse_Thymus3
Mouse_Thymus3,136,78_47,1,Mouse_Thymus3
Mouse_Thymus3,137,39_40,6,Mouse_Thymus3
Mouse_Thymus3,138,59_44,1,Mouse_Thymus3
Mouse_Thymus3,139,80_55,9,Mouse_Thymus3
Mouse_Thymus3,140,79_26,5,Mouse_Thymus3
Mouse_Thymus3,141,34_33,6,Mouse_Thymus3
Mouse_Thymus3,142,31_47,0,Mouse_Thymus3
Mouse_Thymus3,143,77_5,1,Mouse_Thymus3
Mouse_Thymus3,144,67_22,0,Mouse_Thymus3
Mouse_Thymus3,145,122_57,5,Mouse_Thymus3
Mouse_Thymus3,146,92_20,6,Mouse_Thymus3
Mouse_Thymus3,147,26_58,5,Mouse_Thymus3
Mouse_Thymus3,148,18_43,5,Mouse_Thymus3
Mouse_Thymus3,149,37_40,1,Mouse_Thymus3
Mouse_Thymus3,150,21_42,5,Mouse_Thymus3
Mouse_Thymus3,151,32_38,1,Mouse_Thymus3
Mouse_Thymus3,152,43_32,0,Mouse_Thymus3
Mouse_Thymus3,153,43_28,0,Mouse_Thymus3
Mouse_Thymus3,154,86_55,1,Mouse_Thymus3
Mouse_Thymus3,155,88_31,5,Mouse_Thymus3
Mouse_Thymus3,156,89_32,6,Mouse_Thymus3
Mouse_Thymus3,157,1_50,8,Mouse_Thymus3
Mouse_Thymus3,158,29_48,0,Mouse_Thymus3
Mouse_Thymus3,159,39_29,0,Mouse_Thymus3
Mouse_Thymus3,160,98_15,5,Mouse_Thymus3
Mouse_Thymus3,161,119_65,1,Mouse_Thymus3
Mouse_Thymus3,162,115_60,9,Mouse_Thymus3
Mouse_Thymus3,163,81_55,1,Mouse_Thymus3
Mouse_Thymus3,164,27_36,1,Mouse_Thymus3
Mouse_Thymus3,165,98_46,5,Mouse_Thymus3
Mouse_Thymus3,166,101_28,0,Mouse_Thymus3
Mouse_Thymus3,167,66_24,0,Mouse_Thymus3
Mouse_Thymus3,168,54_16,9,Mouse_Thymus3
Mouse_Thymus3,169,116_61,6,Mouse_Thymus3
Mouse_Thymus3,170,86_15,0,Mouse_Thymus3
Mouse_Thymus3,171,39_25,5,Mouse_Thymus3
Mouse_Thymus3,172,95_49,8,Mouse_Thymus3
Mouse_Thymus3,173,29_45,0,Mouse_Thymus3
