section,spot_index,obs_name,cluster,stage
Mouse_Thymus4,0,42_81,0,Mouse_Thymus4
Mouse_Thymus4,1,48_23,1,Mouse_Thymus4
Mouse_Thymus4,2,5_39,5,Mouse_Thymus4
Mouse_Thymus4,3,28_72,5,Mouse_Thymus4
Mouse_Thymus4,4,13_51,5,Mouse_Thymus4
Mouse_Thymus4,5,24_69,0,Mouse_Thymus4
Mouse_Thymus4,6,33_16,8,Mouse_Thymus4
Mouse_Thymus4,7,9_46,1,Mouse_Thymus4
Mouse_Thymus4,8,54_8,0,Mouse_Thymus4
Mouse_Thymus4,9,17_39,0,Mouse_Thymus4
Mouse_Thymus4,10,45_103,1,Mouse_Thymus4
Mouse_Thymus4,11,46_79,0,Mouse_Thymus4
Mouse_Thymus4,12,24_62,6,Mouse_Thymus4
Mouse_Thymus4,13,64_27,5,Mouse_Thymus4
Mouse_Thymus4,14,35_60,9,Mouse_Thymus4
Mouse_Thymus4,15,46_113,5,Mouse_Thymus4
Mouse_Thymus4,16,52_106,0,Mouse_Thymus4
Mouse_Thymus4,17,52_4,1,Mouse_Thymus4
Mouse_Thymus4,18,21_59,1,Mouse_Thymus4
Mouse_Thymus4,19,63_29,9,Mouse_Thymus4
Mouse_Thymus4,20,59_109,5,Mouse_Thymus4
Mouse_Thymus4,21,49_110,9,Mouse_Thymus4
Mouse_Thymus4,22,33_62,9,Mouse_Thymus4
Mouse_Thymus4,23,53_31,1,Mouse_Thymus4
Mouse_Thymus4,24,45_38,1,Mouse_Thymus4
Mouse_Thymus4,25,35_90,6,Mouse_Thymus4
Mouse_Thymus4,26,55_23,5,Mouse_Thymus4
Mouse_Thymus4,27,29_46,5,Mouse_Thymus4
Mouse_Thymus4,28,38_58,6,Mouse_Thymus4
Mouse_Thymus4,29,17_65,0,Mouse_Thymus4
Mouse_Thymus4,30,12_31,9,Mouse_Thymus4
Mouse_Thymus4,31,26_21,9,Mouse_Thymus4
Mouse_Thymus4,32,34_96,8,Mouse_Thymus4
Mouse_Thymus4,33,26_60,0,Mouse_Thymus4
Mouse_Thymus4,34,56_100,6,Mouse_Thymus4
Mouse_Thymus4,35,56_103,5,Mouse_Thymus4
