section,obs_name,cluster,x,y
CRC_006_bin20,47158740923940,5,265.0,527.0
CRC_006_bin20,52398601018120,7,326.0,180.0
CRC_006_bin20,51797305598880,7,319.0,290.0
CRC_006_bin20,73014444041920,4,566.0,330.0
CRC_006_bin20,40973988016160,5,193.0,450.0
CRC_006_bin20,40716289974560,7,190.0,258.0
CRC_006_bin20,60215441495020,6,417.0,89.0
CRC_006_bin20,60644938229040,5,422.0,310.0
CRC_006_bin20,58325655898360,3,395.0,768.0
CRC_006_bin20,63737314691380,8,458.0,771.0
CRC_006_bin20,48447231106260,3,280.0,203.0
CRC_006_bin20,39341900436700,4,174.0,101.0
CRC_006_bin20,67259187863240,4,499.0,228.0
CRC_006_bin20,40458591941080,8,187.0,472.0
CRC_006_bin20,57638461125720,0,387.0,504.0
CRC_006_bin20,73358041431300,2,570.0,615.0
CRC_006_bin20,50594714758300,3,305.0,405.0
CRC_006_bin20,60559038883120,5,421.0,310.0
CRC_006_bin20,51969104288200,1,321.0,164.0
CRC_006_bin20,49649821961160,5,294.0,804.0
CRC_006_bin20,28776280895360,6,51.0,442.0
CRC_006_bin20,75935021802660,1,600.0,303.0
CRC_006_bin20,64596308141360,9,468.0,310.0
CRC_006_bin20,40029095215840,1,182.0,690.0
CRC_006_bin20,45011257282540,3,240.0,857.0
CRC_006_bin20,51711406253640,5,318.0,324.0
CRC_006_bin20,35734127910540,7,132.0,225.0
CRC_006_bin20,56178172248760,8,370.0,688.0
CRC_006_bin20,42520176244940,7,211.0,561.0
CRC_006_bin20,51797305601660,8,319.0,429.0
CRC_006_bin20,55748675510500,1,365.0,255.0
CRC_006_bin20,62706522529540,8,446.0,231.0
CRC_006_bin20,71038759092020,2,543.0,643.0
CRC_006_bin20,68032281985320,8,508.0,668.0
CRC_006_bin20,66657892438480,1,492.0,62.0
CRC_006_bin20,89335319763640,6,756.0,176.0
CRC_006_bin20,68805376096120,2,517.0,544.0
CRC_006_bin20,35304631184220,6,127.0,389.0
CRC_006_bin20,26886495286080,7,29.0,490.0
CRC_006_bin20,76536317225720,6,607.0,384.0
CRC_006_bin20,47416438962540,3,268.0,569.0
CRC_006_bin20,42176578853140,3,207.0,155.0
CRC_006_bin20,40888088675140,9,192.0,695.0
CRC_006_bin20,78082505457680,2,625.0,654.0
CRC_006_bin20,46042049417840,6,252.0,70.0
CRC_006_bin20,42777874285260,8,214.0,689.0
CRC_006_bin20,49649821958520,0,294.0,672.0
CRC_006_bin20,40286793244520,5,185.0,236.0
CRC_006_bin20,33243046882800,6,103.0,422.0
CRC_006_bin20,53515292518540,3,339.0,353.0
CRC_006_bin20,70523363016780,8,537.0,657.0
CRC_006_bin20,70265664971680,4,534.0,290.0
CRC_006_bin20,63050119916620,4,450.0,401.0
CRC_006_bin20,58067957854560,4,392.0,466.0
CRC_006_bin20,79285096293920,0,639.0,322.0
CRC_006_bin20,79714593023020,4,644.0,297.0
CRC_006_bin20,58239756547060,0,394.0,499.0
CRC_006_bin20,67860483287120,8,506.0,350.0
CRC_006_bin20,71038759088540,4,543.0,469.0
CRC_006_bin20,27573690053280,6,37.0,482.0
CRC_006_bin20,48103633726640,5,276.0,406.0
CRC_006_bin20,60043642803080,6,415.0,84.0
CRC_006_bin20,77567109378680,4,619.0,480.0
CRC_006_bin20,42691974929140,3,213.0,179.0
CRC_006_bin20,79628693678580,6,643.0,371.0
CRC_006_bin20,88046829573480,6,741.0,108.0
CRC_006_bin20,78082505452020,4,625.0,371.0
CRC_006_bin20,77395310680840,8,617.0,180.0
CRC_006_bin20,76192719835820,6,603.0,73.0
CRC_006_bin20,82978768167700,4,682.0,283.0
CRC_006_bin20,54975581407580,9,356.0,773.0
CRC_006_bin20,51367808865360,7,314.0,94.0
CRC_006_bin20,78168404796820,4,626.0,315.0
CRC_006_bin20,25426206406760,7,12.0,556.0
CRC_006_bin20,87445534152980,8,734.0,155.0
CRC_006_bin20,77395310684460,4,617.0,361.0
CRC_006_bin20,72584947312600,8,561.0,344.0
CRC_006_bin20,34016140996960,7,112.0,466.0
CRC_006_bin20,53515292522420,1,339.0,547.0
CRC_006_bin20,51281909520360,3,313.0,140.0
CRC_006_bin20,64338610113100,3,465.0,785.0
CRC_006_bin20,87960930227240,7,740.0,92.0
CRC_006_bin20,52055003639660,4,322.0,441.0
CRC_006_bin20,72928544695380,0,565.0,299.0
CRC_006_bin20,86586540691280,6,724.0,30.0
CRC_006_bin20,38053410251440,6,159.0,278.0
CRC_006_bin20,68977174790080,2,519.0,650.0
CRC_006_bin20,41747082131640,3,202.0,560.0
CRC_006_bin20,32555852120620,5,95.0,681.0
CRC_006_bin20,78512002180440,4,630.0,312.0
CRC_006_bin20,52484500363640,7,327.0,160.0
CRC_006_bin20,82463372088660,4,676.0,107.0
CRC_006_bin20,75505525079300,2,595.0,615.0
CRC_006_bin20,57724360473860,0,388.0,615.0
CRC_006_bin20,45612552703680,3,247.0,842.0
CRC_006_bin20,61160334302360,6,428.0,200.0
CRC_006_bin20,35390530537940,1,128.0,779.0
CRC_006_bin20,49048526530980,9,287.0,367.0
CRC_006_bin20,37452114839100,1,152.0,733.0
CRC_006_bin20,45612552703220,5,247.0,819.0
CRC_006_bin20,41918880822960,9,204.0,534.0
CRC_006_bin20,67345087207940,7,500.0,167.0
CRC_006_bin20,61933428416940,4,437.0,265.0
CRC_006_bin20,49735721294800,7,295.0,190.0
CRC_006_bin20,69836168245880,4,529.0,480.0
CRC_006_bin20,54631984016340,1,352.0,395.0
CRC_006_bin20,57466662433640,0,385.0,492.0
CRC_006_bin20,50422916061320,3,303.0,148.0
CRC_006_bin20,73272142080680,6,569.0,380.0
CRC_006_bin20,42520176235500,6,211.0,89.0
CRC_006_bin20,36679020728200,1,143.0,852.0
CRC_006_bin20,43894565781960,3,227.0,676.0
CRC_006_bin20,30837865201300,3,75.0,635.0
CRC_006_bin20,72499047968940,2,560.0,457.0
CRC_006_bin20,35132832489060,7,125.0,223.0
CRC_006_bin20,51367808876280,0,314.0,640.0
CRC_006_bin20,66056597028100,2,485.0,615.0
CRC_006_bin20,36850819410580,7,145.0,379.0
CRC_006_bin20,44495861200060,5,234.0,509.0
CRC_006_bin20,54460185332160,3,350.0,778.0
CRC_006_bin20,65283502914320,2,476.0,590.0
CRC_006_bin20,67602785249960,6,503.0,380.0
CRC_006_bin20,70007966938360,2,531.0,512.0
CRC_006_bin20,72069551234340,1,555.0,207.0
