mode,k,mean_spatial_neighbor_agreement
independent,5,0.7085044112685934
independent,8,0.5632643000218638
independent,10,0.4728137685402196
independent,12,0.4443491558740522
joint,2,0.7889647318973412
joint,3,0.7785353082641389
joint,4,0.7215262014634274
joint,5,0.7092920676121077
joint,6,0.6092790592802813
joint,7,0.5775830496679586
joint,8,0.5597681292623151
joint,9,0.5225025840067075
joint,10,0.4685219305036637
joint,11,0.4658914034152867
joint,12,0.4446649860369073
