mode,k,section_ARI_diagnostic,section_NMI_diagnostic
joint,5,0.30703891998726496,0.38257274141296166
joint,8,0.2434300225837303,0.3506922240703057
joint,10,0.23704199925652764,0.3239448213527032
joint,12,0.23511879637741698,0.31324316434969157
