mode,k,scope,n_obs,metric_sample_size,n_clusters_observed,silhouette,calinski_harabasz,davies_bouldin,section_ARI_diagnostic,section_NMI_diagnostic
independent,20,CRC_003,166279,10000,20,0.02029656477062986,123.82554091416256,4.097706599211337,,
independent,20,CRC_006,446095,10000,20,0.035865145014660274,145.84456784916947,3.950915387829699,,
joint,20,combined,612374,10000,20,0.030755020240270308,135.66941878476132,4.067585215243302,0.007275062231504757,0.04302387649455479
independent,25,CRC_003,166279,10000,25,0.01957110076434989,105.81751497555013,4.042003549252686,,
independent,25,CRC_006,446095,10000,25,0.02913291654466703,119.91747154322485,3.9576343115467183,,
joint,25,combined,612374,10000,25,0.029531323198386684,117.5629588985299,3.946610754081482,0.009976987645455425,0.04898716971309159
