mode,k,mean_spatial_neighbor_agreement
independent,5,0.6129629629629629
independent,8,0.40408950617283956
independent,10,0.3714763374485597
independent,12,0.3314043209876543
joint,5,0.6588477366255143
joint,8,0.405787037037037
joint,10,0.37034465020576135
joint,12,0.33001543209876544
