mode,scope,k,n_obs,embedding_dim,ari,nmi,homogeneity,completeness,v_measure,cluster_asw,cluster_asw_scaled,calinski_harabasz,davies_bouldin,label_asw,label_asw_scaled,section_ari,section_nmi,section_asw
joint,combined,5,6480,128,0.5580764920864147,0.6627345337184241,0.6725511312927938,0.6532003808842153,0.6627345337184238,0.3618951439857483,0.6809475719928741,1669.81776200143,1.3815881671721422,0.36085596680641174,0.6804279834032059,-0.0005983186820410048,8.566601850009944e-06,-0.0012443014420568943
independent,Simulation1,5,1296,128,0.6007325263068103,0.7314208215433883,0.7421658708009259,0.7209824648319967,0.7314208215433883,0.3760562837123871,0.6880281418561935,343.57136440931424,1.4560415550004446,0.3611196279525757,0.6805598139762878,,,
independent,Simulation2,5,1296,128,0.3842673580320979,0.542540607954155,0.5442048714439501,0.5408864925851683,0.5425406079541549,0.3684517741203308,0.6842258870601654,344.57651195823314,1.4009529776160758,0.3598097264766693,0.6799048632383347,,,
independent,Simulation3,5,1296,128,0.537471373935575,0.6542605570501187,0.663900279792396,0.6448967622533183,0.6542605570501187,0.3592655658721924,0.6796327829360962,336.1283797354132,1.3880387714052957,0.35910505056381226,0.6795525252819061,,,
independent,Simulation4,5,1296,128,0.5982664324790602,0.7217398314650249,0.7328996931815117,0.7109147346546837,0.7217398314650247,0.372114360332489,0.6860571801662445,344.7827600633643,1.4415521521767387,0.3582296371459961,0.679114818572998,,,
independent,Simulation5,5,1296,128,0.37965599865927624,0.4985770073240096,0.5047742481984743,0.4925300910577763,0.4985770073240096,0.3505297303199768,0.6752648651599884,334.1844825972345,1.386945504946204,0.3579140305519104,0.6789570152759552,,,
joint,combined,8,6480,128,0.41892370238395477,0.5822760674968644,0.677089975173024,0.5107543786799789,0.5822760674968644,0.4531330168247223,0.7265665084123611,2386.817900529465,0.9661028448297366,0.36085596680641174,0.6804279834032059,-0.0007634576047432696,5.529707633404662e-06,-0.0012443014420568943
independent,Simulation1,8,1296,128,0.41430097451233927,0.5824322021100389,0.6770199706764627,0.5110345740965186,0.5824322021100389,0.45114004611968994,0.725570023059845,477.5158590512592,0.9623232809436317,0.3611196279525757,0.6805598139762878,,,
independent,Simulation2,8,1296,128,0.41802371034585034,0.5828636799583479,0.6778750542242976,0.5112119117280169,0.5828636799583478,0.4510442614555359,0.7255221307277679,475.77218279704095,0.9669596857954488,0.3598097264766693,0.6799048632383347,,,
independent,Simulation3,8,1296,128,0.406176253616286,0.5684255623022743,0.6606457832263355,0.4987978587728057,0.5684255623022743,0.45124882459640503,0.7256244122982025,475.88161060742726,0.9665218536134663,0.35910505056381226,0.6795525252819061,,,
independent,Simulation4,8,1296,128,0.43754401630583895,0.593996006410887,0.6920130798524521,0.5203004013233878,0.5939960064108869,0.4468465745449066,0.7234232872724533,470.31952106956356,0.9535900012718912,0.3582296371459961,0.679114818572998,,,
independent,Simulation5,8,1296,128,0.3763636419968257,0.5464897950335947,0.6318600868962914,0.48144236441203087,0.5464897950335947,0.4448188543319702,0.7224094271659851,473.1503839528209,0.9335904569999272,0.3579140305519104,0.6789570152759552,,,
joint,combined,10,6480,128,0.4121225740103347,0.545108914583081,0.6678182494438126,0.4604945966728582,0.5451089145830812,0.4830852746963501,0.741542637348175,2355.517422942859,1.0064264351720598,0.36085596680641174,0.6804279834032059,-0.0008148062617793661,1.8338270128412233e-05,-0.0012443014420568943
independent,Simulation1,10,1296,128,0.4026052338839671,0.5324103369982331,0.6527945118105021,0.44951387310188,0.5324103369982331,0.47610849142074585,0.7380542457103729,471.80749585826317,1.0198659491732749,0.3611196279525757,0.6805598139762878,,,
independent,Simulation2,10,1296,128,0.44705977547659104,0.5823669105223306,0.7141682533184206,0.4916346417039323,0.5823669105223305,0.4809567630290985,0.7404783815145493,464.3690504300952,1.0062093572089128,0.3598097264766693,0.6799048632383347,,,
